"Export Date: December 11, 2024"
Export Time: 12:36 GMT
Exported Row Number: 10000
"Funding for The GeneNetwork: NIGMS (R01 GM123489, 2017-2026), NIDA (P30 DA044223, 2017-2022), NIA (R01AG043930, 2013-2018), NIAAA (U01 AA016662, U01 AA013499, U24 AA013513, U01 AA014425, 2006-2017), NIDA/NIMH/NIAAA (P20-DA 21131, 2001-2012), NCI MMHCC (U01CA105417), NCRR/BIRN (U24 RR021760)"

Index,URL,Species,Group,Dataset,Record ID,Symbol,Description,ProbeTarget,PubMed_ID,Chr,Mb,Alias,Gene_ID,Homologene_ID,UniGene_ID,Strand_Probe,Probe_set_specificity,Probe_set_BLAT_score,Probe_set_BLAT_Mb_start,Probe_set_BLAT_Mb_end,QTL_Chr,QTL_Mb,Locus_at_Peak,Max_LRS,P_value_of_MAX,Mean_Expression,Rep1DS,Rep1DS_SE,Rep2DE,Rep2DE_SE,Rep3NDS,Rep3NDS_SE,Rep4NDE,Rep4NDE_SE,Rep5DS,Rep5DS_SE,Rep6DE,Rep6DE_SE,Rep7NDS,Rep7NDS_SE,Rep8NDE,Rep8NDE_SE,Rep9DS,Rep9DS_SE,Rep10DE,Rep10DE_SE,Rep11NDS,Rep11NDS_SE,Rep12NDE,Rep12NDE_SE,Rep13DS,Rep13DS_SE,Rep14DE,Rep14DE_SE,Rep15NDS,Rep15NDS_SE,Rep16NDE,Rep16NDE_SE
1,https://genenetwork.org/show_trait?trait_id=10581152&dataset=ScrBXDACC4GEx0513,mouse,Scripps-2013,ScrBXDACC4GEx0513,10581152,Rrad,Ras-related associated with diabetes,,N/A,8,104.628175,"Rrad, REM3, Rad",56437,N/A,,-,0.0,0.0,104.628175,104.628405,,,,,,6.1192499697208405,5.879,,5.733,,6.126,,6.189,,6.044,,6.401,,6.176,,6.048,,5.437,,6.462,,6.396,,6.1,,6.29,,5.929,,6.296,,6.402,
2,https://genenetwork.org/show_trait?trait_id=10581153&dataset=ScrBXDACC4GEx0513,mouse,Scripps-2013,ScrBXDACC4GEx0513,10581153,Rrad,Ras-related associated with diabetes,,N/A,8,104.628451,"Rrad, REM3, Rad",56437,N/A,,-,0.0,0.0,104.628451,104.628694,,,,,,7.742249995470047,7.577,,7.44,,7.745,,7.825,,7.681,,7.598,,7.786,,7.933,,7.431,,7.861,,7.954,,8.011,,7.698,,7.676,,8.313,,7.347,
3,https://genenetwork.org/show_trait?trait_id=10581154&dataset=ScrBXDACC4GEx0513,mouse,Scripps-2013,ScrBXDACC4GEx0513,10581154,Rrad,Ras-related associated with diabetes,,N/A,8,104.629535,"Rrad, REM3, Rad",56437,N/A,,-,0.0,0.0,104.629535,104.62967,,,,,,7.67668753862381,7.586,,7.768,,7.351,,7.553,,7.804,,7.788,,7.763,,7.742,,7.899,,7.814,,7.645,,7.694,,7.71,,7.459,,7.385,,7.866,
4,https://genenetwork.org/show_trait?trait_id=10581155&dataset=ScrBXDACC4GEx0513,mouse,Scripps-2013,ScrBXDACC4GEx0513,10581155,Rrad,Ras-related associated with diabetes,,N/A,8,104.629831,"Rrad, REM3, Rad",56437,N/A,,-,0.0,0.0,104.629831,104.629899,,,,,,4.299562558531761,4.578,,4.379,,4.551,,4.131,,4.156,,4.722,,4.58,,3.982,,4.803,,4.064,,4.079,,4.111,,4.111,,4.25,,4.169,,4.127,
5,https://genenetwork.org/show_trait?trait_id=10581156&dataset=ScrBXDACC4GEx0513,mouse,Scripps-2013,ScrBXDACC4GEx0513,10581156,Rrad,Ras-related associated with diabetes,,N/A,8,104.630564,"Rrad, REM3, Rad",56437,N/A,,-,0.0,0.0,104.630564,104.630786,,,,,,6.4180625677108765,6.596,,6.038,,6.338,,6.204,,6.504,,6.324,,6.526,,6.492,,6.302,,6.55,,6.089,,6.635,,6.462,,6.366,,6.683,,6.58,
6,https://genenetwork.org/show_trait?trait_id=10581157&dataset=ScrBXDACC4GEx0513,mouse,Scripps-2013,ScrBXDACC4GEx0513,10581157,Rrad,Ras-related associated with diabetes,,N/A,8,104.630947,"Rrad, REM3, Rad",56437,N/A,,-,0.0,0.0,104.630947,104.63098,,,,,,6.866499960422516,6.683,,6.733,,6.881,,6.7,,6.82,,6.198,,7.204,,7.07,,6.823,,6.943,,7.067,,6.975,,7.252,,6.874,,7.016,,6.625,
7,https://genenetwork.org/show_trait?trait_id=10581158&dataset=ScrBXDACC4GEx0513,mouse,Scripps-2013,ScrBXDACC4GEx0513,10581158,Rrad,Ras-related associated with diabetes,,N/A,8,104.631141,"Rrad, REM3, Rad",56437,N/A,,-,0.0,0.0,104.631141,104.631239,,,,,,5.1729375422000885,5.188,,5.25,,5.292,,5.1,,5.01,,5.151,,5.126,,5.784,,5.248,,4.477,,4.766,,6.072,,5.183,,4.822,,5.031,,5.267,
8,https://genenetwork.org/show_trait?trait_id=10581151&dataset=ScrBXDACC4G0513,mouse,Scripps-2013,ScrBXDACC4G0513,10581151,Rrad,Ras-related associated with diabetes,,N/A,8,104.628066,"Rrad, REM3, Rad",56437,N/A,,-,0.0,0.0,104.628066,104.631321,,,,,,6.979562550783157,6.913,,6.897,,7.004,,6.849,,6.895,,6.96,,7.064,,7.06,,7.067,,7.051,,6.938,,7.031,,6.985,,6.847,,7.036,,7.076,
9,https://genenetwork.org/show_trait?trait_id=10513009&dataset=ScrBXDACC4GEx0513,mouse,Scripps-2013,ScrBXDACC4GEx0513,10513009,Klf4,"Kruppel-like factor 4 (epithelial zinc finger protein of gut, Yamanaka factor)",,N/A,4,55.527678,"Klf4, RP23-322L22.2, EZF, Gklf, Zie",16600,N/A,,-,0.0,0.0,55.527678,55.527865,,,,,,5.6550624668598175,5.89,,5.846,,5.913,,5.541,,5.741,,5.252,,5.739,,5.284,,6.703,,5.661,,5.22,,5.373,,6.073,,5.901,,5.661,,4.683,
10,https://genenetwork.org/show_trait?trait_id=10513010&dataset=ScrBXDACC4GEx0513,mouse,Scripps-2013,ScrBXDACC4GEx0513,10513010,Klf4,"Kruppel-like factor 4 (epithelial zinc finger protein of gut, Yamanaka factor)",,N/A,4,55.528116,"Klf4, RP23-322L22.2, EZF, Gklf, Zie",16600,N/A,,-,0.0,0.0,55.528116,55.52829,,,,,,5.76656249165535,5.586,,5.775,,6.488,,5.841,,5.914,,4.84,,5.789,,5.692,,5.746,,6.041,,5.52,,6.084,,5.401,,5.97,,5.534,,6.044,
11,https://genenetwork.org/show_trait?trait_id=10513011&dataset=ScrBXDACC4GEx0513,mouse,Scripps-2013,ScrBXDACC4GEx0513,10513011,Klf4,"Kruppel-like factor 4 (epithelial zinc finger protein of gut, Yamanaka factor)",,N/A,4,55.530233,"Klf4, RP23-322L22.2, EZF, Gklf, Zie",16600,N/A,,-,0.0,0.0,55.530233,55.530504,,,,,,6.696375012397766,7.016,,6.683,,6.933,,6.741,,7.009,,6.559,,7.024,,5.916,,6.743,,6.34,,6.937,,6.776,,6.315,,6.829,,6.479,,6.842,
