"Export Date: December 11, 2024"
Export Time: 12:36 GMT
Exported Row Number: 10000
"Funding for The GeneNetwork: NIGMS (R01 GM123489, 2017-2026), NIDA (P30 DA044223, 2017-2022), NIA (R01AG043930, 2013-2018), NIAAA (U01 AA016662, U01 AA013499, U24 AA013513, U01 AA014425, 2006-2017), NIDA/NIMH/NIAAA (P20-DA 21131, 2001-2012), NCI MMHCC (U01CA105417), NCRR/BIRN (U24 RR021760)"

Index,URL,Species,Group,Dataset,Record ID,Symbol,Description,ProbeTarget,PubMed_ID,Chr,Mb,Alias,Gene_ID,Homologene_ID,UniGene_ID,Strand_Probe,Probe_set_specificity,Probe_set_BLAT_score,Probe_set_BLAT_Mb_start,Probe_set_BLAT_Mb_end,QTL_Chr,QTL_Mb,Locus_at_Peak,Max_LRS,P_value_of_MAX,Mean_Expression,C57BL/6J,C57BL/6J_SE,DBA/2J,DBA/2J_SE,A/J,A/J_SE,CC001,CC001_SE,CC002,CC002_SE,CC003,CC003_SE,CC004,CC004_SE,CC005,CC005_SE,CC006,CC006_SE,CC007,CC007_SE,CC008,CC008_SE,CC009,CC009_SE,CC010,CC010_SE,CC011,CC011_SE,CC012,CC012_SE,CC013,CC013_SE,CC015,CC015_SE,CC016,CC016_SE,CC017,CC017_SE,CC018,CC018_SE,CC019,CC019_SE,CC020,CC020_SE,CC021,CC021_SE,CC022,CC022_SE,CC023,CC023_SE,CC024,CC024_SE,CC025,CC025_SE,CC026,CC026_SE,CC027,CC027_SE,CC028,CC028_SE,CC029,CC029_SE,CC030,CC030_SE,CC031,CC031_SE,CC032,CC032_SE,CC033,CC033_SE,CC034,CC034_SE,CC035,CC035_SE,CC036,CC036_SE,CC037,CC037_SE,CC038,CC038_SE,CC039,CC039_SE,CC040,CC040_SE,CC041,CC041_SE,CC042,CC042_SE,CC043,CC043_SE,CC044,CC044_SE,CC045,CC045_SE,CC046,CC046_SE,CC047,CC047_SE,CC049,CC049_SE,CC050,CC050_SE,CC051,CC051_SE,CC052,CC052_SE,CC053,CC053_SE,CC055,CC055_SE,CC056,CC056_SE,CC057,CC057_SE,CC058,CC058_SE,CC059,CC059_SE,CC060,CC060_SE,CC061,CC061_SE,CC062,CC062_SE,CC063,CC063_SE,CC065,CC065_SE,CC068,CC068_SE,CC070,CC070_SE,CC071,CC071_SE,CC072,CC072_SE,CC073,CC073_SE,CC074,CC074_SE,CC075,CC075_SE,CC076,CC076_SE
1,https://genenetwork.org/show_trait?trait_id=ENSMUSG00000003032&dataset=LSRU-CC-ST-1219,mouse,CC,LSRU-CC-ST-1219,ENSMUSG00000003032,Klf4,Kruppel-like factor 4 (gut),,N/A,4,55.527143,"EZF, Gklf, Zie",16600,N/A,,-,,,55.527143,55.532466,11,106.182136,UNC20313442,16.0068228023188,,3.767622743334089,3.72295,0.175004,2.91416,0.11804,3.00722,0.0989162,4.6887,,3.45444,,4.92085,,4.22484,,3.65505,,2.3435,,4.01635,,x,x,x,x,2.86006,,x,x,3.13817,,4.22166,,3.5405,,x,x,4.1858,,x,x,3.57515,,x,x,x,x,3.35965,,x,x,x,x,4.81032,,x,x,3.39408,,4.57026,,x,x,3.97357,,x,x,x,x,2.85251,,x,x,x,x,3.50254,,x,x,5.40383,,3.08697,,x,x,4.60052,,4.46049,,3.41714,,4.93755,,x,x,x,x,x,x,x,x,x,x,4.53054,,x,x,3.67587,,x,x,x,x,2.13722,,3.60521,,x,x,x,x,x,x,x,x,3.65237,,x,x,x,x,x,x,x,x,3.42675,,x,x,x,x,x,x,x,x
2,https://genenetwork.org/show_trait?trait_id=ENSMUSG00000031880&dataset=LSRU-CC-ST-1219,mouse,CC,LSRU-CC-ST-1219,ENSMUSG00000031880,Rrad,Ras-related associated with diabetes,,N/A,8,104.62807,"REM3, Rad",56437,N/A,,-,,,104.62807,104.631327,7,94.861578,UNC13406297,15.2178108633273,,4.003871372767857,3.49879,0.22429,3.44707,0.16505,3.7616,0.150764,4.24588,,3.99825,,4.1174,,3.97077,,3.62172,,4.16447,,3.3825,,x,x,x,x,3.2308,,x,x,5.04303,,4.53061,,3.93676,,x,x,4.5851,,x,x,3.54081,,x,x,x,x,3.35444,,x,x,x,x,4.12086,,x,x,3.91953,,5.11411,,x,x,4.8187,,x,x,x,x,4.47449,,x,x,x,x,2.88774,,x,x,4.63132,,4.58389,,x,x,4.20783,,4.0969,,4.1348,,4.27828,,x,x,x,x,x,x,x,x,x,x,4.04475,,x,x,3.81425,,x,x,x,x,4.05468,,3.99036,,x,x,x,x,x,x,x,x,3.24891,,x,x,x,x,x,x,x,x,3.28413,,x,x,x,x,x,x,x,x
3,https://genenetwork.org/show_trait?trait_id=ENSMUSG00000025534&dataset=LSRU-CC-ST-1219,mouse,CC,LSRU-CC-ST-1219,ENSMUSG00000025534,Gusb,"glucuronidase, beta",,N/A,5,129.989011,"AI747421, Gur, Gus, Gusr, Guss, Gust, Gusu, Gut, asd, g",110006,N/A,,-,,,129.989011,130.003049,13,86.158371,JAX00365185,14.6922328636163,,4.052816425051008,4.14543,0.0440326,4.41158,0.0289114,3.79845,0.046181,3.93336,,4.17814,,4.17634,,3.70454,,3.9567,,4.20696,,4.25122,,x,x,x,x,4.26483,,x,x,4.24177,,4.02989,,3.63569,,x,x,4.3052,,x,x,3.98039,,x,x,x,x,3.9967,,x,x,x,x,4.06163,,x,x,4.23812,,4.35423,,x,x,3.87084,,x,x,x,x,3.98046,,x,x,x,x,3.9284,,x,x,3.92505,,4.23946,,x,x,3.93108,,4.26092,,4.23403,,4.05743,,x,x,x,x,x,x,x,x,x,x,3.56649,,x,x,3.90707,,x,x,x,x,4.24506,,3.57012,,x,x,x,x,x,x,x,x,3.99643,,x,x,x,x,x,x,x,x,4.26456,,x,x,x,x,x,x,x,x
4,https://genenetwork.org/show_trait?trait_id=ENSMUSG00000041605&dataset=LSRU-CC-ST-1219,mouse,CC,LSRU-CC-ST-1219,ENSMUSG00000041605,Inava,innate immunity activator,,N/A,1,136.213531,"1700034M08Rik, 4933426C09Rik, 5730559C18Rik, AI586180, D1Mgi54",67313,N/A,,-,,,136.213531,136.234264,8,3.310197,JAX00659273,19.744044823353,,1.4564279794692994,1.42735,0.0790491,1.49836,0.0483622,1.44805,0.0833055,1.34296,,1.63175,,1.3717,,1.36252,,1.55189,,1.48855,,1.44322,,x,x,x,x,1.92309,,x,x,1.57149,,1.70202,,1.39447,,x,x,1.4557,,x,x,1.46697,,x,x,x,x,1.15875,,x,x,x,x,1.09054,,x,x,1.69551,,1.18347,,x,x,1.61341,,x,x,x,x,1.70947,,x,x,x,x,1.49217,,x,x,1.46967,,1.47651,,x,x,1.35533,,1.21309,,1.59298,,1.51627,,x,x,x,x,x,x,x,x,x,x,1.31179,,x,x,1.46149,,x,x,x,x,1.62404,,1.2368,,x,x,x,x,x,x,x,x,1.39337,,x,x,x,x,x,x,x,x,1.30024,,x,x,x,x,x,x,x,x
5,https://genenetwork.org/show_trait?trait_id=ENSMUSG00000041037&dataset=LSRU-CC-ST-1219,mouse,CC,LSRU-CC-ST-1219,ENSMUSG00000041037,Irgq,"immunity-related GTPase family, Q",,N/A,7,24.530689,"AF322649, FKSG27, Irgq1",210146,N/A,,+,,,24.530689,24.5386,17,48.653348,UNC27964181,22.644652486375,,6.1745961461748395,6.06724,0.0215515,6.22043,0.0326697,6.15628,0.0198834,6.22994,,6.17552,,6.30589,,6.11733,,6.16747,,6.40551,,6.29684,,x,x,x,x,6.31644,,x,x,6.18302,,6.00133,,5.97816,,x,x,6.24104,,x,x,6.07019,,x,x,x,x,5.93395,,x,x,x,x,6.11855,,x,x,6.00446,,6.05171,,x,x,6.33462,,x,x,x,x,6.32781,,x,x,x,x,6.21271,,x,x,6.27261,,6.15553,,x,x,6.24071,,6.17786,,6.16164,,6.36148,,x,x,x,x,x,x,x,x,x,x,6.07117,,x,x,6.1341,,x,x,x,x,6.34656,,6.03723,,x,x,x,x,x,x,x,x,6.09781,,x,x,x,x,x,x,x,x,6.13774,,x,x,x,x,x,x,x,x
6,https://genenetwork.org/show_trait?trait_id=ENSMUSG00000056313&dataset=LSRU-CC-ST-1219,mouse,CC,LSRU-CC-ST-1219,ENSMUSG00000056313,Tcim,transcriptional and immune response regulator,,N/A,8,24.43718,"1110065B09Rik, 1810011O10Rik, AW121743, AW321058",69068,N/A,,-,,,24.43718,24.438984,6,137.88299,UNC12198356,16.0792193571221,,2.2944190638405937,2.07346,0.112814,2.21695,0.113816,2.16325,0.0957118,3.13912,,1.91078,,1.86525,,1.94845,,2.86242,,1.57402,,2.21804,,x,x,x,x,1.80926,,x,x,1.44901,,2.46445,,2.80501,,x,x,1.94101,,x,x,2.04347,,x,x,x,x,2.0295,,x,x,x,x,4.30488,,x,x,1.96538,,1.99256,,x,x,2.03771,,x,x,x,x,1.7638,,x,x,x,x,3.29462,,x,x,3.3699,,1.54412,,x,x,3.26227,,2.90628,,1.78797,,1.3829,,x,x,x,x,x,x,x,x,x,x,2.25312,,x,x,2.77964,,x,x,x,x,1.5651,,3.30225,,x,x,x,x,x,x,x,x,1.74132,,x,x,x,x,x,x,x,x,2.53741,,x,x,x,x,x,x,x,x
7,https://genenetwork.org/show_trait?trait_id=ENSMUSG00000057722&dataset=LSRU-CC-ST-1219,mouse,CC,LSRU-CC-ST-1219,ENSMUSG00000057722,Lepr,leptin receptor,,N/A,4,101.717404,"LEPROT, Leprb, Modb1, OBRGRP, Obr, db, diabetes, obeselike, obl",16847,N/A,,+,,,101.717404,101.815352,17,81.045023,JAX00447932,11.7819209545879,,2.255768098149981,1.87761,0.122018,1.92517,0.132829,2.38476,0.111415,2.47873,,2.56115,,2.74652,,1.97415,,2.41531,,2.05327,,1.81041,,x,x,x,x,2.06453,,x,x,2.00609,,1.75371,,2.42625,,x,x,2.51766,,x,x,2.32125,,x,x,x,x,1.77769,,x,x,x,x,2.21061,,x,x,2.13556,,1.99165,,x,x,2.72523,,x,x,x,x,1.96688,,x,x,x,x,2.19539,,x,x,3.90711,,1.69604,,x,x,2.22486,,2.15893,,2.55042,,2.77042,,x,x,x,x,x,x,x,x,x,x,1.58054,,x,x,2.42896,,x,x,x,x,2.16246,,2.25377,,x,x,x,x,x,x,x,x,2.25454,,x,x,x,x,x,x,x,x,2.64423,,x,x,x,x,x,x,x,x
8,https://genenetwork.org/show_trait?trait_id=ENSMUSG00000069874&dataset=LSRU-CC-ST-1219,mouse,CC,LSRU-CC-ST-1219,ENSMUSG00000069874,Irgm2,immunity-related GTPase family M member 2,,N/A,11,58.199618,"AI481100, GTPI, Ifggd2, Iigp2",54396,N/A,,+,,,58.199618,58.222782,10,61.105062,JAX00018601,21.9537144438662,,1.9500772816794258,2.87828,0.120752,2.02505,0.11245,2.1863,0.132498,1.95811,,2.19262,,2.52805,,1.60152,,1.65238,,1.79568,,1.57376,,x,x,x,x,1.84256,,x,x,1.72126,,2.28349,,1.59681,,x,x,2.9998,,x,x,2.20883,,x,x,x,x,0.917832,,x,x,x,x,1.96149,,x,x,1.51862,,2.35475,,x,x,1.95045,,x,x,x,x,2.03565,,x,x,x,x,1.81902,,x,x,1.87769,,1.91507,,x,x,1.84404,,2.04968,,2.40058,,2.38744,,x,x,x,x,x,x,x,x,x,x,1.94939,,x,x,1.21323,,x,x,x,x,1.47733,,1.59877,,x,x,x,x,x,x,x,x,2.13952,,x,x,x,x,x,x,x,x,1.79766,,x,x,x,x,x,x,x,x
9,https://genenetwork.org/show_trait?trait_id=ENSMUSG00000062028&dataset=LSRU-CC-ST-1219,mouse,CC,LSRU-CC-ST-1219,ENSMUSG00000062028,Irgc1,"immunity-related GTPase family, cinema 1",,N/A,7,24.431922,"F630044M05Rik, Gm1102, Gm474, Ifgge, Iigp5, Irgc",210145,N/A,,-,,,24.431922,24.452297,13,100.35243,UNC23215044,20.3118117234245,,0.007908402343413659,0.00737418,0.00520121,0.00777129,0.00811685,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,x,x,x,x,0.0,,x,x,0.0,,0.0,,0.0,,x,x,0.0,,x,x,0.0,,x,x,x,x,0.0,,x,x,x,x,0.0,,x,x,0.0,,0.0532594,,x,x,0.0,,x,x,x,x,0.0,,x,x,x,x,0.0,,x,x,0.0,,0.0,,x,x,0.0,,0.0,,0.0,,0.0694112,,x,x,x,x,x,x,x,x,x,x,0.0,,x,x,0.0,,x,x,x,x,0.0614085,,0.0,,x,x,x,x,x,x,x,x,0.0,,x,x,x,x,x,x,x,x,0.0775695,,x,x,x,x,x,x,x,x
10,https://genenetwork.org/show_trait?trait_id=ENSMUSG00000046879&dataset=LSRU-CC-ST-1219,mouse,CC,LSRU-CC-ST-1219,ENSMUSG00000046879,Irgm1,immunity-related GTPase family M member 1,,N/A,11,48.861968,"Ifggd3, Ifi1, Iigp3, Iipg3, Irgm",15944,N/A,,-,,,48.861968,48.871683,14,71.20628,UNC24208926,18.4807593406308,,2.702077443259103,2.92467,0.0767182,2.73931,0.0804587,2.73943,0.0624611,2.56804,,2.44716,,2.81892,,2.44413,,2.32309,,2.78982,,2.5669,,x,x,x,x,2.94224,,x,x,2.93159,,3.02862,,2.47036,,x,x,2.82939,,x,x,3.10851,,x,x,x,x,2.56345,,x,x,x,x,3.0749,,x,x,2.94723,,2.67591,,x,x,2.80943,,x,x,x,x,2.93112,,x,x,x,x,2.48719,,x,x,2.84158,,2.18463,,x,x,2.41013,,2.45767,,2.54904,,2.67264,,x,x,x,x,x,x,x,x,x,x,2.52508,,x,x,2.45489,,x,x,x,x,2.81639,,2.52355,,x,x,x,x,x,x,x,x,3.13072,,x,x,x,x,x,x,x,x,2.84497,,x,x,x,x,x,x,x,x
