"Export Date: December 11, 2024"
Export Time: 12:36 GMT
Exported Row Number: 10000
"Funding for The GeneNetwork: NIGMS (R01 GM123489, 2017-2026), NIDA (P30 DA044223, 2017-2022), NIA (R01AG043930, 2013-2018), NIAAA (U01 AA016662, U01 AA013499, U24 AA013513, U01 AA014425, 2006-2017), NIDA/NIMH/NIAAA (P20-DA 21131, 2001-2012), NCI MMHCC (U01CA105417), NCRR/BIRN (U24 RR021760)"

Index,URL,Species,Group,Dataset,Record ID,Symbol,Description,ProbeTarget,PubMed_ID,Chr,Mb,Alias,Gene_ID,Homologene_ID,UniGene_ID,Strand_Probe,Probe_set_specificity,Probe_set_BLAT_score,Probe_set_BLAT_Mb_start,Probe_set_BLAT_Mb_end,QTL_Chr,QTL_Mb,Locus_at_Peak,Max_LRS,P_value_of_MAX,Mean_Expression,HSCC01M,HSCC01M_SE,HSCC02M,HSCC02M_SE,HSCC03M,HSCC03M_SE,HSCC04M,HSCC04M_SE,HSCC05M,HSCC05M_SE,HSCC06M,HSCC06M_SE,HSCC07M,HSCC07M_SE,HSCC08M,HSCC08M_SE,HSCC10M,HSCC10M_SE,HSCC12M,HSCC12M_SE,HSCC14M,HSCC14M_SE,HSCC15M,HSCC15M_SE,HSCC16M,HSCC16M_SE,HSCC17M,HSCC17M_SE,HSCC18M,HSCC18M_SE,HSCC19M,HSCC19M_SE,HSCC20M,HSCC20M_SE,HSCC21M,HSCC21M_SE,HSCC22M,HSCC22M_SE,HSCC23M,HSCC23M_SE,HSCC24M,HSCC24M_SE,HSCC25M,HSCC25M_SE,HSCC26M,HSCC26M_SE,HSCC27M,HSCC27M_SE,HSCC28M,HSCC28M_SE,HSCC29M,HSCC29M_SE,HSCC30M,HSCC30M_SE,HSCC31M,HSCC31M_SE,HSCC32M,HSCC32M_SE,HSCC33M,HSCC33M_SE,HSCC34M,HSCC34M_SE,HSCC35M,HSCC35M_SE,HSCC36M,HSCC36M_SE,HSCC37F,HSCC37F_SE,HSCC38F,HSCC38F_SE,HSCC39F,HSCC39F_SE,HSCC40F,HSCC40F_SE,HSCC41F,HSCC41F_SE,HSCC42F,HSCC42F_SE,HSCC44F,HSCC44F_SE,HSCC45F,HSCC45F_SE,HSCC46F,HSCC46F_SE,HSCC47F,HSCC47F_SE,HSCC48F,HSCC48F_SE,HSCC49F,HSCC49F_SE,HSCC50F,HSCC50F_SE,HSCC51F,HSCC51F_SE,HSCC52F,HSCC52F_SE,HSCC53F,HSCC53F_SE,HSCC54F,HSCC54F_SE,HSCC55F,HSCC55F_SE,HSCC56F,HSCC56F_SE,HSCC57F,HSCC57F_SE,HSCC58F,HSCC58F_SE,HSCC59F,HSCC59F_SE,HSCC60M,HSCC60M_SE,HSCC61M,HSCC61M_SE,HSCC62M,HSCC62M_SE,HSCC63F,HSCC63F_SE,HSCC64F,HSCC64F_SE,HSCC65F,HSCC65F_SE,HSCC66F,HSCC66F_SE,HSCC67F,HSCC67F_SE,HSCC68F,HSCC68F_SE,HSCC69F,HSCC69F_SE,HSCC70F,HSCC70F_SE,HSCC71F,HSCC71F_SE,HSCC72F,HSCC72F_SE,HSCC73F,HSCC73F_SE,HSCC74F,HSCC74F_SE,HSCC75F,HSCC75F_SE,HSCC76M,HSCC76M_SE,HSCC77M,HSCC77M_SE,HSCC78F,HSCC78F_SE,HSCC79F,HSCC79F_SE,HSCC80F,HSCC80F_SE,HSCC81F,HSCC81F_SE,HSCC82F,HSCC82F_SE,HSCC83F,HSCC83F_SE,HSCC84M,HSCC84M_SE,HSCC85M,HSCC85M_SE,HSCC86M,HSCC86M_SE,HSCC87M,HSCC87M_SE,HSCC88M,HSCC88M_SE,HSCC89M,HSCC89M_SE,HSCC90M,HSCC90M_SE,HSCC91F,HSCC91F_SE,HSCC92F,HSCC92F_SE,HSCC94F,HSCC94F_SE,HSCC95F,HSCC95F_SE
1,https://genenetwork.org/show_trait?trait_id=ILM102100095&dataset=OHSU_HS-CC_ILMStr_0211,mouse,HS-CC,OHSU_HS-CC_ILMStr_0211,ILM102100095,LOC383301,similar to gut antigen protein; putative intergenic,putative intergenic,N/A,18,21.306473,Not available,383301,N/A,,-,1.0,50.0,21.306473,21.306523,,,Marker1,,,6.9898889011806915,7.064,,7.06,,6.997,,6.997,,6.978,,7.074,,7.028,,7.044,,6.933,,7.004,,6.989,,6.943,,7.134,,6.949,,7.096,,7.038,,6.817,,6.948,,7.016,,7.025,,7.045,,7.119,,6.838,,6.882,,6.887,,7.033,,6.962,,6.999,,6.984,,6.929,,6.95,,6.838,,6.935,,7.01,,7.113,,6.941,,7.091,,6.984,,6.924,,7.012,,6.873,,6.785,,7.116,,6.895,,7.0,,6.99,,6.963,,7.056,,6.986,,6.907,,7.043,,6.997,,6.939,,6.936,,6.781,,6.887,,7.136,,7.004,,7.013,,7.031,,7.044,,6.923,,6.999,,6.981,,6.966,,6.86,,6.972,,7.141,,6.898,,7.01,,7.086,,7.114,,6.919,,7.198,,6.912,,7.12,,7.001,,7.16,,6.983,,7.044,,6.978,,6.961,,7.04,,6.998,,6.875,,7.034,,7.089,,6.929,,7.009,,6.898,
2,https://genenetwork.org/show_trait?trait_id=ILM104060500&dataset=OHSU_HS-CC_ILMStr_0211,mouse,HS-CC,OHSU_HS-CC_ILMStr_0211,ILM104060500,Dep1,diabetic embryopathy 1; intron 3,intron 3,N/A,17,10.314643,Not available,170624,N/A,Mm.441701,-,5.0,50.0,10.314643,10.314693,,,Marker1,,,7.36308888859219,7.283,,7.479,,7.421,,7.357,,7.356,,7.408,,7.315,,7.469,,7.524,,7.306,,7.202,,7.29,,7.353,,7.335,,7.385,,7.445,,7.359,,7.351,,7.447,,7.521,,7.311,,7.393,,7.377,,7.253,,7.402,,7.462,,7.401,,7.4,,7.312,,7.349,,7.475,,7.31,,7.279,,7.35,,7.429,,7.167,,7.476,,7.35,,7.325,,7.409,,7.387,,7.311,,7.291,,7.3,,7.277,,7.502,,7.365,,7.145,,7.249,,7.255,,7.339,,7.327,,7.338,,7.384,,7.224,,7.449,,7.392,,7.337,,7.583,,7.335,,7.38,,7.554,,7.3,,7.304,,7.345,,7.517,,7.311,,7.31,,7.241,,7.316,,7.46,,7.415,,7.352,,7.322,,7.425,,7.246,,7.293,,7.299,,7.432,,7.348,,7.396,,7.406,,7.384,,7.352,,7.362,,7.494,,7.413,,7.399,,7.355,,7.321,
3,https://genenetwork.org/show_trait?trait_id=ILM4280129&dataset=OHSU_HS-CC_ILMStr_0211,mouse,HS-CC,OHSU_HS-CC_ILMStr_0211,ILM4280129,Rrad,Ras-related associated with diabetes; exon 5,exon 5,N/A,8,104.628493,"RAD, RAD1, REM3, Rad",56437,N/A,Mm.29467,-,5.0,50.0,104.628493,104.628543,,,Marker1,,,7.33098890516493,7.669,,7.826,,7.588,,7.19,,7.332,,7.566,,7.455,,7.438,,7.373,,7.336,,7.366,,7.37,,7.527,,7.539,,7.334,,7.493,,7.135,,7.462,,7.398,,7.312,,7.187,,7.276,,7.506,,7.402,,7.217,,7.409,,7.323,,7.386,,7.256,,7.304,,7.193,,7.352,,7.188,,7.372,,7.294,,7.797,,7.349,,7.168,,7.178,,7.298,,7.419,,7.375,,7.456,,7.418,,7.342,,7.428,,7.496,,7.407,,7.356,,7.416,,7.085,,7.295,,7.132,,7.386,,7.445,,7.334,,7.245,,7.42,,7.414,,7.159,,7.396,,7.215,,7.381,,7.315,,7.335,,7.509,,7.068,,7.396,,7.138,,7.316,,7.55,,7.228,,7.277,,7.29,,7.181,,6.991,,7.215,,7.01,,7.331,,7.145,,7.182,,7.206,,7.354,,7.459,,7.401,,7.159,,7.078,,7.067,,7.199,,7.205,
4,https://genenetwork.org/show_trait?trait_id=ILM5220278&dataset=OHSU_HS-CC_ILMStr_0211,mouse,HS-CC,OHSU_HS-CC_ILMStr_0211,ILM5220278,Irgc1,"immunity-related GTPase family, cinema 1; exon 3",exon 3,N/A,7,24.432309,"F630044M05Rik, Gm1102, Gm474, Iigp5",210145,N/A,Mm.33811,-,5.0,50.0,24.432309,24.432359,,,Marker1,,,7.10533332824707,7.076,,7.112,,6.99,,7.012,,6.886,,7.242,,7.302,,6.965,,6.998,,7.053,,7.161,,6.94,,7.058,,7.088,,6.916,,7.19,,7.057,,7.111,,7.187,,7.093,,7.113,,7.002,,7.226,,7.278,,7.083,,7.049,,7.152,,7.061,,7.261,,6.981,,7.17,,7.089,,7.215,,6.9,,7.006,,7.185,,7.148,,7.12,,7.159,,7.028,,7.355,,7.17,,7.262,,7.106,,7.023,,7.089,,7.044,,7.193,,7.173,,7.087,,7.185,,7.021,,7.171,,6.961,,7.247,,7.085,,7.07,,7.061,,7.129,,7.09,,6.94,,7.021,,7.182,,7.224,,6.96,,7.286,,7.085,,7.032,,6.969,,7.192,,7.172,,7.096,,6.98,,7.098,,7.103,,7.202,,7.073,,7.148,,7.225,,7.089,,7.217,,7.18,,7.154,,7.128,,7.181,,6.969,,7.094,,7.122,,7.015,,7.158,
5,https://genenetwork.org/show_trait?trait_id=ILM7160053&dataset=OHSU_HS-CC_ILMStr_0211,mouse,HS-CC,OHSU_HS-CC_ILMStr_0211,ILM7160053,Gusb,"glucuronidase, beta; exon 9",exon 9,N/A,5,130.280209,"AI747421, FLJ39445, Gur, Gus, Gus-r, Gus-s, Gus-t, Gus-u, Gut, MPS7, asd, g",110006,N/A,Mm.3317,,,0.0,130.280209,130280209.0,,,Marker1,,,7.566699997584025,7.548,,7.663,,7.767,,7.5,,7.439,,7.656,,7.513,,7.37,,7.535,,7.359,,7.697,,7.371,,7.603,,7.62,,7.518,,7.689,,7.745,,7.429,,7.461,,7.623,,7.599,,7.385,,7.458,,7.703,,7.605,,7.454,,7.592,,7.447,,7.588,,7.553,,7.491,,7.581,,7.592,,7.46,,7.648,,7.444,,7.595,,7.542,,7.408,,7.592,,7.641,,7.436,,7.588,,7.615,,7.453,,7.413,,7.567,,7.709,,7.523,,7.661,,7.428,,7.596,,7.599,,7.598,,7.527,,7.533,,7.336,,7.534,,7.565,,7.552,,7.485,,7.578,,7.449,,7.683,,7.735,,7.603,,7.8,,7.599,,7.535,,7.631,,7.66,,7.527,,7.566,,7.62,,7.605,,7.544,,7.682,,7.695,,7.59,,7.772,,7.475,,7.676,,7.623,,7.699,,7.527,,7.662,,7.453,,7.507,,7.694,,7.611,
6,https://genenetwork.org/show_trait?trait_id=ILM4810239&dataset=OHSU_HS-CC_ILMStr_0211,mouse,HS-CC,OHSU_HS-CC_ILMStr_0211,ILM4810239,Isl1,"ISL1 transcription factor, LIM/homeodomain (diabetes-associated); mid 3' UTR",mid 3' UTR,N/A,13,116.298629,"Isl-1, ISL1",16392,N/A,Mm.42242,-,5.0,50.0,116.298629,116.298679,,,Marker1,,,11.7516555680169,12.959,,12.848,,11.767,,11.265,,10.108,,12.377,,12.525,,11.359,,11.824,,12.625,,11.247,,10.968,,11.722,,11.709,,12.358,,11.971,,11.984,,11.63,,11.944,,12.154,,10.947,,11.607,,11.293,,11.219,,10.005,,10.99,,9.175,,12.126,,11.611,,10.837,,12.272,,10.571,,11.726,,10.815,,11.574,,12.236,,11.868,,12.246,,10.943,,11.807,,12.494,,11.689,,11.855,,10.796,,12.766,,11.178,,12.777,,12.105,,12.397,,9.568,,11.15,,12.924,,11.413,,11.997,,11.987,,11.851,,11.776,,12.557,,12.607,,12.43,,11.967,,12.53,,13.548,,11.91,,12.221,,12.301,,11.266,,12.188,,10.637,,12.432,,12.301,,12.232,,12.482,,11.495,,11.822,,12.389,,11.19,,12.001,,10.827,,11.428,,12.349,,10.942,,12.221,,11.737,,11.318,,11.414,,12.123,,11.067,,11.562,,12.22,
7,https://genenetwork.org/show_trait?trait_id=ILM2260047&dataset=OHSU_HS-CC_ILMStr_0211,mouse,HS-CC,OHSU_HS-CC_ILMStr_0211,ILM2260047,Irgq,"immunity-related GTPase family, Q; 3' UTR",3' UTR,N/A,7,24.538391,"AF322649, FKSG27, IRGQ1, Irgq1",210146,N/A,Mm.41108,+,5.0,50.0,24.538391,24.538441,,,Marker1,,,12.670033380720351,12.476,,13.006,,13.251,,12.541,,12.943,,12.814,,12.311,,13.217,,12.797,,12.744,,12.716,,13.541,,12.687,,12.947,,12.468,,12.936,,13.001,,12.949,,12.843,,12.702,,13.017,,13.22,,12.659,,13.029,,13.453,,13.962,,13.146,,12.207,,13.477,,13.221,,13.228,,13.011,,13.003,,12.751,,13.423,,12.559,,13.173,,12.311,,12.939,,12.66,,12.147,,13.085,,12.787,,12.2,,12.454,,12.764,,12.443,,12.712,,12.986,,12.903,,12.497,,12.496,,12.765,,12.47,,12.233,,12.266,,12.725,,12.591,,12.092,,12.161,,12.663,,12.375,,11.884,,12.952,,12.068,,12.265,,12.952,,12.443,,13.024,,12.387,,12.29,,12.498,,12.346,,11.442,,12.244,,12.026,,12.587,,12.234,,12.469,,13.298,,12.629,,12.598,,12.204,,12.333,,12.624,,12.093,,12.163,,12.668,,12.239,,12.189,
8,https://genenetwork.org/show_trait?trait_id=ILM4200575&dataset=OHSU_HS-CC_ILMStr_0211,mouse,HS-CC,OHSU_HS-CC_ILMStr_0211,ILM4200575,Irgq,"immunity-related GTPase family, Q; exon 4",exon 4,N/A,7,24.534379,"AF322649, FKSG27, IRGQ1, Irgq1",210146,N/A,Mm.41108,+,5.0,50.0,24.534379,24.534429,,,Marker1,,,7.03632222811381,7.158,,6.968,,7.188,,7.128,,7.454,,6.9,,6.963,,7.15,,7.009,,7.219,,6.968,,7.11,,6.998,,7.078,,6.891,,7.218,,7.133,,7.098,,6.914,,7.038,,7.051,,7.193,,7.204,,7.273,,6.869,,7.122,,6.904,,7.116,,7.007,,7.143,,7.267,,7.215,,7.031,,6.877,,7.245,,7.234,,7.066,,6.962,,7.168,,7.077,,7.11,,7.153,,6.923,,7.009,,6.925,,7.002,,6.989,,7.118,,7.188,,6.976,,7.044,,6.907,,6.741,,7.309,,6.716,,6.941,,6.927,,6.969,,7.015,,6.865,,6.925,,7.034,,7.038,,7.014,,7.025,,6.779,,6.867,,6.93,,7.085,,6.862,,7.134,,7.066,,7.131,,6.935,,7.341,,7.032,,7.014,,6.887,,6.982,,6.795,,7.103,,6.965,,6.88,,6.977,,7.126,,6.935,,7.154,,6.807,,7.127,,6.885,
9,https://genenetwork.org/show_trait?trait_id=ILM5900050&dataset=OHSU_HS-CC_ILMStr_0211,mouse,HS-CC,OHSU_HS-CC_ILMStr_0211,ILM5900050,Irgq,"immunity-related GTPase family, Q; 3' UTR",3' UTR,N/A,7,24.534619,"AF322649, FKSG27, IRGQ1, Irgq1",210146,N/A,Mm.41108,+,5.0,50.0,24.534619,24.534669,,,Marker1,,,8.021033345328437,8.297,,7.739,,7.885,,7.719,,7.771,,8.179,,8.189,,8.244,,8.18,,8.22,,8.148,,8.058,,8.098,,7.978,,8.272,,7.943,,8.085,,8.42,,7.856,,7.742,,8.079,,8.34,,7.926,,8.08,,8.055,,8.036,,8.317,,8.256,,7.949,,7.903,,7.954,,8.097,,7.938,,8.171,,8.058,,8.329,,8.108,,8.225,,8.101,,8.075,,7.937,,8.092,,8.042,,8.125,,7.612,,8.237,,8.047,,7.766,,8.164,,8.006,,8.114,,8.139,,7.724,,7.882,,7.724,,7.699,,7.483,,8.107,,8.435,,7.92,,7.889,,7.873,,8.014,,7.98,,8.205,,8.019,,7.836,,7.814,,7.966,,8.01,,8.251,,8.225,,7.595,,7.574,,8.362,,8.169,,8.019,,7.784,,8.043,,8.039,,8.268,,8.04,,7.935,,7.841,,8.269,,7.574,,8.418,,7.944,,7.972,,7.69,
10,https://genenetwork.org/show_trait?trait_id=ILM105340193&dataset=OHSU_HS-CC_ILMStr_0211,mouse,HS-CC,OHSU_HS-CC_ILMStr_0211,ILM105340193,Idd11,"insulin dependent diabetes susceptibility 11,  non-coding, (brain, testis, thymus-expressed; 3' region",3' region,N/A,4,129.963409,"AK005651, IDD11, Idd11, 1700003M07, 1700003M07Rik, T1D",110713,N/A,Mm.102193,+,5.0,50.0,129.963409,129.963459,,,Marker1,,,7.075244432025485,7.157,,7.136,,7.071,,7.139,,7.159,,7.038,,7.287,,7.025,,6.984,,7.272,,6.973,,6.839,,6.955,,7.016,,7.037,,7.258,,6.936,,7.016,,7.167,,7.22,,7.098,,7.062,,7.186,,7.099,,7.07,,7.133,,6.913,,7.219,,6.975,,6.976,,6.862,,7.095,,7.125,,7.054,,7.013,,7.122,,7.2,,7.248,,7.126,,7.243,,7.173,,7.148,,6.99,,7.163,,7.163,,7.114,,7.093,,6.83,,7.196,,6.833,,7.21,,6.967,,7.147,,6.92,,7.121,,7.178,,7.297,,7.138,,7.125,,7.107,,7.107,,7.031,,7.159,,7.25,,6.991,,6.933,,6.936,,6.922,,6.97,,7.017,,7.287,,6.991,,6.861,,7.077,,7.113,,7.167,,6.931,,7.116,,7.118,,6.968,,7.075,,6.922,,6.923,,7.225,,7.037,,7.224,,7.157,,6.88,,6.924,,7.043,
