chr	rs	ps	n_miss	allele1	allele0	af	beta	se	l_remle	p_wald	0	 Rasrelated associated with diabetes 
1	rs31443144	3010274	0	X	Y	0.263	-3.544871e+00	2.672437e+00	1.000000e-05	1.859763e-01	0	 Rasrelated associated with diabetes 
1	rs6269442	3492195	0	X	Y	0.263	-3.544871e+00	2.672437e+00	1.000000e-05	1.859763e-01	0	 Rasrelated associated with diabetes 
1	rs32285189	3511204	0	X	Y	0.263	-3.544871e+00	2.672437e+00	1.000000e-05	1.859763e-01	0	 Rasrelated associated with diabetes 
1	rs258367496	3659804	0	X	Y	0.263	-3.544871e+00	2.672437e+00	1.000000e-05	1.859763e-01	0	 Rasrelated associated with diabetes 
1	rs32430919	3777023	0	X	Y	0.263	-3.544871e+00	2.672437e+00	1.000000e-05	1.859763e-01	0	 Rasrelated associated with diabetes 
1	rs36251697	3812265	0	X	Y	0.263	-3.544871e+00	2.672437e+00	1.000000e-05	1.859763e-01	0	 Rasrelated associated with diabetes 
1	rs30658298	4430623	0	X	Y	0.263	-3.544871e+00	2.672437e+00	1.000000e-05	1.859763e-01	0	 Rasrelated associated with diabetes 
1	rs31879829	4518714	0	X	Y	0.263	-3.544871e+00	2.672437e+00	1.000000e-05	1.859763e-01	0	 Rasrelated associated with diabetes 
1	rs36742481	4776319	0	X	Y	0.263	-3.544871e+00	2.672437e+00	1.000000e-05	1.859763e-01	0	 Rasrelated associated with diabetes 
1	rs6365999	4820983	0	X	Y	0.263	-3.544871e+00	2.672437e+00	1.000000e-05	1.859763e-01	0	 Rasrelated associated with diabetes 
1	rs13470446	4846561	0	X	Y	0.263	-3.544871e+00	2.672437e+00	1.000000e-05	1.859763e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000111	-9	0	X	Y	0.267	-3.878614e+00	2.660690e+00	1.000000e-05	1.462452e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000112	-9	0	X	Y	0.271	-4.190743e+00	2.688510e+00	1.000000e-05	1.203988e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000008	-9	0	X	Y	0.268	-3.975305e+00	2.667364e+00	1.000000e-05	1.374733e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000002	-9	0	X	Y	0.268	-3.975305e+00	2.667364e+00	1.000000e-05	1.374733e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000009	-9	0	X	Y	0.268	-3.975305e+00	2.667364e+00	1.000000e-05	1.374733e-01	0	 Rasrelated associated with diabetes 
1	rs6376963	5018010	0	X	Y	0.270	-4.121189e+00	2.668374e+00	1.000000e-05	1.238232e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000120	-9	0	X	Y	0.270	-4.121189e+00	2.668374e+00	1.000000e-05	1.238232e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000010	-9	0	X	Y	0.272	-4.227602e+00	2.669841e+00	1.000000e-05	1.146602e-01	0	 Rasrelated associated with diabetes 
1	rs30847416	5025197	0	X	Y	0.272	-4.227602e+00	2.669841e+00	1.000000e-05	1.146602e-01	0	 Rasrelated associated with diabetes 
1	rs31625087	5119671	0	X	Y	0.272	-4.227602e+00	2.669841e+00	1.000000e-05	1.146602e-01	0	 Rasrelated associated with diabetes 
1	rs31716357	5155818	0	X	Y	0.272	-4.227602e+00	2.669841e+00	1.000000e-05	1.146602e-01	0	 Rasrelated associated with diabetes 
1	rs3677817	5185979	0	X	Y	0.272	-4.227602e+00	2.669841e+00	1.000000e-05	1.146602e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000121	-9	0	X	Y	0.271	-4.248867e+00	2.662162e+00	1.000000e-05	1.118278e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000011	-9	0	X	Y	0.269	-4.023730e+00	2.661602e+00	1.000000e-05	1.319359e-01	0	 Rasrelated associated with diabetes 
1	rs47937185	5316776	0	X	Y	0.269	-4.023730e+00	2.661602e+00	1.000000e-05	1.319359e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000012	-9	0	X	Y	0.269	-4.023730e+00	2.661602e+00	1.000000e-05	1.319359e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000148	-9	0	X	Y	0.269	-4.023730e+00	2.661602e+00	1.000000e-05	1.319359e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000013	-9	0	X	Y	0.278	-4.211211e+00	2.690934e+00	1.000000e-05	1.189372e-01	0	 Rasrelated associated with diabetes 
