"Export Date: December 11, 2024"
Export Time: 12:36 GMT
Exported Row Number: 10000
"Funding for The GeneNetwork: NIGMS (R01 GM123489, 2017-2026), NIDA (P30 DA044223, 2017-2022), NIA (R01AG043930, 2013-2018), NIAAA (U01 AA016662, U01 AA013499, U24 AA013513, U01 AA014425, 2006-2017), NIDA/NIMH/NIAAA (P20-DA 21131, 2001-2012), NCI MMHCC (U01CA105417), NCRR/BIRN (U24 RR021760)"

Index,URL,Species,Group,Dataset,Record ID,Symbol,Description,ProbeTarget,PubMed_ID,Chr,Mb,Alias,Gene_ID,Homologene_ID,UniGene_ID,Strand_Probe,Probe_set_specificity,Probe_set_BLAT_score,Probe_set_BLAT_Mb_start,Probe_set_BLAT_Mb_end,QTL_Chr,QTL_Mb,Locus_at_Peak,Max_LRS,P_value_of_MAX,Mean_Expression,GTEX-N7MS,GTEX-N7MS_SE,GTEX-N7MT,GTEX-N7MT_SE,GTEX-NFK9,GTEX-NFK9_SE,GTEX-NL3H,GTEX-NL3H_SE,GTEX-NL4W,GTEX-NL4W_SE,GTEX-NPJ7,GTEX-NPJ7_SE,GTEX-NPJ8,GTEX-NPJ8_SE,GTEX-O5YT,GTEX-O5YT_SE,GTEX-O5YV,GTEX-O5YV_SE,GTEX-O5YW,GTEX-O5YW_SE,GTEX-OHPJ,GTEX-OHPJ_SE,GTEX-OHPK,GTEX-OHPK_SE,GTEX-OHPL,GTEX-OHPL_SE,GTEX-OHPM,GTEX-OHPM_SE,GTEX-OHPN,GTEX-OHPN_SE,GTEX-OIZF,GTEX-OIZF_SE,GTEX-OIZG,GTEX-OIZG_SE,GTEX-OIZH,GTEX-OIZH_SE,GTEX-OIZI,GTEX-OIZI_SE,GTEX-OOBJ,GTEX-OOBJ_SE,GTEX-OOBK,GTEX-OOBK_SE,GTEX-OXRK,GTEX-OXRK_SE,GTEX-OXRL,GTEX-OXRL_SE,GTEX-OXRN,GTEX-OXRN_SE,GTEX-OXRO,GTEX-OXRO_SE,GTEX-OXRP,GTEX-OXRP_SE,GTEX-P44G,GTEX-P44G_SE,GTEX-P44H,GTEX-P44H_SE,GTEX-P4PP,GTEX-P4PP_SE,GTEX-P4PQ,GTEX-P4PQ_SE,GTEX-P4QR,GTEX-P4QR_SE,GTEX-P4QS,GTEX-P4QS_SE,GTEX-P4QT,GTEX-P4QT_SE,GTEX-P78B,GTEX-P78B_SE,GTEX-PLZ4,GTEX-PLZ4_SE,GTEX-PLZ5,GTEX-PLZ5_SE,GTEX-PLZ6,GTEX-PLZ6_SE,GTEX-POMQ,GTEX-POMQ_SE,GTEX-POYW,GTEX-POYW_SE,GTEX-PSDG,GTEX-PSDG_SE,GTEX-PVOW,GTEX-PVOW_SE,GTEX-PW2O,GTEX-PW2O_SE,GTEX-PWCY,GTEX-PWCY_SE,GTEX-PWN1,GTEX-PWN1_SE,GTEX-PWO3,GTEX-PWO3_SE,GTEX-PWOO,GTEX-PWOO_SE,GTEX-PX3G,GTEX-PX3G_SE,GTEX-Q2AG,GTEX-Q2AG_SE,GTEX-Q2AH,GTEX-Q2AH_SE,GTEX-Q2AI,GTEX-Q2AI_SE,GTEX-Q734,GTEX-Q734_SE,GTEX-QCQG,GTEX-QCQG_SE,GTEX-QDT8,GTEX-QDT8_SE,GTEX-QDVJ,GTEX-QDVJ_SE,GTEX-QDVN,GTEX-QDVN_SE,GTEX-QEG4,GTEX-QEG4_SE,GTEX-QEG5,GTEX-QEG5_SE,GTEX-QEL4,GTEX-QEL4_SE,GTEX-QESD,GTEX-QESD_SE,GTEX-QLQ7,GTEX-QLQ7_SE,GTEX-QLQW,GTEX-QLQW_SE,GTEX-QMR6,GTEX-QMR6_SE,GTEX-QMRM,GTEX-QMRM_SE,GTEX-QV31,GTEX-QV31_SE,GTEX-QV44,GTEX-QV44_SE,GTEX-QVJO,GTEX-QVJO_SE,GTEX-QVUS,GTEX-QVUS_SE,GTEX-QXCU,GTEX-QXCU_SE,GTEX-R3RS,GTEX-R3RS_SE,GTEX-R45C,GTEX-R45C_SE,GTEX-R53T,GTEX-R53T_SE,GTEX-R55C,GTEX-R55C_SE,GTEX-R55D,GTEX-R55D_SE,GTEX-R55E,GTEX-R55E_SE,GTEX-R55F,GTEX-R55F_SE,GTEX-R55G,GTEX-R55G_SE,GTEX-REY6,GTEX-REY6_SE,GTEX-RM2N,GTEX-RM2N_SE,GTEX-RN64,GTEX-RN64_SE,GTEX-RNOR,GTEX-RNOR_SE,GTEX-RTLS,GTEX-RTLS_SE,GTEX-RU1J,GTEX-RU1J_SE,GTEX-RU72,GTEX-RU72_SE,GTEX-RUSQ,GTEX-RUSQ_SE,GTEX-RVPU,GTEX-RVPU_SE,GTEX-RVPV,GTEX-RVPV_SE,GTEX-RWS6,GTEX-RWS6_SE,GTEX-RWSA,GTEX-RWSA_SE,GTEX-S32W,GTEX-S32W_SE,GTEX-S33H,GTEX-S33H_SE,GTEX-S341,GTEX-S341_SE,GTEX-S3XE,GTEX-S3XE_SE,GTEX-S4P3,GTEX-S4P3_SE,GTEX-S4Q7,GTEX-S4Q7_SE,GTEX-S4UY,GTEX-S4UY_SE,GTEX-S4Z8,GTEX-S4Z8_SE,GTEX-S7PM,GTEX-S7PM_SE,GTEX-S7SE,GTEX-S7SE_SE,GTEX-S7SF,GTEX-S7SF_SE,GTEX-S95S,GTEX-S95S_SE,GTEX-SE5C,GTEX-SE5C_SE,GTEX-SIU7,GTEX-SIU7_SE,GTEX-SIU8,GTEX-SIU8_SE,GTEX-SJXC,GTEX-SJXC_SE,GTEX-SN8G,GTEX-SN8G_SE,GTEX-SNMC,GTEX-SNMC_SE,GTEX-SNOS,GTEX-SNOS_SE,GTEX-SSA3,GTEX-SSA3_SE,GTEX-SUCS,GTEX-SUCS_SE,GTEX-T2IS,GTEX-T2IS_SE,GTEX-T2YK,GTEX-T2YK_SE,GTEX-T5JC,GTEX-T5JC_SE,GTEX-T5JW,GTEX-T5JW_SE,GTEX-T6MN,GTEX-T6MN_SE,GTEX-T6MO,GTEX-T6MO_SE,GTEX-T8EM,GTEX-T8EM_SE,GTEX-TKQ1,GTEX-TKQ1_SE,GTEX-TKQ2,GTEX-TKQ2_SE,GTEX-TMKS,GTEX-TMKS_SE,GTEX-TML8,GTEX-TML8_SE,GTEX-TMMY,GTEX-TMMY_SE,GTEX-TMZS,GTEX-TMZS_SE,GTEX-TSE9,GTEX-TSE9_SE,GTEX-U3ZH,GTEX-U3ZH_SE,GTEX-U3ZM,GTEX-U3ZM_SE,GTEX-U3ZN,GTEX-U3ZN_SE,GTEX-U412,GTEX-U412_SE,GTEX-U4B1,GTEX-U4B1_SE,GTEX-U8T8,GTEX-U8T8_SE,GTEX-U8XE,GTEX-U8XE_SE,GTEX-UJHI,GTEX-UJHI_SE,GTEX-UJMC,GTEX-UJMC_SE,GTEX-UPIC,GTEX-UPIC_SE,GTEX-UPJH,GTEX-UPJH_SE,GTEX-UPK5,GTEX-UPK5_SE,GTEX-UTHO,GTEX-UTHO_SE,GTEX-V1D1,GTEX-V1D1_SE,GTEX-V955,GTEX-V955_SE,GTEX-VJWN,GTEX-VJWN_SE,GTEX-VJYA,GTEX-VJYA_SE,GTEX-VUSG,GTEX-VUSG_SE,GTEX-VUSH,GTEX-VUSH_SE,GTEX-W5WG,GTEX-W5WG_SE,GTEX-W5X1,GTEX-W5X1_SE,GTEX-WCDI,GTEX-WCDI_SE,GTEX-WEY5,GTEX-WEY5_SE,GTEX-WFG7,GTEX-WFG7_SE,GTEX-WFG8,GTEX-WFG8_SE,GTEX-WFJO,GTEX-WFJO_SE,GTEX-WFON,GTEX-WFON_SE,GTEX-WH7G,GTEX-WH7G_SE,GTEX-WHPG,GTEX-WHPG_SE,GTEX-WHSB,GTEX-WHSB_SE,GTEX-WHSE,GTEX-WHSE_SE,GTEX-WHWD,GTEX-WHWD_SE,GTEX-WI4N,GTEX-WI4N_SE,GTEX-WK11,GTEX-WK11_SE,GTEX-WL46,GTEX-WL46_SE,GTEX-WOFL,GTEX-WOFL_SE,GTEX-WOFM,GTEX-WOFM_SE,GTEX-WQUQ,GTEX-WQUQ_SE,GTEX-WRHK,GTEX-WRHK_SE,GTEX-WRHU,GTEX-WRHU_SE,GTEX-WVLH,GTEX-WVLH_SE,GTEX-WWYW,GTEX-WWYW_SE,GTEX-WXYG,GTEX-WXYG_SE,GTEX-WY7C,GTEX-WY7C_SE,GTEX-WYBS,GTEX-WYBS_SE,GTEX-WYJK,GTEX-WYJK_SE,GTEX-WYVS,GTEX-WYVS_SE,GTEX-WZTO,GTEX-WZTO_SE,GTEX-X15G,GTEX-X15G_SE,GTEX-X261,GTEX-X261_SE,GTEX-X3Y1,GTEX-X3Y1_SE,GTEX-X4EO,GTEX-X4EO_SE,GTEX-X4EP,GTEX-X4EP_SE,GTEX-X4LF,GTEX-X4LF_SE,GTEX-X4XX,GTEX-X4XX_SE,GTEX-X4XY,GTEX-X4XY_SE,GTEX-X585,GTEX-X585_SE,GTEX-X5EB,GTEX-X5EB_SE,GTEX-X62O,GTEX-X62O_SE,GTEX-X8HC,GTEX-X8HC_SE,GTEX-XAJ8,GTEX-XAJ8_SE,GTEX-XBED,GTEX-XBED_SE
1,https://genenetwork.org/show_trait?trait_id=ENSG00000136826.9&dataset=GTEx_log2_Testi_0314,human,GTEx,GTEx_log2_Testi_0314,ENSG00000136826.9,KLF4,Kruppel-like factor 4 (gut),,N/A,9,110.247133,"EZF, GKLF",9314,N/A,Hs.376206,-,,,110.247133,110.252763,,,,,,4.67101218019213,4.81575,,x,x,4.55776,,x,x,x,x,x,x,x,x,4.19521,,x,x,x,x,x,x,x,x,x,x,5.00148,,x,x,x,x,x,x,5.11662,,4.41144,,4.72514,,4.84058,,x,x,4.84512,,x,x,x,x,x,x,x,x,x,x,x,x,3.66242,,4.85827,,4.60409,,x,x,x,x,x,x,4.03875,,5.72154,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2,https://genenetwork.org/show_trait?trait_id=ENSG00000136826.9&dataset=GTEx_Stoma_0414,human,GTEx,GTEx_Stoma_0414,ENSG00000136826.9,KLF4,Kruppel-like factor 4 (gut),,N/A,9,110.247133,"EZF, GKLF",9314,N/A,Hs.376206,-,,,110.247133,110.252763,,,,,,4.890220820903778,x,x,x,x,4.83693,,x,x,x,x,x,x,x,x,x,x,x,x,4.56841,,x,x,5.69957,,x,x,x,x,x,x,x,x,x,x,3.82787,,x,x,6.02822,,x,x,3.4697,,x,x,x,x,x,x,x,x,x,x,x,x,5.77628,,4.95745,,x,x,x,x,4.11985,,4.64982,,x,x,x,x,4.8277,,5.92085,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
3,https://genenetwork.org/show_trait?trait_id=ENSG00000136826.9&dataset=GTEx_log2_Aorta_0314,human,GTEx,GTEx_log2_Aorta_0314,ENSG00000136826.9,KLF4,Kruppel-like factor 4 (gut),,N/A,9,110.247133,"EZF, GKLF",9314,N/A,Hs.376206,-,,,110.247133,110.252763,,,,,,4.5112570722897845,x,x,4.4687,,5.40822,,x,x,x,x,x,x,3.40407,,5.52472,,3.58128,,5.3844,,x,x,4.49861,,5.08773,,3.46352,,x,x,4.87826,,4.83409,,x,x,4.2967,,3.74417,,4.69377,,x,x,5.75837,,x,x,x,x,x,x,x,x,4.7647,,5.30203,,4.07372,,x,x,4.55701,,x,x,5.40385,,x,x,3.72259,,3.74887,,3.18641,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,4.48438,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,https://genenetwork.org/show_trait?trait_id=ENSG00000136826.9&dataset=GTEx_Hypot_0414,human,GTEx,GTEx_Hypot_0414,ENSG00000136826.9,KLF4,Kruppel-like factor 4 (gut),,N/A,9,110.247133,"EZF, GKLF",9314,N/A,Hs.376206,-,,,110.247133,110.252763,,,,,,1.1008625963459844,3.33814,,0.0,,x,x,x,x,0.0,,0.0,,0.0,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,2.22414,,x,x,x,x,0.0,,x,x,x,x,x,x,x,x,0.0,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,2.39408,,x,x,x,x,x,x,x,x,2.02004,,x,x,x,x,x,x,x,x,x,x,x,x,0.0,,0.0,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,2.95954,,x,x,0.0,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,,x,x,2.66143,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,3.03661,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,4.26559,,2.42027,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
5,https://genenetwork.org/show_trait?trait_id=ENSG00000136826.9&dataset=GTEx_Kidne_0414,human,GTEx,GTEx_Kidne_0414,ENSG00000136826.9,KLF4,Kruppel-like factor 4 (gut),,N/A,9,110.247133,"EZF, GKLF",9314,N/A,Hs.376206,-,,,110.247133,110.252763,,,,,,2.2888333002726235,2.37692,,x,x,x,x,x,x,x,x,x,x,2.1346,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,2.35498,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
6,https://genenetwork.org/show_trait?trait_id=ENSG00000136826.9&dataset=GTEx_Liver_0414,human,GTEx,GTEx_Liver_0414,ENSG00000136826.9,KLF4,Kruppel-like factor 4 (gut),,N/A,9,110.247133,"EZF, GKLF",9314,N/A,Hs.376206,-,,,110.247133,110.252763,,,,,,0.7919419765472412,x,x,x,x,x,x,x,x,x,x,x,x,x,x,3.95971,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
7,https://genenetwork.org/show_trait?trait_id=ENSG00000136826.9&dataset=GTEx_HIP_0314,human,GTEx,GTEx_HIP_0314,ENSG00000136826.9,KLF4,Kruppel-like factor 4 (gut),,N/A,9,110.247133,"EZF, GKLF",9314,N/A,Hs.376206,-,,,110.247133,110.252763,,,,,,1.9051374892393749,2.36117,,x,x,x,x,x,x,x,x,2.33866,,0.0,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,2.18085,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,2.78262,,x,x,x,x,x,x,0.0,,x,x,x,x,0.0,,x,x,x,x,x,x,x,x,2.63637,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,2.05564,,x,x,x,x,x,x,2.61659,,3.63645,,x,x,x,x,x,x,x,x,x,x,x,x,3.37773,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,,x,x,2.84729,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,3.04961,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,3.91713,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,2.02034,,x,x,x,x,x,x,2.56367,,x,x,x,x,x,x,x,x,x,x,x,x,2.53833,,x,x,x,x,x,x,x,x,x,x,2.48892,,x,x,x,x,x,x,x,x,x,x,x,x,2.31193,,x,x,x,x,x,x,x,x,x,x,x,x,x,x
8,https://genenetwork.org/show_trait?trait_id=ENSG00000136826.9&dataset=GTEx_Prost_0414,human,GTEx,GTEx_Prost_0414,ENSG00000136826.9,KLF4,Kruppel-like factor 4 (gut),,N/A,9,110.247133,"EZF, GKLF",9314,N/A,Hs.376206,-,,,110.247133,110.252763,,,,,,4.000810066858928,x,x,x,x,3.87575,,x,x,x,x,x,x,4.48392,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,4.2621,,x,x,3.02612,,3.5427,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,4.09843,,x,x,x,x,x,x,x,x,3.9829,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,4.29117,,x,x,x,x,x,x,x,x,x,x,x,x,4.4442,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
9,https://genenetwork.org/show_trait?trait_id=ENSG00000136826.9&dataset=GTEx_Putam_0414,human,GTEx,GTEx_Putam_0414,ENSG00000136826.9,KLF4,Kruppel-like factor 4 (gut),,N/A,9,110.247133,"EZF, GKLF",9314,N/A,Hs.376206,-,,,110.247133,110.252763,,,,,,1.2616880059242248,2.86752,,0.0,,x,x,0.0,,x,x,x,x,0.0,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,,x,x,x,x,x,x,x,x,0.0,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,2.22644,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,,x,x,x,x,x,x,x,x,x,x,0.0,,x,x,x,x,2.54911,,x,x,0.0,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,,x,x,2.87106,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,3.22262,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,2.22211,,x,x,x,x,x,x,3.05024,,x,x,x,x,x,x,x,x,x,x,3.93969,,2.28497,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10,https://genenetwork.org/show_trait?trait_id=ENSG00000136826.9&dataset=GTEx_log2_Kidne_0314,human,GTEx,GTEx_log2_Kidne_0314,ENSG00000136826.9,KLF4,Kruppel-like factor 4 (gut),,N/A,9,110.247133,"EZF, GKLF",9314,N/A,Hs.376206,-,,,110.247133,110.252763,,,,,,2.2888333002726235,2.37692,,x,x,x,x,x,x,x,x,x,x,2.1346,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,2.35498,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
