"Export Date: December 11, 2024"
Export Time: 12:36 GMT
Exported Row Number: 10000
"Funding for The GeneNetwork: NIGMS (R01 GM123489, 2017-2026), NIDA (P30 DA044223, 2017-2022), NIA (R01AG043930, 2013-2018), NIAAA (U01 AA016662, U01 AA013499, U24 AA013513, U01 AA014425, 2006-2017), NIDA/NIMH/NIAAA (P20-DA 21131, 2001-2012), NCI MMHCC (U01CA105417), NCRR/BIRN (U24 RR021760)"

Index,URL,Species,Group,Dataset,Record ID,Symbol,Description,ProbeTarget,PubMed_ID,Chr,Mb,Alias,Gene_ID,Homologene_ID,UniGene_ID,Strand_Probe,Probe_set_specificity,Probe_set_BLAT_score,Probe_set_BLAT_Mb_start,Probe_set_BLAT_Mb_end,QTL_Chr,QTL_Mb,Locus_at_Peak,Max_LRS,P_value_of_MAX,Mean_Expression,AKR/J,AKR/J_SE,DBA/2J,DBA/2J_SE,AKF1,AKF1_SE,KAF1,KAF1_SE,AKXD1,AKXD1_SE,AKXD2,AKXD2_SE,AKXD3,AKXD3_SE,AKXD6,AKXD6_SE,AKXD7,AKXD7_SE,AKXD8,AKXD8_SE,AKXD9,AKXD9_SE,AKXD10,AKXD10_SE,AKXD11,AKXD11_SE,AKXD12,AKXD12_SE,AKXD13,AKXD13_SE,AKXD14,AKXD14_SE,AKXD15,AKXD15_SE,AKXD16,AKXD16_SE,AKXD18,AKXD18_SE,AKXD20,AKXD20_SE,AKXD21,AKXD21_SE,AKXD22,AKXD22_SE,AKXD23,AKXD23_SE,AKXD24,AKXD24_SE,AKXD25,AKXD25_SE,AKXD26,AKXD26_SE,AKXD27,AKXD27_SE,AKXD28,AKXD28_SE
1,https://genenetwork.org/show_trait?trait_id=1437374_at_B&dataset=MA_M_0704_M,mouse,AKXD,MA_M_0704_M,1437374_at_B,4632433K11Rik,"immune system expression, C2H2 type zinc finger protein, RIKEN cDNA 4632433K11; 3' UTR",3' UTR,N/A,7,5.032685,"4632433K11Rik, LOC319748",77043,N/A,Mm.349546,+,11.15,223.0,5.032685,5.032929,11,53.734268,gnf11.055.501,10.7070740784247,0.574,7.95153333333333,x,x,x,x,x,x,x,x,x,x,8.0555,,8.48667,,x,x,7.801,,x,x,7.46333,,8.10733,,8.66167,,x,x,8.23833,,7.73267,,x,x,7.767,,7.44767,,7.80533,,7.85833,,8.18033,,7.69567,,8.39967,,7.9415,,x,x,7.7016,,7.784,
2,https://genenetwork.org/show_trait?trait_id=1437374_at_B&dataset=MA_M_0704_R,mouse,AKXD,MA_M_0704_R,1437374_at_B,4632433K11Rik,"immune system expression, C2H2 type zinc finger protein, RIKEN cDNA 4632433K11; 3' UTR",3' UTR,N/A,7,5.032685,"4632433K11Rik, LOC319748",77043,N/A,Mm.349546,+,11.15,223.0,5.032685,5.032929,,,rs6324074,9.93729744451429,0.631,9.733117592611109,x,x,x,x,x,x,x,x,x,x,9.7285,,9.82133,,x,x,9.68967,,x,x,9.74667,,9.71,,9.85067,,x,x,9.73167,,9.71433,,x,x,9.68733,,9.72033,,9.78533,,9.65533,,9.638,,9.76467,,9.69167,,9.90375,,x,x,9.6892,,9.66767,
3,https://genenetwork.org/show_trait?trait_id=1425238_at_A&dataset=MA_M_0704_M,mouse,AKXD,MA_M_0704_M,1425238_at_A,BC011413,"similar to ribosomal protein S20 (high expression in immune system, downstream of Anln); far 3' UTR (or short downstream gene BC011413)",far 3' UTR (or short downstream gene BC011413),N/A,9,22.330146,"1110037A17Rik, 2900037I21Rik, ANILLIN, Scraps, BC011413",68743,N/A,Mm.282751,-,11.05,221.0,22.330146,22.330616,,,rs6259742,14.4065214841458,0.129,9.180287037055558,x,x,x,x,x,x,x,x,x,x,9.398,,9.244,,x,x,9.169,,x,x,9.34267,,9.037,,9.16867,,x,x,9.14333,,9.329,,x,x,9.466,,9.01167,,8.983,,8.978,,9.14833,,9.65167,,9.113,,8.7895,,x,x,8.993,,9.27933,
4,https://genenetwork.org/show_trait?trait_id=1425238_at_A&dataset=MA_M_0704_R,mouse,AKXD,MA_M_0704_R,1425238_at_A,BC011413,"similar to ribosomal protein S20 (high expression in immune system, downstream of Anln); far 3' UTR (or short downstream gene BC011413)",far 3' UTR (or short downstream gene BC011413),N/A,9,22.330146,"1110037A17Rik, 2900037I21Rik, ANILLIN, Scraps, BC011413",68743,N/A,Mm.282751,-,11.05,221.0,22.330146,22.330616,4,23.985283,rs13477608,4.8293093614887495,0.591,9.201247222277779,x,x,x,x,x,x,x,x,x,x,9.2055,,9.18667,,x,x,9.12,,x,x,9.15967,,9.14433,,9.169,,x,x,9.12067,,9.207,,x,x,9.24,,9.148,,9.14033,,9.15167,,9.16467,,9.84,,9.06367,,9.14975,,x,x,9.2112,,9.20033,
5,https://genenetwork.org/show_trait?trait_id=1435540_at_B&dataset=MA_M_0704_M,mouse,AKXD,MA_M_0704_M,1435540_at_B,Irgq1,"immunity-related GTPase family, Q1",,N/A,7,24.538075,FKSG27,210146,N/A,Mm.41108,+,12.35,247.0,24.538075,24.538506,1,174.792334,rs13476241,8.39553596291093,0.931,10.1757435183333,x,x,x,x,x,x,x,x,x,x,10.3125,,10.3403,,x,x,10.2007,,x,x,10.176,,10.0827,,10.0203,,x,x,10.073,,9.934,,x,x,10.108,,10.205,,10.177,,10.01,,10.363,,10.0213,,10.2547,,10.2548,,x,x,10.3848,,10.2453,
6,https://genenetwork.org/show_trait?trait_id=1437653_at_B&dataset=MA_M_0704_M,mouse,AKXD,MA_M_0704_M,1437653_at_B,Irgq1,"immunity-related GTPase family, Q1",,N/A,7,24.533537,FKSG27,210146,N/A,Mm.41108,+,9.8,196.0,24.533537,24.533995,4,114.037341,rs3687391,10.9731564483187,0.465,7.00323333338889,x,x,x,x,x,x,x,x,x,x,7.0075,,7.27533,,x,x,6.99267,,x,x,6.97767,,6.375,,6.74633,,x,x,7.03333,,6.409,,x,x,7.05267,,6.96167,,7.625,,6.76267,,6.763,,7.34867,,7.032,,7.2915,,x,x,7.3092,,7.095,
7,https://genenetwork.org/show_trait?trait_id=1435540_at_B&dataset=MA_M_0704_R,mouse,AKXD,MA_M_0704_R,1435540_at_B,Irgq1,"immunity-related GTPase family, Q1",,N/A,7,24.538075,FKSG27,210146,N/A,Mm.41108,+,12.35,247.0,24.538075,24.538506,14,103.014266,CEL-14_94845626,9.516506580244709,0.723,10.2602768509444,x,x,x,x,x,x,x,x,x,x,10.4315,,10.4073,,x,x,10.3223,,x,x,10.3363,,10.1967,,9.86167,,x,x,10.229,,10.1003,,x,x,10.3067,,10.4073,,10.216,,10.2453,,10.521,,9.823,,10.3893,,10.0337,,x,x,10.4734,,10.384,
8,https://genenetwork.org/show_trait?trait_id=1437653_at_B&dataset=MA_M_0704_R,mouse,AKXD,MA_M_0704_R,1437653_at_B,Irgq1,"immunity-related GTPase family, Q1",,N/A,7,24.533537,FKSG27,210146,N/A,Mm.41108,+,9.8,196.0,24.533537,24.533995,7,24.837174,CEL-7_12787527,10.853892996466302,0.324,9.2238814815,x,x,x,x,x,x,x,x,x,x,9.2195,,9.242,,x,x,9.27567,,x,x,9.29767,,9.14467,,9.501,,x,x,9.144,,9.17933,,x,x,9.17333,,9.22067,,9.293,,9.146,,9.06133,,9.20867,,9.113,,9.4085,,x,x,9.1582,,9.24333,
9,https://genenetwork.org/show_trait?trait_id=1415876_a_at_A&dataset=MA_M_0704_M,mouse,AKXD,MA_M_0704_M,1415876_a_at_A,Rps26,40S ribosomal protein S26 (type I diabetes); exons 1 and 2 (confirmed),exons 1 and 2 (confirmed),N/A,10,128.625266,Not available,27370,N/A,Mm.261679,-,1.01063829787234,190.0,128.625266,128.626218,4,23.985283,rs13477608,5.05587421496624,0.45,13.5393611105556,x,x,x,x,x,x,x,x,x,x,13.661,,13.6547,,x,x,13.6667,,x,x,13.643,,13.618,,13.6937,,x,x,13.758,,13.6573,,x,x,13.6803,,13.5933,,13.6693,,13.538,,13.6143,,11.667,,13.5733,,13.8025,,x,x,13.544,,13.674,
10,https://genenetwork.org/show_trait?trait_id=1415876_a_at_A&dataset=MA_M_0704_R,mouse,AKXD,MA_M_0704_R,1415876_a_at_A,Rps26,40S ribosomal protein S26 (type I diabetes); exons 1 and 2 (confirmed),exons 1 and 2 (confirmed),N/A,10,128.625266,Not available,27370,N/A,Mm.261679,-,1.01063829787234,190.0,128.625266,128.626218,4,23.985283,rs13477608,4.8446294170567095,0.448,13.2889666661111,x,x,x,x,x,x,x,x,x,x,13.397,,13.369,,x,x,13.3393,,x,x,13.4147,,13.373,,13.4107,,x,x,13.3983,,13.4217,,x,x,13.4503,,13.3123,,13.364,,13.2897,,13.2973,,11.851,,13.3363,,13.474,,x,x,13.3434,,13.3593,
11,https://genenetwork.org/show_trait?trait_id=1430332_a_at_A&dataset=MA_M_0704_M,mouse,AKXD,MA_M_0704_M,1430332_a_at_A,Gusb,"glucuronidase, beta; exons 2 and 4",exons 2 and 4,N/A,5,129.999926,"Gur, Gus, Gus-r, Gus-s, Gus-t, Gus-u, Gut, asd, g",110006,N/A,,-,7.9,158.0,129.999926,130.000793,12,96.105012,rs13481599,10.4690738500649,0.431,9.88535555561111,x,x,x,x,x,x,x,x,x,x,10.16,,9.832,,x,x,9.936,,x,x,9.913,,9.96767,,9.88433,,x,x,9.73467,,9.84467,,x,x,9.82433,,9.89467,,10.0443,,9.515,,9.839,,10.1577,,9.85867,,9.709,,x,x,10.0234,,9.798,
12,https://genenetwork.org/show_trait?trait_id=1430332_a_at_A&dataset=MA_M_0704_R,mouse,AKXD,MA_M_0704_R,1430332_a_at_A,Gusb,"glucuronidase, beta; exons 2 and 4",exons 2 and 4,N/A,5,129.999926,"Gur, Gus, Gus-r, Gus-s, Gus-t, Gus-u, Gut, asd, g",110006,N/A,,-,7.9,158.0,129.999926,130.000793,5,143.931282,rs3023061,11.5920038322909,0.444,9.34454444444444,x,x,x,x,x,x,x,x,x,x,9.685,,9.283,,x,x,9.615,,x,x,9.293,,9.43833,,9.441,,x,x,9.19,,9.27767,,x,x,9.25867,,9.428,,9.373,,9.10133,,9.247,,9.542,,9.365,,9.014,,x,x,9.4578,,9.192,
13,https://genenetwork.org/show_trait?trait_id=1422562_at_A&dataset=MA_M_0704_M,mouse,AKXD,MA_M_0704_M,1422562_at_A,Rrad,Ras-related associated with diabetes; last exon and 3' UTR,last exon and 3' UTR,N/A,8,104.628118,"REM3, Rad",56437,N/A,Mm.29467,-,12.1,242.0,104.628118,104.628628,X,7.360055,DXMit55,5.45864764428611,0.954,5.3961305555,x,x,x,x,x,x,x,x,x,x,5.5205,,5.25467,,x,x,4.55267,,x,x,4.797,,4.87733,,5.58133,,x,x,5.17833,,4.75967,,x,x,5.00167,,5.79933,,6.09333,,5.00833,,5.45233,,7.88933,,5.40767,,5.32525,,x,x,5.0056,,5.626,
14,https://genenetwork.org/show_trait?trait_id=1422562_at_A&dataset=MA_M_0704_R,mouse,AKXD,MA_M_0704_R,1422562_at_A,Rrad,Ras-related associated with diabetes; last exon and 3' UTR,last exon and 3' UTR,N/A,8,104.628118,"REM3, Rad",56437,N/A,Mm.29467,-,12.1,242.0,104.628118,104.628628,4,23.985283,rs13477608,7.3719570496779,0.188,6.63470277772222,x,x,x,x,x,x,x,x,x,x,6.5835,,6.55633,,x,x,6.603,,x,x,6.49067,,6.63333,,6.60967,,x,x,6.53033,,6.45033,,x,x,6.61933,,6.745,,6.545,,6.344,,6.567,,7.45433,,6.63767,,6.66975,,x,x,6.7364,,6.649,
15,https://genenetwork.org/show_trait?trait_id=1417395_at_A&dataset=MA_M_0704_M,mouse,AKXD,MA_M_0704_M,1417395_at_A,Klf4,"Kruppel-like factor 4 (epithelial zinc finger protein of gut, Yamanaka factor); mid 3' UTR",mid 3' UTR,N/A,4,55.527985,"EZF, Gklf, Zie",16600,N/A,Mm.4325,-,1.3519553072625698,242.0,55.527985,55.527986,,,CEL-7_88140553,9.08741423396345,0.827,8.38492407405556,x,x,x,x,x,x,x,x,x,x,8.6805,,8.29767,,x,x,8.68833,,x,x,8.14033,,8.278,,8.387,,x,x,8.46267,,8.068,,x,x,8.811,,8.46867,,8.30233,,7.8,,8.65167,,8.435,,8.49233,,8.275,,x,x,8.5688,,8.12133,
