"Export Date: December 11, 2024"
Export Time: 12:36 GMT
Exported Row Number: 10000
"Funding for The GeneNetwork: NIGMS (R01 GM123489, 2017-2026), NIDA (P30 DA044223, 2017-2022), NIA (R01AG043930, 2013-2018), NIAAA (U01 AA016662, U01 AA013499, U24 AA013513, U01 AA014425, 2006-2017), NIDA/NIMH/NIAAA (P20-DA 21131, 2001-2012), NCI MMHCC (U01CA105417), NCRR/BIRN (U24 RR021760)"

Index,URL,Species,Group,Dataset,Record ID,Symbol,Description,ProbeTarget,PubMed_ID,Chr,Mb,Alias,Gene_ID,Homologene_ID,UniGene_ID,Strand_Probe,Probe_set_specificity,Probe_set_BLAT_score,Probe_set_BLAT_Mb_start,Probe_set_BLAT_Mb_end,QTL_Chr,QTL_Mb,Locus_at_Peak,Max_LRS,P_value_of_MAX,Mean_Expression,NZB2421,NZB2421_SE,NZB2424,NZB2424_SE,NZB2426,NZB2426_SE,NZB2703,NZB2703_SE,NZB3001,NZB3001_SE,NZB3004,NZB3004_SE,NZB3039,NZB3039_SE,NZB3042,NZB3042_SE,NZB3046,NZB3046_SE,NZB3047,NZB3047_SE,NZB3053,NZB3053_SE,NZB3197,NZB3197_SE,NZB3199,NZB3199_SE,NZB3289,NZB3289_SE,NZB3290,NZB3290_SE,NZB3291,NZB3291_SE,NZB3295,NZB3295_SE,NZB3296,NZB3296_SE,NZB3299,NZB3299_SE,NZB3351,NZB3351_SE,NZB3353,NZB3353_SE,NZB3355,NZB3355_SE,NZB3394,NZB3394_SE,NZB3397,NZB3397_SE,NZB3546,NZB3546_SE,NZB3547,NZB3547_SE,NZB3548,NZB3548_SE,NZB3550,NZB3550_SE,NZB3551,NZB3551_SE,NZB3567,NZB3567_SE,NZB3568,NZB3568_SE,NZB3569,NZB3569_SE,NZB3570,NZB3570_SE,NZB3572,NZB3572_SE,NZB3738,NZB3738_SE,NZB3739,NZB3739_SE,NZB3769,NZB3769_SE,NZB3824,NZB3824_SE,NZB3825,NZB3825_SE,NZB3827,NZB3827_SE,NZB3830,NZB3830_SE,NZB3852,NZB3852_SE,NZB3853,NZB3853_SE,NZB3854,NZB3854_SE,NZB3855,NZB3855_SE,NZB3864,NZB3864_SE,NZB3867,NZB3867_SE,NZB3868,NZB3868_SE,NZB3890,NZB3890_SE,NZB3891,NZB3891_SE,NZB4946,NZB4946_SE,NZB4950,NZB4950_SE,NZB4955,NZB4955_SE,NZB4956,NZB4956_SE,NZB4957,NZB4957_SE,NZB4958,NZB4958_SE,NZB4960,NZB4960_SE,NZB4963,NZB4963_SE,NZB4964,NZB4964_SE,NZB4966,NZB4966_SE,NZB4967,NZB4967_SE,NZB4971,NZB4971_SE,NZB4973,NZB4973_SE,NZB4974,NZB4974_SE,NZB4975,NZB4975_SE,NZB4977,NZB4977_SE,NZB4978,NZB4978_SE,NZB4979,NZB4979_SE,NZB4980,NZB4980_SE,NZB5000,NZB5000_SE
1,https://genenetwork.org/show_trait?trait_id=1437374_at&dataset=NCI_Mam_Tum_RMA_0409,mouse,NZBXFVB-N2,NCI_Mam_Tum_RMA_0409,1437374_at,4632433K11Rik,"immune system expression, C2H2 type zinc finger protein, RIKEN cDNA 4632433K11; 3' UTR",3' UTR,N/A,7,5.032685,"4632433K11Rik, LOC319748",77043,N/A,Mm.349546,+,11.15,223.0,5.032685,5.032929,10,10.898996,rs6208271,8.62544924071009,,8.71404539455067,8.638,,8.543,,9.179,,8.69,,8.638,,8.664,,8.651,,8.607,,8.553,,x,x,8.972,,8.788,,8.622,,8.694,,8.629,,9.035,,8.665,,8.979,,8.601,,8.728,,8.63,,8.594,,8.686,,8.726,,8.698,,8.647,,8.937,,8.601,,x,x,8.782,,8.712,,8.717,,8.741,,8.841,,8.568,,8.644,,8.707,,8.491,,8.849,,8.635,,8.738,,8.754,,8.627,,8.512,,8.715,,8.536,,8.679,,8.605,,8.733,,8.535,,8.917,,8.736,,8.809,,8.766,,8.574,,8.867,,8.934,,8.676,,x,x,8.627,,8.689,,8.944,,8.997,,x,x,8.653,,8.494,,8.796,,8.705,,8.646,,8.781,
2,https://genenetwork.org/show_trait?trait_id=1425238_at&dataset=NCI_Mam_Tum_RMA_0409,mouse,NZBXFVB-N2,NCI_Mam_Tum_RMA_0409,1425238_at,BC011413,"similar to ribosomal protein S20 (high expression in immune system, downstream of Anln); far 3' UTR (or short downstream gene BC011413)",far 3' UTR (or short downstream gene BC011413),N/A,9,22.330146,"1110037A17Rik, 2900037I21Rik, ANILLIN, Scraps, BC011413",68743,N/A,Mm.282751,-,6.161290323,191.0,22.330146,22.330586,,,D8Mit141,8.89562338491278,,8.529136310924184,8.464,,8.576,,8.581,,8.705,,8.444,,8.405,,8.324,,8.417,,8.586,,x,x,8.098,,8.758,,8.547,,8.544,,8.42,,8.595,,8.625,,8.452,,8.482,,8.464,,8.826,,8.447,,8.556,,8.331,,8.646,,8.68,,8.153,,8.694,,x,x,8.323,,8.468,,8.709,,8.466,,8.572,,8.775,,8.572,,8.776,,8.626,,8.643,,8.515,,8.26,,8.411,,8.469,,8.193,,8.778,,8.708,,8.511,,8.36,,8.4,,8.339,,8.557,,8.813,,8.52,,8.51,,8.299,,8.679,,8.54,,8.326,,x,x,8.761,,8.464,,8.855,,8.48,,x,x,8.54,,8.433,,8.661,,8.401,,8.801,,8.589,
3,https://genenetwork.org/show_trait?trait_id=1435540_at&dataset=NCI_Mam_Tum_RMA_0409,mouse,NZBXFVB-N2,NCI_Mam_Tum_RMA_0409,1435540_at,Irgq1,"immunity-related GTPase family, Q1",,N/A,7,24.538075,FKSG27,210146,N/A,Mm.41108,+,12.35,247.0,24.538075,24.538506,,,D3Mit60,4.79564629373764,,10.241060574849447,10.066,,10.122,,10.053,,10.26,,10.425,,10.27,,10.202,,10.391,,10.313,,x,x,9.825,,10.422,,10.336,,10.34,,10.222,,10.094,,10.349,,10.088,,10.26,,10.285,,10.4,,10.566,,10.437,,10.265,,10.338,,10.148,,10.268,,10.224,,x,x,9.938,,10.422,,10.392,,10.613,,10.274,,10.23,,10.378,,10.219,,10.255,,10.316,,10.332,,10.402,,10.403,,10.005,,9.848,,10.464,,10.191,,10.411,,10.112,,10.459,,9.508,,9.627,,9.926,,10.452,,10.577,,10.146,,10.519,,10.453,,9.667,,x,x,10.242,,10.262,,10.28,,9.999,,x,x,10.221,,10.354,,10.358,,10.112,,10.219,,10.355,
4,https://genenetwork.org/show_trait?trait_id=1437653_at&dataset=NCI_Mam_Tum_RMA_0409,mouse,NZBXFVB-N2,NCI_Mam_Tum_RMA_0409,1437653_at,Irgq1,"immunity-related GTPase family, Q1",,N/A,7,24.533537,FKSG27,210146,N/A,Mm.41108,+,9.8,196.0,24.533537,24.533995,,,D18Mit17,9.782806357802688,,7.623969706622037,7.438,,7.256,,7.983,,7.605,,7.526,,7.608,,7.59,,7.383,,7.492,,x,x,8.022,,7.894,,7.439,,7.829,,7.289,,7.951,,7.777,,7.451,,7.592,,7.66,,7.529,,7.487,,7.56,,7.727,,7.75,,7.759,,7.911,,7.719,,x,x,7.882,,7.586,,7.75,,7.773,,7.774,,7.61,,7.482,,7.645,,7.546,,7.397,,7.826,,7.356,,7.506,,7.394,,7.445,,7.587,,7.605,,7.696,,7.517,,7.676,,8.089,,7.581,,7.622,,7.641,,7.516,,7.441,,7.608,,7.572,,7.886,,x,x,7.658,,7.432,,7.677,,7.853,,x,x,7.507,,7.315,,7.887,,7.439,,7.58,,7.598,
5,https://genenetwork.org/show_trait?trait_id=1415876_a_at&dataset=NCI_Mam_Tum_RMA_0409,mouse,NZBXFVB-N2,NCI_Mam_Tum_RMA_0409,1415876_a_at,Rps26,40S ribosomal protein S26 (type I diabetes); exons 1 and 2 (confirmed),exons 1 and 2 (confirmed),N/A,10,128.625266,Not available,27370,N/A,Mm.261679,-,1.010638298,190.0,128.625266,128.626218,10,10.898996,rs6208271,7.177584481392709,,14.278696984955758,14.247,,14.112,,14.994,,14.224,,14.047,,14.171,,14.185,,13.993,,14.16,,x,x,14.746,,14.245,,14.108,,14.171,,14.217,,15.047,,14.112,,14.535,,14.256,,14.538,,14.19,,14.089,,14.157,,14.761,,14.24,,14.173,,14.901,,14.199,,x,x,14.993,,14.074,,14.223,,14.167,,14.188,,14.222,,14.12,,14.244,,14.118,,14.147,,14.152,,14.167,,14.18,,14.154,,14.109,,14.216,,14.011,,14.193,,14.097,,14.239,,14.897,,15.066,,14.174,,14.064,,14.05,,14.132,,14.1,,14.1,,14.839,,x,x,14.173,,14.185,,14.263,,14.958,,x,x,14.106,,13.993,,14.11,,14.146,,14.104,,14.102,
6,https://genenetwork.org/show_trait?trait_id=1430332_a_at&dataset=NCI_Mam_Tum_RMA_0409,mouse,NZBXFVB-N2,NCI_Mam_Tum_RMA_0409,1430332_a_at,Gusb,"glucuronidase, beta; exons 2 and 4",exons 2 and 4,N/A,5,129.999926,"Gur, Gus, Gus-r, Gus-s, Gus-t, Gus-u, Gut, asd, g",110006,N/A,,-,7.9,158.0,129.999926,130.000793,,,rs13481315,7.30404552341737,,9.280666683659408,9.286,,9.157,,8.311,,9.478,,9.533,,9.394,,9.143,,9.562,,9.535,,x,x,8.759,,9.763,,9.204,,9.443,,9.477,,8.374,,9.618,,9.121,,8.964,,9.055,,9.5,,9.436,,9.717,,8.378,,9.581,,10.047,,8.461,,9.589,,x,x,9.129,,9.224,,9.016,,9.348,,9.504,,9.739,,9.142,,9.288,,9.395,,9.449,,9.466,,9.18,,9.159,,9.102,,9.38,,9.147,,9.855,,9.611,,9.444,,8.909,,8.697,,8.419,,9.688,,9.435,,9.566,,9.261,,9.573,,9.339,,8.658,,x,x,9.829,,9.094,,9.463,,8.463,,x,x,9.57,,9.218,,9.434,,9.321,,9.397,,9.726,
7,https://genenetwork.org/show_trait?trait_id=1422562_at&dataset=NCI_Mam_Tum_RMA_0409,mouse,NZBXFVB-N2,NCI_Mam_Tum_RMA_0409,1422562_at,Rrad,Ras-related associated with diabetes; last exon and 3' UTR,last exon and 3' UTR,N/A,8,104.628118,"REM3, Rad",56437,N/A,Mm.29467,-,12.1,242.0,104.628118,104.628628,17,16.345501,rs6181074,4.70441059345339,,6.653075774510701,6.691,,6.854,,6.406,,6.621,,6.757,,6.656,,6.51,,6.562,,7.839,,x,x,6.223,,6.834,,6.826,,6.767,,7.089,,5.941,,6.988,,7.127,,6.879,,6.737,,6.819,,6.964,,6.68,,6.298,,6.659,,6.97,,6.117,,6.317,,x,x,6.223,,6.856,,6.513,,6.746,,6.382,,7.011,,6.303,,6.589,,6.768,,6.988,,6.346,,6.545,,6.788,,6.593,,6.166,,6.782,,7.08,,6.646,,6.38,,7.089,,6.814,,6.461,,6.441,,6.41,,6.895,,6.517,,6.842,,6.315,,6.194,,x,x,6.806,,6.648,,6.511,,6.32,,x,x,6.503,,6.687,,6.774,,6.815,,6.817,,6.408,
8,https://genenetwork.org/show_trait?trait_id=1417395_at&dataset=NCI_Mam_Tum_RMA_0409,mouse,NZBXFVB-N2,NCI_Mam_Tum_RMA_0409,1417395_at,Klf4,"Kruppel-like factor 4 (epithelial zinc finger protein of gut, Yamanaka factor); mid 3' UTR",mid 3' UTR,N/A,4,55.527985,"EZF, Gklf, Zie",16600,N/A,Mm.4325,-,1.3519553069999999,242.0,55.527985,55.527986,,,D5Mit244,7.567167977592149,,8.414848472132828,8.569,,8.223,,9.373,,10.428,,8.224,,8.016,,9.825,,8.197,,7.955,,x,x,8.35,,7.581,,8.61,,8.155,,8.0,,8.472,,8.351,,8.571,,8.606,,8.731,,7.594,,8.374,,8.335,,8.8,,8.068,,8.401,,8.931,,8.961,,x,x,7.891,,8.281,,8.017,,7.485,,7.98,,8.529,,8.253,,9.572,,8.202,,8.528,,8.293,,8.291,,8.465,,7.575,,8.308,,8.307,,8.68,,9.409,,8.129,,8.401,,8.164,,9.768,,8.364,,8.333,,8.084,,8.429,,8.28,,8.203,,8.527,,x,x,7.769,,8.533,,7.921,,7.512,,x,x,7.849,,8.291,,8.292,,8.13,,10.294,,8.34,
9,https://genenetwork.org/show_trait?trait_id=1421509_at&dataset=NCI_Mam_Tum_RMA_0409,mouse,NZBXFVB-N2,NCI_Mam_Tum_RMA_0409,1421509_at,Sorcs1,VPS10 domain receptor protein SORCS 1 (type 2 diabetes); proximal 3' UTR,proximal 3' UTR,N/A,19,50.15042,"Sorcs, T2dm2",58178,N/A,Mm.313672,-,12.05,241.0,50.15042,50.150871,,,D5Mit244,9.10705159231966,,6.228712118033207,6.673,,6.2,,5.753,,6.218,,6.329,,6.353,,6.215,,6.151,,6.321,,x,x,6.164,,6.264,,6.201,,6.466,,6.174,,6.354,,6.367,,6.051,,6.259,,6.143,,6.335,,6.192,,6.405,,5.868,,6.209,,6.315,,5.943,,6.248,,x,x,6.177,,6.095,,6.427,,6.378,,6.35,,6.126,,6.216,,6.497,,6.29,,6.158,,6.143,,6.264,,6.379,,6.341,,6.33,,6.232,,6.176,,6.25,,6.268,,6.246,,5.945,,6.059,,6.251,,6.187,,6.113,,6.243,,6.19,,6.174,,6.052,,x,x,6.385,,6.278,,6.292,,6.183,,x,x,6.323,,5.946,,6.265,,6.345,,6.086,,6.264,
10,https://genenetwork.org/show_trait?trait_id=1423529_at&dataset=NCI_Mam_Tum_RMA_0409,mouse,NZBXFVB-N2,NCI_Mam_Tum_RMA_0409,1423529_at,G6pc2,"glucose-6-phosphatase, catalytic, 2 (pancreatic, autoimmunity, diabetes associated); distal 3' UTR",distal 3' UTR,N/A,2,69.227347,"G6pc-rs, IGRP",14378,N/A,Mm.140768,+,12.35,247.0,69.227347,69.227823,17,16.345501,rs6181074,8.50576334046786,,5.157303022615837,5.314,,5.168,,4.606,,5.347,,5.226,,5.056,,5.215,,5.158,,5.149,,x,x,4.749,,5.269,,5.33,,5.174,,5.043,,4.831,,5.127,,4.995,,5.179,,5.081,,5.202,,5.22,,5.186,,4.83,,5.292,,5.281,,4.769,,5.25,,x,x,4.976,,5.238,,5.266,,5.161,,5.448,,5.153,,5.179,,5.301,,5.185,,5.134,,5.198,,5.149,,5.244,,5.244,,5.308,,5.475,,5.329,,5.223,,5.074,,5.123,,4.831,,4.862,,5.132,,5.205,,5.18,,5.248,,5.32,,5.378,,4.885,,x,x,5.339,,5.341,,5.174,,4.855,,x,x,5.176,,5.361,,5.135,,5.097,,5.127,,5.281,
