"Export Date: December 11, 2024"
Export Time: 12:36 GMT
Exported Row Number: 10000
"Funding for The GeneNetwork: NIGMS (R01 GM123489, 2017-2026), NIDA (P30 DA044223, 2017-2022), NIA (R01AG043930, 2013-2018), NIAAA (U01 AA016662, U01 AA013499, U24 AA013513, U01 AA014425, 2006-2017), NIDA/NIMH/NIAAA (P20-DA 21131, 2001-2012), NCI MMHCC (U01CA105417), NCRR/BIRN (U24 RR021760)"

Index,URL,Species,Group,Dataset,Record ID,Symbol,Description,ProbeTarget,PubMed_ID,Chr,Mb,Alias,Gene_ID,Homologene_ID,UniGene_ID,Strand_Probe,Probe_set_specificity,Probe_set_BLAT_score,Probe_set_BLAT_Mb_start,Probe_set_BLAT_Mb_end,QTL_Chr,QTL_Mb,Locus_at_Peak,Max_LRS,P_value_of_MAX,Mean_Expression,C57BL/6J,C57BL/6J_SE,DBA/2J,DBA/2J_SE,B6D2F2,B6D2F2_SE,D2B6F2,D2B6F2_SE,BDF2003,BDF2003_SE,BDF2004,BDF2004_SE,BDF2006,BDF2006_SE,BDF2007,BDF2007_SE,BDF2008,BDF2008_SE,BDF2009,BDF2009_SE,BDF2010,BDF2010_SE,BDF2011,BDF2011_SE,BDF2012,BDF2012_SE,BDF2013,BDF2013_SE,BDF2014,BDF2014_SE,BDF2015,BDF2015_SE,BDF2016,BDF2016_SE,BDF2017,BDF2017_SE,BDF2018,BDF2018_SE,BDF2020,BDF2020_SE,BDF2021,BDF2021_SE,BDF2022,BDF2022_SE,BDF2023,BDF2023_SE,BDF2024,BDF2024_SE,BDF2025,BDF2025_SE,BDF2026,BDF2026_SE,BDF2028,BDF2028_SE,BDF2029,BDF2029_SE,BDF2031,BDF2031_SE,BDF2032,BDF2032_SE,BDF2034,BDF2034_SE,BDF2035,BDF2035_SE,BDF2036,BDF2036_SE,BDF2037,BDF2037_SE,BDF2039,BDF2039_SE,BDF2041,BDF2041_SE,BDF2042,BDF2042_SE,BDF2043,BDF2043_SE,BDF2044,BDF2044_SE,BDF2045,BDF2045_SE,BDF2047,BDF2047_SE,BDF2048,BDF2048_SE,BDF2049,BDF2049_SE,BDF2050,BDF2050_SE,BDF2051,BDF2051_SE,BDF2053,BDF2053_SE,BDF2054,BDF2054_SE,BDF2055,BDF2055_SE,BDF2056,BDF2056_SE,BDF2057,BDF2057_SE,BDF2058,BDF2058_SE,BDF2059,BDF2059_SE,BDF2060,BDF2060_SE,BDF2062,BDF2062_SE,BDF2063,BDF2063_SE,BDF2064,BDF2064_SE,BDF2066,BDF2066_SE,BDF2067,BDF2067_SE,BDF2068,BDF2068_SE,BDF2070,BDF2070_SE,BDF2071,BDF2071_SE,BDF2074,BDF2074_SE,BDF2076,BDF2076_SE,BDF2078,BDF2078_SE,BDF2081,BDF2081_SE,BDF2083,BDF2083_SE,BDF2085,BDF2085_SE,BDF2087,BDF2087_SE,BDF2088,BDF2088_SE,BDF2090,BDF2090_SE,BDF2091,BDF2091_SE,BDF2092,BDF2092_SE,BDF2095,BDF2095_SE,BDF2097,BDF2097_SE,BDF2098,BDF2098_SE,BDF2099,BDF2099_SE,BDF2100,BDF2100_SE,BDF2101,BDF2101_SE,BDF2102,BDF2102_SE,BDF2103,BDF2103_SE,BDF2104,BDF2104_SE,BDF2105,BDF2105_SE,BDF2106,BDF2106_SE,BDF2107,BDF2107_SE,BDF2109,BDF2109_SE,BDF2111,BDF2111_SE,BDF2112,BDF2112_SE,BDF2113,BDF2113_SE,BDF2114,BDF2114_SE,BDF2116,BDF2116_SE,BDF2117,BDF2117_SE,BDF2120,BDF2120_SE,BDF2122,BDF2122_SE,BDF2123,BDF2123_SE,BDF2124,BDF2124_SE,BDF2125,BDF2125_SE,BDF2126,BDF2126_SE,BDF2127,BDF2127_SE,BDF2128,BDF2128_SE,BDF2129,BDF2129_SE,BDF2130,BDF2130_SE,BDF2134,BDF2134_SE,BDF2137,BDF2137_SE,BDF2138,BDF2138_SE,BDF2140,BDF2140_SE,BDF2142,BDF2142_SE,BDF2143,BDF2143_SE,BDF2144,BDF2144_SE,BDF2147,BDF2147_SE,BDF2149,BDF2149_SE,BDF2150,BDF2150_SE,BDF2151,BDF2151_SE,BDF2155,BDF2155_SE,BDF2156,BDF2156_SE,BDF2157,BDF2157_SE
1,https://genenetwork.org/show_trait?trait_id=10018191393&dataset=UCLA_BDF2_LIVER_1999,mouse,BDF2-1999,UCLA_BDF2_LIVER_1999,10018191393,Dep1,diabetic embryopathy 1,,N/A,17,10.314572,AF032130,170624,N/A,,-,,,10.314572,10.314573,12,10.140641,D12Mit1,8.20024133602173,0.057,0.025609376126126123,x,x,x,x,x,x,x,x,-0.0138747,,0.0036759,,-0.0202958,,0.0289738,,0.0358777,,0.0571533,,0.0192951,,0.0236188,,-0.107332,,0.00946011,,0.0251098,,-0.0258744,,-0.00877193,,0.0252641,,0.00192663,,-0.0174239,,0.0111766,,-0.0514442,,-0.104196,,0.152767,,-0.0192342,,-0.0411973,,-0.0765576,,-0.0321707,,0.0143255,,-0.0263502,,-0.0241655,,-0.0249518,,0.0679329,,0.0234902,,0.114507,,-0.0327634,,-0.00469212,,-0.0559103,,0.155846,,0.00616438,,0.0726685,,0.00905257,,0.0954492,,0.157879,,-0.0102683,,0.0355528,,0.0303575,,-0.0276077,,0.00327,,-0.0196289,,-0.0215829,,-0.132322,,0.100385,,0.376029,,0.23397,,-0.0421345,,0.0563781,,-0.0631636,,-2.0,,0.155012,,0.253943,,0.0144505,,-0.00258151,,0.0538606,,-0.0415875,,-0.127516,,0.0235877,,-0.256879,,0.0235598,,-0.0438609,,0.00409251,,0.0736638,,0.061193,,0.0272626,,0.0,,0.0305768,,0.868577,,0.447616,,0.00654506,,-0.0397543,,0.282052,,0.0,,0.0,,0.144694,,-0.0255013,,0.338226,,0.084417,,-0.0128632,,-0.0368449,,0.0438993,,-6.03e-05,,0.0534682,,0.392045,,0.0958852,,0.0214323,,0.0478152,,0.0310772,,0.00956775,,0.0324454,,0.0585464,,0.0265863,,0.0566604,,0.0342615,,-0.0322221,,-0.00989449,,0.130165,,-0.00433056,,0.350415,,0.0589489,,0.0293585,,-0.0911862,,-0.02653,,0.250685,,0.043535,,-0.00951645,
2,https://genenetwork.org/show_trait?trait_id=10018187121&dataset=UCLA_BDF2_LIVER_1999,mouse,BDF2-1999,UCLA_BDF2_LIVER_1999,10018187121,Irgm,"immunity-related GTPase family, M",,N/A,11,48.865246,AK002545,15944,N/A,,-,,,48.865246,48.865247,,,D16Mit100,10.3929322219337,0.104,-0.039764162432432436,x,x,x,x,x,x,x,x,0.171604,,-0.0522597,,0.0183926,,-0.155452,,0.0352064,,0.0106117,,0.0630647,,0.144949,,-0.0674063,,-0.01205,,0.0384924,,-0.264588,,0.214372,,-0.0262134,,-0.089959,,-0.172993,,0.203029,,0.0375516,,-0.125153,,0.0822416,,-0.0391617,,-0.278675,,-0.0919291,,0.143989,,-0.0596008,,0.0576288,,0.0397086,,-0.0597301,,-0.0505987,,-0.108683,,-0.0596409,,0.014599,,0.0802018,,-0.0931276,,0.0429328,,0.321279,,-0.0054395,,-0.0322763,,-0.140884,,0.00125961,,0.150963,,0.0594045,,0.177788,,-0.0312494,,0.139219,,0.00747144,,-0.0163833,,-0.141277,,0.0505887,,-0.051907,,0.0557943,,0.108406,,0.0730438,,-0.0549044,,-0.182274,,0.0895921,,-0.209963,,-0.0976005,,0.00387625,,-0.340648,,0.0511124,,0.1185,,-0.206691,,-0.0832394,,-0.16104,,-0.23231,,-0.0564856,,-0.13601,,-0.00370943,,-0.0767798,,-0.0796133,,0.0256205,,0.0442831,,-0.0404,,-0.172129,,-0.143766,,0.104787,,-0.12144,,-0.105564,,-0.227858,,-0.084258,,-0.320137,,-0.00634226,,-0.216677,,-0.0479406,,-0.181515,,0.0346776,,-0.378108,,-0.026785,,0.0711277,,-0.144317,,0.00981444,,-0.117151,,-0.0961703,,-0.03144,,0.148013,,-0.261223,,-0.0966943,,-0.0717081,,0.0368351,,-0.116474,,0.0435148,,-0.159249,,-0.205592,,-0.0713064,,-0.0950809,,-0.0431271,,0.00724992,,0.0839947,,-0.039441,,-0.0608128,
3,https://genenetwork.org/show_trait?trait_id=10018185743&dataset=UCLA_BDF2_LIVER_1999,mouse,BDF2-1999,UCLA_BDF2_LIVER_1999,10018185743,Rrad,Ras-related associated with diabetes,,N/A,8,104.62845,NM_019662,56437,N/A,Mm.29467,-,,,104.62845,104.628451,12,10.140641,D12Mit1,16.7331756245376,0.004,0.011287494414414415,x,x,x,x,x,x,x,x,-0.0301003,,0.0315371,,0.0117839,,-0.0234212,,0.0215008,,0.0364233,,0.0161236,,0.00246391,,0.199979,,0.0408489,,0.0352955,,-0.0510145,,-0.0130274,,0.0172198,,-0.0159,,0.00038862,,0.0222658,,0.0361453,,0.0264415,,0.0381987,,0.0287874,,0.00857086,,0.0482156,,-0.0129861,,-0.0322032,,-0.0100639,,-0.121173,,0.0407938,,0.0653022,,0.0159299,,0.0635711,,0.0107636,,0.0375548,,0.0416761,,0.021469,,0.0273034,,0.0358391,,0.0155793,,-0.0013578,,0.0112992,,0.0323198,,0.0725769,,0.0502083,,-0.0383767,,-0.0300714,,-0.0101984,,-0.0131052,,0.00832938,,0.0892766,,0.0411482,,0.0552198,,0.0293295,,-0.0307541,,-0.0342979,,-0.0362057,,0.0499457,,-0.0233016,,-0.0126136,,0.018409,,0.0302553,,-0.0111026,,-0.00466308,,-0.00214578,,0.00344545,,-0.00959835,,-0.0514509,,-0.0476089,,0.0320961,,-0.0488824,,0.0253005,,0.0266334,,-0.0432611,,0.0330109,,0.0781132,,0.0112209,,-0.0314296,,0.0227132,,0.00545409,,-0.0026263,,0.0416344,,-0.0149947,,0.045228,,0.0058311,,-0.0115082,,-0.00686142,,-0.0186602,,-0.0101686,,-0.0446741,,0.057097,,-0.0151773,,0.0239384,,-0.0250752,,0.0547949,,-0.0306892,,0.0111304,,0.0249549,,0.022221,,0.00504116,,-0.00409454,,-0.0140143,,-0.0188791,,0.0253094,,0.00821985,,0.118638,,-0.00575151,,-0.0321553,,0.00707758,,0.00425356,,0.125176,,0.0237263,,-0.0299927,
4,https://genenetwork.org/show_trait?trait_id=10018189985&dataset=UCLA_BDF2_LIVER_1999,mouse,BDF2-1999,UCLA_BDF2_LIVER_1999,10018189985,Tcirg1,"T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3",,N/A,19,3.896052,NM_016921,27060,N/A,,-,,,3.896052,3.896053,1,126.18027,D1Mit94,12.6558172895817,0.04,-0.024473923963963966,x,x,x,x,x,x,x,x,-0.0292139,,-0.0606975,,-0.0240457,,-0.0552035,,-0.0580071,,-0.0852954,,-0.0754182,,-0.0955314,,-0.0612528,,-0.137484,,-0.0558949,,-0.0118287,,0.0404412,,-0.154014,,-0.17136,,-0.0592317,,0.153021,,-0.0731492,,-0.154205,,-0.0508939,,-0.0838231,,-0.0572068,,-0.0194138,,-0.105476,,-0.11871,,-0.0714469,,-0.223265,,-0.0861078,,-0.104392,,0.0439846,,-0.00191281,,0.0141723,,-0.140118,,-0.0924469,,-0.121853,,0.06392,,-0.0338792,,-0.00571253,,0.12459,,-0.0804347,,-0.0337323,,0.00354728,,0.0791486,,0.0339201,,-0.0161075,,-0.0309864,,0.0253766,,0.0463168,,-0.0199162,,-0.12365,,-0.152324,,-0.0586688,,0.0037148,,-0.0227336,,0.0932582,,-0.0841898,,0.174989,,0.0595518,,-0.0972371,,0.161739,,0.075452,,0.0490248,,0.163695,,-0.201562,,0.0692316,,0.0530135,,0.0524072,,0.0315384,,0.0564898,,-0.0358795,,0.062204,,0.0500116,,-0.170965,,-0.00193934,,-0.0147682,,0.0803122,,0.0181461,,0.0555521,,-0.0125772,,0.226627,,0.0777372,,0.145689,,0.0398031,,-0.0591138,,-0.13522,,-0.107868,,-0.111145,,0.239434,,-0.177607,,-0.0651487,,0.0439911,,-0.141864,,0.0804849,,0.0462231,,-0.0318095,,-0.156239,,0.00017671,,-0.212108,,-0.00470017,,-0.0438919,,0.036591,,-0.118232,,0.0771431,,-0.08169,,-0.139235,,0.206713,,-0.140911,,0.0138367,,-0.129487,,-0.183875,,-0.0135176,
5,https://genenetwork.org/show_trait?trait_id=10018191692&dataset=UCLA_BDF2_LIVER_1999,mouse,BDF2-1999,UCLA_BDF2_LIVER_1999,10018191692,C1orf32,"Lisch-like, diabetes-related, DNA segment, Chr 1, ERATO Doi 471, expressed",,N/A,1,166.315101,"AK013417, D1Ertd471, Ll",27877,N/A,Mm.101743,+,,,166.315101,166.315102,,,D1Mit16,87.4648073736672,0.0,-0.09832256423423426,x,x,x,x,x,x,x,x,-0.556563,,-0.382513,,0.15111,,0.0101015,,-0.0462039,,-0.418427,,-0.0423678,,0.29271,,0.0108525,,-0.497522,,-0.234916,,0.101242,,0.104939,,-0.446866,,-0.213079,,-0.658388,,-0.0982075,,0.0230201,,-0.022529,,-0.0125956,,-0.0496862,,-0.426759,,-0.067511,,-0.27477,,-0.0412258,,0.0317963,,-0.401133,,-0.350757,,-0.202343,,-0.596034,,-0.597037,,-0.274504,,-0.474571,,-0.190712,,-0.0843175,,-0.0989403,,-0.0787674,,-0.382251,,-0.141691,,-0.411901,,0.143592,,-0.072812,,-0.14011,,0.0162931,,-0.264007,,0.353588,,0.214694,,0.0593297,,0.275493,,-0.580963,,0.00052612,,-0.178043,,-0.027547,,-0.376996,,0.146874,,0.224825,,-0.0930534,,0.0994251,,0.111972,,-0.0216234,,-0.477563,,0.176488,,-0.0826109,,-0.510501,,0.023159,,0.053995,,0.0829288,,0.47348,,-0.518861,,0.275351,,0.161021,,0.393351,,0.267215,,-0.00601235,,0.0844305,,0.115534,,0.141907,,-0.701921,,0.139833,,0.133825,,0.202489,,-0.316803,,-0.516963,,0.121874,,0.0685342,,0.083771,,-0.349723,,-0.234755,,-0.516163,,0.285437,,-0.147727,,-0.0109814,,-0.229487,,0.0683018,,-0.440949,,-0.462573,,0.0519666,,-0.183496,,0.218672,,0.0197819,,-0.216964,,-0.149422,,0.295924,,-0.0233259,,-0.227754,,0.0255893,,-0.566919,,0.25812,,-0.047701,,0.0481852,,-0.087933,
6,https://genenetwork.org/show_trait?trait_id=10018189674&dataset=UCLA_BDF2_LIVER_1999,mouse,BDF2-1999,UCLA_BDF2_LIVER_1999,10018189674,Klf4,"Kruppel-like factor 4 (epithelial zinc finger protein of gut, Yamanaka factor)",,N/A,4,55.527268,NM_010637,16600,N/A,Mm.4325,-,,,55.527268,55.527269,4,46.345517,D4Mit89,15.5876847606085,0.0,-0.08595300351351344,x,x,x,x,x,x,x,x,-0.203302,,-0.14453,,-0.217906,,0.0310052,,-0.154666,,-0.23892,,-0.0817214,,-0.343131,,-0.147757,,-0.157038,,-0.0485112,,0.477939,,-0.0199309,,-0.204369,,-0.128509,,0.270585,,-0.0951835,,-0.373282,,-0.126791,,-0.177375,,-0.208534,,0.353737,,-0.162685,,-0.138382,,-0.0586532,,-0.105698,,-0.497957,,-0.284349,,-0.348234,,-0.0083301,,-0.0842267,,-0.172095,,-0.115585,,-0.406288,,0.0544386,,-0.199287,,-0.143826,,-0.123842,,-0.261396,,-0.282498,,-0.349617,,-0.148279,,0.0087049,,0.0729999,,-0.0178126,,-0.00074148,,-0.0379837,,-0.209643,,-0.208348,,-2.0,,-0.166059,,-0.297939,,0.00086988,,0.0188873,,0.33203,,-0.202871,,0.2698,,0.0352946,,-0.0962874,,0.431345,,0.0324388,,0.209044,,0.00897662,,-0.121025,,0.0784663,,0.0690622,,-0.0612023,,0.0721618,,-0.142523,,-0.193038,,-0.421921,,0.277779,,-0.542479,,-0.02959,,-0.0202638,,0.0791817,,-0.146867,,0.377024,,-0.336679,,-0.0119204,,0.0748976,,-0.226037,,0.00671331,,0.0230278,,-0.0716583,,-0.136125,,0.041059,,0.450032,,-0.380717,,-0.201012,,0.0912701,,-0.180323,,0.00497892,,0.0873766,,0.00554046,,0.0400106,,0.0312587,,-0.121127,,-0.0254433,,0.233745,,0.064102,,-0.180881,,0.0187708,,-0.269209,,0.0343733,,0.105826,,-0.124528,,0.103396,,-0.320889,,-0.10564,,0.0525359,
7,https://genenetwork.org/show_trait?trait_id=10018174879&dataset=UCLA_BDF2_LIVER_1999,mouse,BDF2-1999,UCLA_BDF2_LIVER_1999,10018174879,Gpnmb,"glycoprotein nonmetastatic melanoma protein B (cancer antigen, innate immunity, and glaucoma)",,N/A,6,49.036633,"Dchil, ipd, osteoactivin, OA, NMB, HGFIN, GPNMB",93695,N/A,,+,,,49.036633,49.036634,6,71.272614,D6Mit16,32.904856164143,0.0,-0.24695248522522525,x,x,x,x,x,x,x,x,-0.686631,,-0.626269,,0.00143971,,0.139215,,-0.856835,,-1.03126,,-0.232091,,-0.394513,,-0.820943,,-0.807941,,-0.267159,,0.644823,,0.0136424,,-0.724873,,-0.91359,,0.0786217,,0.473826,,-0.709664,,-0.706103,,-0.475275,,-0.929412,,0.44359,,-0.636966,,-0.203848,,-0.660573,,-0.357153,,-0.227576,,-0.119934,,-0.715502,,-0.387084,,-0.777284,,0.0823934,,-0.251412,,-0.827616,,-0.260715,,-0.153632,,-0.508214,,-0.231563,,0.102831,,-0.540385,,-1.00917,,-0.388514,,-0.458597,,0.27403,,-0.851613,,-0.0570503,,0.144996,,0.262733,,-0.951439,,-0.662914,,-0.794107,,-1.01882,,0.279322,,-0.0638481,,0.465308,,-0.9225,,0.717653,,-0.574949,,-0.853044,,0.520343,,0.154385,,-0.0518649,,0.443724,,-0.895187,,0.201629,,0.321594,,0.335372,,0.136824,,-0.669676,,-0.256215,,0.00409861,,0.160711,,-1.08135,,-0.472275,,-0.759348,,0.353762,,-0.230621,,0.335022,,0.0765162,,0.537147,,0.298656,,0.875093,,-0.449189,,0.659261,,-1.03823,,0.066865,,-0.18156,,0.00598942,,-0.816485,,-0.865745,,0.612977,,-0.630987,,0.259783,,0.504652,,0.180969,,-0.664471,,0.388701,,-1.14792,,-0.630481,,-0.899086,,0.586174,,0.120273,,0.410189,,0.190618,,-0.608173,,-0.209412,,-0.264118,,-0.71949,,-0.271748,,-0.276149,,-0.539116,
8,https://genenetwork.org/show_trait?trait_id=10018182093&dataset=UCLA_BDF2_LIVER_1999,mouse,BDF2-1999,UCLA_BDF2_LIVER_1999,10018182093,Gpnmb,"glycoprotein nonmetastatic melanoma protein B (cancer antigen, innate immunity, and glaucoma)",,N/A,6,49.057886,"Dchil, ipd, osteoactivin, OA, NMB, HGFIN, GPNMB",93695,N/A,,+,,,49.057886,49.057887,9,37.032109,D9Mit67,14.8716783633438,0.017,0.009517351081081083,x,x,x,x,x,x,x,x,-0.058455,,-0.0309227,,0.0327009,,-0.00768446,,-0.0172995,,0.0244961,,-0.0211391,,-0.0257716,,0.0050246,,-0.103083,,-0.0344962,,0.3291,,0.030048,,-0.0403676,,-0.0311115,,-0.0549271,,0.223083,,-0.0325979,,-0.0346918,,-0.0013735,,-0.0600225,,0.0293626,,-0.0405427,,-0.0546591,,-0.0593046,,-0.00648863,,-0.0445348,,0.00560325,,-0.0749842,,-0.0229879,,-0.11367,,0.0679075,,-0.0150497,,-0.0448997,,-0.101582,,-0.0128323,,-0.0615819,,0.00448632,,0.0311078,,-0.0847202,,-0.0226665,,-0.0503713,,-0.0632721,,0.150558,,-0.100481,,-0.0140314,,0.0403584,,0.0459713,,-0.0445162,,-0.111991,,-0.0363923,,-0.0954532,,0.214977,,0.00709641,,0.167612,,-0.012038,,0.327056,,-0.0739079,,-0.13183,,0.185412,,0.0709378,,-0.0599475,,0.207379,,-0.0796707,,0.056097,,0.144051,,0.0543992,,0.0180153,,-0.0559705,,-0.0249964,,0.00518663,,0.0167202,,-0.0931477,,-0.0540139,,-0.0760025,,0.0891362,,-0.0828359,,0.0692667,,0.0722411,,0.259171,,0.0770335,,0.381202,,-0.0462424,,0.231368,,-0.130822,,0.00266515,,-0.0520255,,0.218638,,-0.114116,,-0.0902518,,0.244084,,-0.147703,,0.0901005,,0.094854,,0.0260853,,-0.125576,,0.160982,,-0.0935947,,-0.070009,,-0.0938845,,0.242605,,0.0161691,,0.120791,,0.142041,,-0.0707495,,0.0524011,,-0.0547971,,-0.0899336,,-0.080949,,-0.0761597,,-0.117025,
9,https://genenetwork.org/show_trait?trait_id=10018195744&dataset=UCLA_BDF2_LIVER_1999,mouse,BDF2-1999,UCLA_BDF2_LIVER_1999,10018195744,Gpnmb,"glycoprotein nonmetastatic melanoma protein B (cancer antigen, innate immunity, and glaucoma)",,N/A,6,49.045746,"Dchil, ipd, osteoactivin, OA, NMB, HGFIN, GPNMB",93695,N/A,,-,,,49.045746,49.045747,18,67.919084,D18Mit50,7.84570744747013,0.351,-0.016790230090090095,x,x,x,x,x,x,x,x,-0.118108,,-0.0144962,,0.831794,,-0.0320868,,-0.00367802,,-0.187606,,0.12826,,-0.528783,,0.386191,,-0.142655,,-0.0488439,,-0.394923,,-0.0595333,,-0.950991,,0.00240079,,-0.0308354,,0.314909,,0.0,,-0.0572231,,-0.0567808,,-0.190839,,0.0354865,,-0.484519,,-0.03165,,-0.137864,,0.00261809,,0.426057,,0.0993244,,-0.175307,,0.364312,,0.291282,,0.254743,,0.0792909,,-2.0,,0.225985,,0.122117,,0.0709803,,0.0830497,,1.09974,,-0.429649,,-0.647673,,-0.0554298,,-0.225042,,0.298771,,-0.0733718,,-0.148525,,0.0744976,,0.0,,0.0,,0.0,,0.0,,0.0,,0.200539,,-0.0756416,,0.0,,0.0,,0.0,,0.0800679,,-0.200058,,0.0805397,,0.0579518,,0.0,,0.246136,,0.0,,0.100403,,0.0918735,,0.0224309,,2.0,,0.0,,-0.0455286,,0.0,,0.158634,,-2.0,,0.0,,-0.068081,,0.204869,,0.24495,,0.0,,0.0,,0.0565216,,0.20041,,0.707098,,-0.0104552,,-0.495621,,-0.188087,,-0.337117,,-0.328761,,0.323283,,0.414318,,-0.209029,,-0.0430551,,-0.266741,,0.223095,,-0.0254006,,0.0464832,,0.0502197,,0.163427,,-2.0,,0.161101,,-0.54016,,0.134099,,0.187838,,-0.0999037,,0.3918,,0.0,,0.32364,,0.0105077,,-0.0276619,,0.265598,,0.149414,,-0.165058,
10,https://genenetwork.org/show_trait?trait_id=10018174069&dataset=UCLA_BDF2_LIVER_1999,mouse,BDF2-1999,UCLA_BDF2_LIVER_1999,10018174069,Sh2b3,"SH2B adaptor protein 3 (ymphocyte-specific adapter protein Lnk, celiac disease type 13, diabetes and blood pressure associated)",,N/A,5,121.817215,"AI429800, Lnk, IDDM20",16923,N/A,Mm.65493,-,,,121.817215,121.817216,9,37.032109,D9Mit67,21.0352843925652,0.001,-0.023673492522522526,x,x,x,x,x,x,x,x,0.123335,,-0.164913,,0.106458,,0.208083,,-0.0622997,,0.0605264,,0.302079,,0.176002,,-0.0268651,,0.200778,,0.046826,,-0.0896406,,0.372891,,-0.219047,,-0.327093,,-0.157869,,0.247126,,-0.149273,,-0.10731,,0.0480327,,-0.266778,,-0.135705,,0.0185484,,-0.328083,,0.208747,,-0.0215397,,-0.373862,,0.077269,,-0.102821,,0.173287,,-0.0730933,,-0.0363664,,-0.0504672,,-0.0957049,,-0.0228803,,0.0237327,,-0.0239,,-0.0550469,,0.163503,,-0.32914,,-0.172131,,-0.16249,,-0.00778658,,-0.0969366,,-0.11536,,-0.249407,,0.0810267,,-0.079197,,-0.157006,,-0.0881984,,0.299407,,0.116265,,0.0932148,,0.102036,,-0.207804,,-0.0374227,,0.326424,,0.168864,,-0.035164,,0.371386,,-0.0964089,,-0.089786,,0.182458,,0.0279089,,0.158288,,0.192679,,-0.169688,,0.0517169,,0.235937,,0.0413647,,-0.2246,,-0.0336457,,-0.349246,,-0.181108,,-0.109752,,-0.100821,,-0.162878,,-0.0743376,,-0.270301,,0.0983187,,-0.0208964,,0.370884,,-0.101208,,-0.178868,,0.0530611,,-0.336895,,0.0748273,,0.0556018,,-0.122864,,-0.187593,,0.0538091,,-0.106122,,-0.0532307,,0.231974,,-0.343754,,-0.223512,,0.504934,,-0.241803,,0.0239621,,-0.127745,,0.13841,,-0.254624,,0.198345,,0.00556371,,-0.113671,,0.313667,,-0.234731,,0.203355,,-0.152454,,-0.463194,,-0.206332,
