"Export Date: December 11, 2024"
Export Time: 12:36 GMT
Exported Row Number: 10000
"Funding for The GeneNetwork: NIGMS (R01 GM123489, 2017-2026), NIDA (P30 DA044223, 2017-2022), NIA (R01AG043930, 2013-2018), NIAAA (U01 AA016662, U01 AA013499, U24 AA013513, U01 AA014425, 2006-2017), NIDA/NIMH/NIAAA (P20-DA 21131, 2001-2012), NCI MMHCC (U01CA105417), NCRR/BIRN (U24 RR021760)"

Index,URL,Species,Group,Dataset,Record ID,Symbol,Description,ProbeTarget,PubMed_ID,Chr,Mb,Alias,Gene_ID,Homologene_ID,UniGene_ID,Strand_Probe,Probe_set_specificity,Probe_set_BLAT_score,Probe_set_BLAT_Mb_start,Probe_set_BLAT_Mb_end,QTL_Chr,QTL_Mb,Locus_at_Peak,Max_LRS,P_value_of_MAX,Mean_Expression,A25058FE,A25058FE_SE,A25059FE,A25059FE_SE,A25061FC,A25061FC_SE,A25064FE,A25064FE_SE,A25065FE,A25065FE_SE,A25069FC,A25069FC_SE,A25072FE,A25072FE_SE,A25073FE,A25073FE_SE,A25076FE,A25076FE_SE,A25077FE,A25077FE_SE,A25080FE,A25080FE_SE,A25081FE,A25081FE_SE,A25084FE,A25084FE_SE,A25085FE,A25085FE_SE,A25088FC,A25088FC_SE,A25089FC,A25089FC_SE,H25058FE,H25058FE_SE,H25059FE,H25059FE_SE,H25061FC,H25061FC_SE,H25064FE,H25064FE_SE,H25065FE,H25065FE_SE,H25069FC,H25069FC_SE,H25072FE,H25072FE_SE,H25073FE,H25073FE_SE,H25076FE,H25076FE_SE,H25077FE,H25077FE_SE,H25080FE,H25080FE_SE,H25081FE,H25081FE_SE,H25084FE,H25084FE_SE,H25085FE,H25085FE_SE,H25088FC,H25088FC_SE,H25089FC,H25089FC_SE,N25058FE,N25058FE_SE,N25059FE,N25059FE_SE,N25061FC,N25061FC_SE,N25064FE,N25064FE_SE,N25065FE,N25065FE_SE,N25069FC,N25069FC_SE,N25072FE,N25072FE_SE,N25073FE,N25073FE_SE,N25076FE,N25076FE_SE,N25077FE,N25077FE_SE,N25080FE,N25080FE_SE,N25081FE,N25081FE_SE,N25084FE,N25084FE_SE,N25085FE,N25085FE_SE,N25088FC,N25088FC_SE,N25089FC,N25089FC_SE,P25058FE,P25058FE_SE,P25059FE,P25059FE_SE,P25061FC,P25061FC_SE,P25064FE,P25064FE_SE,P25065FE,P25065FE_SE,P25069FC,P25069FC_SE,P25072FE,P25072FE_SE,P25073FE,P25073FE_SE,P25076FE,P25076FE_SE,P25077FE,P25077FE_SE,P25080FE,P25080FE_SE,P25081FE,P25081FE_SE,P25084FE,P25084FE_SE,P25085FE,P25085FE_SE,P25088FC,P25088FC_SE,P25089FC,P25089FC_SE
1,https://genenetwork.org/show_trait?trait_id=MmugDNA.26876.1.S1_at&dataset=INIA_MacFas_brain_RMA_0110,monkey,Macaca-fasicularis,INIA_MacFas_brain_RMA_0110,MmugDNA.26876.1.S1_at,KLF4,Kruppel-like factor 4 (gut),,N/A,15,28.707235,KLF4,,N/A,,,,,28.707235,28.711797,,,Marker1,,,8.083343721926212,7.928,,7.408,,7.526,,8.196,,8.051,,7.676,,7.99,,7.92,,8.111,,7.417,,8.473,,7.717,,8.517,,8.074,,7.534,,7.543,,7.709,,7.817,,7.58,,8.155,,8.408,,7.405,,7.884,,8.149,,8.435,,7.876,,8.294,,7.606,,8.505,,8.318,,7.901,,7.737,,7.819,,7.795,,7.742,,8.36,,8.36,,7.805,,8.157,,8.292,,8.283,,7.329,,8.284,,7.583,,8.538,,8.385,,7.748,,7.831,,8.249,,8.371,,7.573,,9.287,,8.54,,7.95,,8.624,,8.517,,8.613,,8.061,,9.135,,7.96,,8.825,,9.038,,8.196,,8.224,
2,https://genenetwork.org/show_trait?trait_id=MmugDNA.26876.1.S1_at&dataset=INIA_MacFas_Hc_RMA_0110,monkey,Macaca-fasicularis,INIA_MacFas_Hc_RMA_0110,MmugDNA.26876.1.S1_at,KLF4,Kruppel-like factor 4 (gut),,N/A,15,28.707235,KLF4,,N/A,,,,,28.707235,28.711797,,,Marker1,,,7.9861874878406525,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7.709,,7.817,,7.58,,8.155,,8.408,,7.405,,7.884,,8.149,,8.435,,7.876,,8.294,,7.606,,8.505,,8.318,,7.901,,7.737,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
3,https://genenetwork.org/show_trait?trait_id=MmugDNA.26876.1.S1_at&dataset=INIA_MacFas_AMG_RMA_0110,monkey,Macaca-fasicularis,INIA_MacFas_AMG_RMA_0110,MmugDNA.26876.1.S1_at,KLF4,Kruppel-like factor 4 (gut),,N/A,15,28.707235,KLF4,,N/A,,,,,28.707235,28.711797,,,Marker1,,,7.880062490701675,7.928,,7.408,,7.526,,8.196,,8.051,,7.676,,7.99,,7.92,,8.111,,7.417,,8.473,,7.717,,8.517,,8.074,,7.534,,7.543,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,https://genenetwork.org/show_trait?trait_id=MmugDNA.26876.1.S1_at&dataset=INIA_MacFas_Pf_RMA_0110,monkey,Macaca-fasicularis,INIA_MacFas_Pf_RMA_0110,MmugDNA.26876.1.S1_at,KLF4,Kruppel-like factor 4 (gut),,N/A,15,28.707235,KLF4,,N/A,,,,,28.707235,28.711797,,,Marker1,,,8.447687447071075,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8.249,,8.371,,7.573,,9.287,,8.54,,7.95,,8.624,,8.517,,8.613,,8.061,,9.135,,7.96,,8.825,,9.038,,8.196,,8.224,
5,https://genenetwork.org/show_trait?trait_id=MmugDNA.26876.1.S1_at&dataset=INIA_MacFas_Ac_RMA_0110,monkey,Macaca-fasicularis,INIA_MacFas_Ac_RMA_0110,MmugDNA.26876.1.S1_at,KLF4,Kruppel-like factor 4 (gut),,N/A,15,28.707235,KLF4,,N/A,,,,,28.707235,28.711797,,,Marker1,,,8.019437462091446,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7.819,,7.795,,7.742,,8.36,,8.36,,7.805,,8.157,,8.292,,8.283,,7.329,,8.284,,7.583,,8.538,,8.385,,7.748,,7.831,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
6,https://genenetwork.org/show_trait?trait_id=MmugDNA.19089.1.S1_s_at&dataset=INIA_MacFas_brain_RMA_0110,monkey,Macaca-fasicularis,INIA_MacFas_brain_RMA_0110,MmugDNA.19089.1.S1_s_at,IRGQ,"immunity-related GTPase family, Q",,N/A,19,50.049391,IRGQ,126298,N/A,,,,,0.0,0.0,,,Marker1,,,10.389171838760376,10.162,,10.327,,10.057,,10.513,,10.243,,10.211,,10.457,,10.262,,10.4,,10.217,,10.144,,10.298,,10.353,,10.318,,10.071,,10.283,,10.146,,10.371,,10.135,,10.593,,10.393,,10.221,,10.34,,10.421,,10.442,,10.251,,10.287,,10.501,,10.399,,10.235,,10.228,,10.333,,10.386,,10.187,,10.113,,10.4,,10.141,,10.023,,10.275,,10.392,,10.166,,10.178,,10.361,,10.31,,10.136,,10.198,,10.032,,10.254,,10.407,,10.799,,10.754,,10.908,,10.689,,10.587,,10.742,,10.883,,10.792,,10.83,,10.839,,10.758,,10.761,,10.709,,10.652,,10.633,
7,https://genenetwork.org/show_trait?trait_id=MmugDNA.32686.1.S1_at&dataset=INIA_MacFas_brain_RMA_0110,monkey,Macaca-fasicularis,INIA_MacFas_brain_RMA_0110,MmugDNA.32686.1.S1_at,IRGQ,"immunity-related GTPase family, Q",,N/A,19,50.049391,IRGQ,126298,N/A,,,,,0.0,0.0,,,Marker1,,,5.959015637636185,6.01,,6.24,,5.784,,6.357,,6.155,,5.712,,6.2,,6.257,,6.408,,6.149,,6.158,,6.326,,6.177,,6.186,,6.095,,5.889,,5.907,,6.157,,5.695,,5.947,,6.003,,5.56,,5.971,,6.042,,6.497,,5.715,,6.198,,6.294,,6.03,,6.237,,5.592,,5.696,,5.597,,5.468,,5.601,,5.693,,5.551,,5.258,,5.702,,5.886,,5.587,,5.477,,5.633,,5.904,,5.651,,5.683,,5.51,,5.452,,5.979,,6.368,,6.012,,6.025,,6.373,,6.152,,6.283,,5.986,,6.193,,5.95,,6.098,,6.35,,6.097,,6.199,,6.023,,5.992,
8,https://genenetwork.org/show_trait?trait_id=MmugDNA.37593.1.S1_at&dataset=INIA_MacFas_brain_RMA_0110,monkey,Macaca-fasicularis,INIA_MacFas_brain_RMA_0110,MmugDNA.37593.1.S1_at,IRGC,"immunity-related GTPase family, cinema",,N/A,,0.0,IRGC,,N/A,,,,,0.0,0.0,,,Marker1,,,7.672000005841255,7.507,,7.721,,7.507,,7.579,,7.474,,7.529,,7.629,,7.609,,7.59,,7.744,,7.636,,7.517,,7.611,,7.589,,7.57,,7.723,,7.553,,7.53,,7.462,,7.624,,7.59,,7.476,,7.534,,7.517,,7.587,,7.457,,7.533,,7.673,,7.594,,7.536,,7.445,,7.647,,7.781,,7.809,,7.742,,7.827,,7.52,,7.742,,7.719,,7.773,,7.837,,7.706,,7.752,,7.604,,7.794,,7.784,,7.534,,7.765,,7.71,,7.9,,7.952,,7.845,,7.618,,7.803,,7.78,,7.775,,7.849,,7.948,,7.825,,7.812,,7.78,,7.922,,7.626,,7.881,
9,https://genenetwork.org/show_trait?trait_id=MmugDNA.41891.1.S1_at&dataset=INIA_MacFas_brain_RMA_0110,monkey,Macaca-fasicularis,INIA_MacFas_brain_RMA_0110,MmugDNA.41891.1.S1_at,SNRK,"immunity-related GTPase family, M",,N/A,2,93.234053,SNRK,,N/A,,,,,0.0,0.0,,,Marker1,,,4.786609388887882,4.409,,4.29,,4.473,,4.533,,4.453,,4.713,,4.677,,4.55,,4.51,,4.608,,4.651,,4.555,,4.433,,4.355,,4.484,,4.513,,4.867,,4.827,,4.603,,4.686,,4.83,,4.547,,4.892,,4.646,,4.788,,4.631,,4.841,,4.72,,4.717,,4.62,,4.445,,4.332,,4.56,,4.578,,4.594,,4.658,,4.517,,4.422,,4.643,,4.833,,4.483,,4.565,,4.474,,4.545,,4.537,,4.934,,4.507,,4.669,,5.287,,5.497,,5.302,,5.179,,5.322,,5.295,,5.344,,5.349,,5.293,,5.27,,5.503,,5.416,,5.512,,5.582,,5.272,,5.202,
10,https://genenetwork.org/show_trait?trait_id=MmugDNA.7684.1.S1_at&dataset=INIA_MacFas_brain_RMA_0110,monkey,Macaca-fasicularis,INIA_MacFas_brain_RMA_0110,MmugDNA.7684.1.S1_at,IRGQ,"immunity-related GTPase family, Q",,N/A,19,50.049391,IRGQ,126298,N/A,,,,,0.0,0.0,,,Marker1,,,7.094453126192093,7.088,,7.45,,7.262,,7.238,,7.327,,7.051,,7.294,,7.193,,7.468,,7.231,,7.393,,7.225,,7.535,,7.352,,6.89,,7.07,,7.073,,7.037,,7.1,,7.47,,7.21,,7.074,,7.061,,6.916,,7.231,,7.21,,7.017,,7.331,,6.854,,7.189,,7.061,,6.947,,7.134,,6.93,,7.026,,6.96,,7.035,,6.999,,7.043,,7.231,,7.06,,6.886,,7.092,,6.824,,7.004,,7.149,,6.841,,7.096,,6.829,,7.166,,6.864,,6.796,,6.937,,6.882,,7.099,,7.064,,7.089,,7.174,,7.116,,7.081,,6.925,,6.972,,6.977,,6.916,
