"Export Date: December 11, 2024"
Export Time: 12:36 GMT
Exported Row Number: 10000
"Funding for The GeneNetwork: NIGMS (R01 GM123489, 2017-2026), NIDA (P30 DA044223, 2017-2022), NIA (R01AG043930, 2013-2018), NIAAA (U01 AA016662, U01 AA013499, U24 AA013513, U01 AA014425, 2006-2017), NIDA/NIMH/NIAAA (P20-DA 21131, 2001-2012), NCI MMHCC (U01CA105417), NCRR/BIRN (U24 RR021760)"

Index,URL,Species,Group,Dataset,Record ID,Symbol,Description,ProbeTarget,PubMed_ID,Chr,Mb,Alias,Gene_ID,Homologene_ID,UniGene_ID,Strand_Probe,Probe_set_specificity,Probe_set_BLAT_score,Probe_set_BLAT_Mb_start,Probe_set_BLAT_Mb_end,QTL_Chr,QTL_Mb,Locus_at_Peak,Max_LRS,P_value_of_MAX,Mean_Expression,C57BL/6J,C57BL/6J_SE,A/J,A/J_SE,ABF1,ABF1_SE,BAF1,BAF1_SE,AXB1,AXB1_SE,AXB2,AXB2_SE,AXB3,AXB3_SE,AXB4,AXB4_SE,AXB5,AXB5_SE,AXB6,AXB6_SE,AXB7,AXB7_SE,AXB8,AXB8_SE,AXB9,AXB9_SE,AXB10,AXB10_SE,AXB11,AXB11_SE,AXB12,AXB12_SE,AXB13/14,AXB13/14_SE,AXB15,AXB15_SE,AXB17,AXB17_SE,AXB18/19/20,AXB18/19/20_SE,AXB21,AXB21_SE,AXB23,AXB23_SE,AXB24,AXB24_SE,BXA1,BXA1_SE,BXA2,BXA2_SE,BXA4,BXA4_SE,BXA7,BXA7_SE,BXA8/17,BXA8/17_SE,BXA11,BXA11_SE,BXA12,BXA12_SE,BXA13,BXA13_SE,BXA14,BXA14_SE,BXA16,BXA16_SE,BXA18,BXA18_SE,BXA20,BXA20_SE,BXA22,BXA22_SE,BXA23,BXA23_SE,BXA24,BXA24_SE,BXA25,BXA25_SE,BXA26,BXA26_SE
1,https://genenetwork.org/show_trait?trait_id=1437374_at&dataset=UCLA_AXB_BXA_Aor_Jan16,mouse,AXBXA,UCLA_AXB_BXA_Aor_Jan16,1437374_at,4632433K11Rik,"immune system expression, C2H2 type zinc finger protein, RIKEN cDNA 4632433K11; 3' UTR",3' UTR,N/A,7,5.032685,"4632433K11Rik, LOC319748",77043,N/A,Mm.349546,+,11.15,223.0,5.032685,5.032929,6,145.123189,rs13459098,13.3811749647082,0.331,7.372242791312082,7.4708,0.043988,7.2983,0.181483,x,x,x,x,x,x,7.463,0.227306,x,x,x,x,7.24,0.099919,7.2013,0.130856,x,x,7.33,0.263044,x,x,7.5045,0.009192,x,x,7.1643,0.074326,x,x,7.5125,0.194684,x,x,7.3504,0.087198,x,x,x,x,x,x,7.707,,7.3257,0.094063,7.3417,0.132296,7.6134,0.101013,x,x,7.3135,0.069058,x,x,x,x,7.3298,0.039051,7.238,0.12757,x,x,x,x,x,x,x,x,7.2602,0.098776,7.486,,x,x
2,https://genenetwork.org/show_trait?trait_id=1437374_at&dataset=UCLA_AXB_BXA_Liv_Jan16,mouse,AXBXA,UCLA_AXB_BXA_Liv_Jan16,1437374_at,4632433K11Rik,"immune system expression, C2H2 type zinc finger protein, RIKEN cDNA 4632433K11; 3' UTR",3' UTR,N/A,7,5.032685,"4632433K11Rik, LOC319748",77043,N/A,Mm.349546,+,11.15,223.0,5.032685,5.032929,19,26.810052,D19Mit30,7.30474328509253,0.985,7.344666685376849,7.374,0.147785,7.419,0.116733,x,x,x,x,x,x,7.283,0.019013,x,x,x,x,7.185,,7.551,0.192075,x,x,7.389,0.034648,x,x,7.458,0.231931,x,x,7.203,0.1492,x,x,7.446,0.113651,x,x,7.348,0.092813,x,x,x,x,x,x,7.392,,7.278,0.323148,7.175,0.151628,7.31,0.103293,x,x,7.312,0.054447,x,x,x,x,7.334,0.201904,7.558,0.103615,x,x,x,x,x,x,x,x,7.444,0.218496,7.021,,x,x
3,https://genenetwork.org/show_trait?trait_id=1425238_at_A&dataset=GSE16780AB_UCLA_ML0911,mouse,AXBXA,GSE16780AB_UCLA_ML0911,1425238_at_A,BC011413,"similar to ribosomal protein S20 (high expression in immune system, downstream of Anln); far 3' UTR (or short downstream gene BC011413)",far 3' UTR (or short downstream gene BC011413),N/A,9,22.330146,"1110037A17Rik, 2900037I21Rik, ANILLIN, Scraps, BC011413",68743,N/A,Mm.282751,-,11.05,221.0,22.330146,22.330616,15,36.435819,CEL-15_36490596,8.70789347725642,,6.550535712923322,6.481,0.056,6.521,0.147,x,x,x,x,6.583,0.054,6.6,0.06,x,x,6.591,0.101,6.4,0.185,6.534,0.07,x,x,6.498,0.085,x,x,6.452,0.056,x,x,6.61,0.093,6.494,0.046,6.539,0.081,x,x,6.56,0.038,x,x,6.671,0.156,6.584,0.122,6.595,,6.593,0.074,6.601,0.076,6.379,0.018,6.658,0.125,6.533,0.066,6.629,0.054,6.542,0.045,6.585,0.03,6.516,0.061,x,x,x,x,x,x,x,x,6.482,0.134,6.596,0.182,6.588,0.034
4,https://genenetwork.org/show_trait?trait_id=1425238_at&dataset=UCLA_AXB_BXA_Aor_Jan16,mouse,AXBXA,UCLA_AXB_BXA_Aor_Jan16,1425238_at,BC011413,"similar to ribosomal protein S20 (high expression in immune system, downstream of Anln); far 3' UTR (or short downstream gene BC011413)",far 3' UTR (or short downstream gene BC011413),N/A,9,22.330146,"1110037A17Rik, 2900037I21Rik, ANILLIN, Scraps, BC011413",68743,N/A,Mm.282751,-,6.161290323,191.0,22.330146,22.330586,14,68.706168,UT_14_59.839857,9.20397335887316,0.865,6.430528572627476,6.4315,0.049255,6.466,0.039236,x,x,x,x,x,x,6.5093,0.107337,x,x,x,x,6.3565,0.061685,6.4383,0.143747,x,x,6.415,0.216375,x,x,6.431,0.041012,x,x,6.365,0.082165,x,x,6.5937,0.072595,x,x,6.4472,0.03905,x,x,x,x,x,x,6.31,,6.3938,0.125147,6.442,0.063601,6.569,0.084847,x,x,6.4428,0.136231,x,x,x,x,6.5445,0.086904,6.4137,0.031467,x,x,x,x,x,x,x,x,6.3225,0.046305,6.518,,x,x
5,https://genenetwork.org/show_trait?trait_id=1425238_at&dataset=UCLA_AXB_BXA_Liv_Jan16,mouse,AXBXA,UCLA_AXB_BXA_Liv_Jan16,1425238_at,BC011413,"similar to ribosomal protein S20 (high expression in immune system, downstream of Anln); far 3' UTR (or short downstream gene BC011413)",far 3' UTR (or short downstream gene BC011413),N/A,9,22.330146,"1110037A17Rik, 2900037I21Rik, ANILLIN, Scraps, BC011413",68743,N/A,Mm.282751,-,6.161290323,191.0,22.330146,22.330586,11,72.364011,rs13481093,13.5401909627775,0.315,6.550714333852132,6.448,0.091217,6.797,0.067775,x,x,x,x,x,x,6.379,0.07477,x,x,x,x,6.485,,6.48,0.171269,x,x,6.562,0.191626,x,x,6.507,0.089803,x,x,6.526,0.055861,x,x,6.649,0.04965,x,x,6.555,0.022266,x,x,x,x,x,x,6.662,,6.584,0.074246,6.513,0.038055,6.556,0.027985,x,x,6.419,0.053033,x,x,x,x,6.588,0.074463,6.653,0.138403,x,x,x,x,x,x,x,x,6.609,0.270115,6.471,,x,x
6,https://genenetwork.org/show_trait?trait_id=ILM102100095&dataset=UCLA_AXB/BXA_Femur_0113_RSN,mouse,AXBXA,UCLA_AXB/BXA_Femur_0113_RSN,ILM102100095,LOC383301,similar to gut antigen protein; putative intergenic,putative intergenic,N/A,18,21.306473,Not available,383301,N/A,,-,1.0,50.0,21.306473,21.306523,5,109.222881,CEL-5_106241511,9.741009886865381,,7.231785689081464,7.202,0.088,7.23,0.199,x,x,x,x,7.037,,7.317,,x,x,7.251,,7.24,,7.259,0.034,x,x,7.264,,x,x,7.199,,x,x,7.224,,7.272,,7.156,0.023,x,x,7.241,0.042,x,x,7.286,,7.282,,7.312,,7.262,,7.24,0.057,7.195,,7.291,,7.238,,7.288,,6.996,,7.149,,7.315,,x,x,x,x,x,x,x,x,7.272,,7.255,,7.217,
7,https://genenetwork.org/show_trait?trait_id=ILM104060500&dataset=UCLA_AXB/BXA_Femur_0113_RSN,mouse,AXBXA,UCLA_AXB/BXA_Femur_0113_RSN,ILM104060500,Dep1,diabetic embryopathy 1; intron 3,intron 3,N/A,17,10.314643,Not available,170624,N/A,Mm.441701,-,5.0,50.0,10.314643,10.314693,1,94.909763,D1Mit45,13.0042256123493,,7.724392839840481,7.745,0.036,7.774,0.006,x,x,x,x,7.771,,7.735,,x,x,7.813,,7.704,,7.689,0.038,x,x,7.657,,x,x,7.837,,x,x,7.773,,7.614,,7.704,0.115,x,x,7.763,0.058,x,x,7.62,,7.846,,7.671,,7.752,,7.846,0.048,7.615,,7.707,,7.752,,7.723,,7.809,,7.613,,7.635,,x,x,x,x,x,x,x,x,7.8,,7.615,,7.7,
8,https://genenetwork.org/show_trait?trait_id=1435540_at&dataset=UCLA_AXB_BXA_Aor_Jan16,mouse,AXBXA,UCLA_AXB_BXA_Aor_Jan16,1435540_at,Irgq1,"immunity-related GTPase family, Q1",,N/A,7,24.538075,FKSG27,210146,N/A,Mm.41108,+,12.35,247.0,24.538075,24.538506,3,111.887598,rs6199580,9.76995934877603,0.354,9.620885712759835,9.5455,0.069753,9.6443,0.162733,x,x,x,x,x,x,9.5935,0.143982,x,x,x,x,9.5635,0.118224,9.275,0.263096,x,x,9.5045,0.040305,x,x,9.6335,0.30052,x,x,9.612,0.036022,x,x,9.5628,0.054106,x,x,9.639,0.045273,x,x,x,x,x,x,9.486,,9.5853,0.153239,9.702,0.047096,9.677,0.032247,x,x,9.6438,0.100845,x,x,x,x,9.7755,0.087278,9.7933,0.028726,x,x,x,x,x,x,x,x,9.6563,0.06066,9.631,,x,x
9,https://genenetwork.org/show_trait?trait_id=1437653_at&dataset=UCLA_AXB_BXA_Aor_Jan16,mouse,AXBXA,UCLA_AXB_BXA_Aor_Jan16,1437653_at,Irgq1,"immunity-related GTPase family, Q1",,N/A,7,24.533537,FKSG27,210146,N/A,Mm.41108,+,9.8,196.0,24.533537,24.533995,5,106.340463,rs13478442,11.182699860962,0.564,6.71132382892427,6.6807,0.076985,6.7517,0.048643,x,x,x,x,x,x,6.8175,0.076847,x,x,x,x,6.5908,0.099167,6.7187,0.135784,x,x,7.093,0.145664,x,x,6.757,0.141421,x,x,6.6332,0.140628,x,x,6.9025,0.074878,x,x,6.6753,0.065678,x,x,x,x,x,x,6.569,,6.645,0.161988,6.7615,0.10172,6.9006,0.06154,x,x,6.556,0.168832,x,x,x,x,6.8495,0.127547,6.665,0.087399,x,x,x,x,x,x,x,x,6.5925,0.026215,6.629,,x,x
10,https://genenetwork.org/show_trait?trait_id=1435540_at&dataset=UCLA_AXB_BXA_Liv_Jan16,mouse,AXBXA,UCLA_AXB_BXA_Liv_Jan16,1435540_at,Irgq1,"immunity-related GTPase family, Q1",,N/A,7,24.538075,FKSG27,210146,N/A,Mm.41108,+,12.35,247.0,24.538075,24.538506,18,26.761256,rs13483264,9.40007230881958,0.743,8.984333356221518,9.084,0.186676,9.148,0.075711,x,x,x,x,x,x,8.708,0.242591,x,x,x,x,9.01,,8.961,0.051867,x,x,9.215,0.114551,x,x,8.97,0.147785,x,x,9.01,0.07566,x,x,9.079,0.094893,x,x,9.013,0.066001,x,x,x,x,x,x,8.789,,8.997,0.067175,8.965,0.11134,8.992,0.044296,x,x,8.685,0.125158,x,x,x,x,9.073,0.083479,9.008,0.115556,x,x,x,x,x,x,x,x,9.027,0.195161,8.808,,x,x
11,https://genenetwork.org/show_trait?trait_id=1437653_at&dataset=UCLA_AXB_BXA_Liv_Jan16,mouse,AXBXA,UCLA_AXB_BXA_Liv_Jan16,1437653_at,Irgq1,"immunity-related GTPase family, Q1",,N/A,7,24.533537,FKSG27,210146,N/A,Mm.41108,+,9.8,196.0,24.533537,24.533995,2,36.101676,rs3699934,10.5390890416655,0.649,6.60209524063837,6.434,0.03677,6.693,0.110542,x,x,x,x,x,x,6.558,0.101713,x,x,x,x,6.859,,6.704,0.121244,x,x,6.602,0.028284,x,x,6.583,0.027577,x,x,6.434,0.091217,x,x,6.495,0.057334,x,x,6.572,0.062793,x,x,x,x,x,x,6.731,,6.562,0.159806,6.729,0.213515,6.581,0.193288,x,x,6.564,0.219203,x,x,x,x,6.416,0.188407,6.494,0.149112,x,x,x,x,x,x,x,x,6.903,0.306884,6.494,,x,x
12,https://genenetwork.org/show_trait?trait_id=1415876_a_at_A&dataset=GSE16780AB_UCLA_ML0911,mouse,AXBXA,GSE16780AB_UCLA_ML0911,1415876_a_at_A,Rps26,40S ribosomal protein S26 (type I diabetes); exons 1 and 2 (confirmed),exons 1 and 2 (confirmed),N/A,10,128.625266,Not available,27370,N/A,Mm.261679,-,1.01063829787234,190.0,128.625266,128.626218,3,107.918925,rs13477318,13.198691566750002,,13.566500050680977,13.537,0.076,13.62,0.021,x,x,x,x,13.537,0.05,13.626,0.071,x,x,13.68,0.034,13.614,0.045,13.687,0.076,x,x,13.35,0.048,x,x,13.508,0.058,x,x,13.535,0.074,13.738,0.079,13.604,0.122,x,x,13.55,0.037,x,x,13.635,0.058,13.568,0.164,13.489,,13.561,0.015,13.565,0.06,13.503,0.029,13.474,0.043,13.515,0.039,13.609,0.042,13.582,0.005,13.558,0.013,13.544,0.023,x,x,x,x,x,x,x,x,13.561,0.06,13.435,0.038,13.677,0.075
13,https://genenetwork.org/show_trait?trait_id=1415876_a_at&dataset=UCLA_AXB_BXA_Aor_Jan16,mouse,AXBXA,UCLA_AXB_BXA_Aor_Jan16,1415876_a_at,Rps26,40S ribosomal protein S26 (type I diabetes); exons 1 and 2 (confirmed),exons 1 and 2 (confirmed),N/A,10,128.625266,Not available,27370,N/A,Mm.261679,-,1.010638298,190.0,128.625266,128.626218,,,rs3662618,13.6820944193331,0.184,13.81559521811349,13.6173,0.105294,13.866,0.05004,x,x,x,x,x,x,13.9808,0.059902,x,x,x,x,13.8073,0.132546,14.0377,0.046911,x,x,13.988,0.004243,x,x,13.7815,0.225567,x,x,13.8253,0.224823,x,x,13.851,0.057106,x,x,13.7038,0.040358,x,x,x,x,x,x,14.18,,13.8085,0.193874,13.938,0.042124,13.823,0.028213,x,x,13.5923,0.035438,x,x,x,x,13.9447,0.027714,13.726,0.058034,x,x,x,x,x,x,x,x,13.6165,0.058609,13.794,,x,x
