"Export Date: December 11, 2024"
Export Time: 12:36 GMT
Exported Row Number: 10000
"Funding for The GeneNetwork: NIGMS (R01 GM123489, 2017-2026), NIDA (P30 DA044223, 2017-2022), NIA (R01AG043930, 2013-2018), NIAAA (U01 AA016662, U01 AA013499, U24 AA013513, U01 AA014425, 2006-2017), NIDA/NIMH/NIAAA (P20-DA 21131, 2001-2012), NCI MMHCC (U01CA105417), NCRR/BIRN (U24 RR021760)"

Index,URL,Species,Group,Dataset,Record ID,Symbol,Description,ProbeTarget,PubMed_ID,Chr,Mb,Alias,Gene_ID,Homologene_ID,UniGene_ID,Strand_Probe,Probe_set_specificity,Probe_set_BLAT_score,Probe_set_BLAT_Mb_start,Probe_set_BLAT_Mb_end,QTL_Chr,QTL_Mb,Locus_at_Peak,Max_LRS,P_value_of_MAX,Mean_Expression,BJGWI026,BJGWI026_SE,BJGWI028,BJGWI028_SE,BJGWI029,BJGWI029_SE,BJGWI030,BJGWI030_SE,BJGWI404,BJGWI404_SE,BJGWI405,BJGWI405_SE,BJGWI406,BJGWI406_SE,BJGWI416,BJGWI416_SE,BJGWI179,BJGWI179_SE,BJGWI180,BJGWI180_SE,BJGWI181,BJGWI181_SE,BJGWI182,BJGWI182_SE,BJGWI183,BJGWI183_SE,BJGWI184,BJGWI184_SE,BJGWI185,BJGWI185_SE,BJGWI186,BJGWI186_SE,BJGWI311,BJGWI311_SE,BJGWI313,BJGWI313_SE,BJGWI474,BJGWI474_SE,BJGWI475,BJGWI475_SE,BJGWI476,BJGWI476_SE,BJGWI477,BJGWI477_SE,BJGWI478,BJGWI478_SE,BJGWI480,BJGWI480_SE,BJGWI100,BJGWI100_SE,BJGWI101,BJGWI101_SE,BJGWI102,BJGWI102_SE,BJGWI188,BJGWI188_SE,BJGWI189,BJGWI189_SE,BJGWI190,BJGWI190_SE,BJGWI192,BJGWI192_SE,BJGWI335,BJGWI335_SE,BJGWI051,BJGWI051_SE,BJGWI052,BJGWI052_SE,BJGWI322,BJGWI322_SE,BJGWI323,BJGWI323_SE,BJGWI325,BJGWI325_SE,BJGWI375,BJGWI375_SE,BJGWI376,BJGWI376_SE,BJGWI377,BJGWI377_SE,BJGWI084,BJGWI084_SE,BJGWI085,BJGWI085_SE,BJGWI086,BJGWI086_SE,BJGWI087,BJGWI087_SE,BJGWI088,BJGWI088_SE,BJGWI381,BJGWI381_SE,BJGWI383,BJGWI383_SE,BJGWI384,BJGWI384_SE,BJGWI454,BJGWI454_SE,BJGWI455,BJGWI455_SE,BJGWI456,BJGWI456_SE,BJGWI457,BJGWI457_SE,BJGWI458,BJGWI458_SE,BJGWI459,BJGWI459_SE,BJGWI466,BJGWI466_SE,BJGWI468,BJGWI468_SE,BJGWI053,BJGWI053_SE,BJGWI054,BJGWI054_SE,BJGWI055,BJGWI055_SE,BJGWI056,BJGWI056_SE,BJGWI267,BJGWI267_SE,BJGWI268,BJGWI268_SE,BJGWI269,BJGWI269_SE,BJGWI362,BJGWI362_SE,BJGWI075,BJGWI075_SE,BJGWI078,BJGWI078_SE,BJGWI079,BJGWI079_SE,BJGWI080,BJGWI080_SE,BJGWI081,BJGWI081_SE,BJGWI144,BJGWI144_SE,BJGWI145,BJGWI145_SE,BJGWI057,BJGWI057_SE,BJGWI059,BJGWI059_SE,BJGWI060,BJGWI060_SE,BJGWI137,BJGWI137_SE,BJGWI138,BJGWI138_SE,BJGWI139,BJGWI139_SE,BJGWI140,BJGWI140_SE,BJGWI141,BJGWI141_SE,BJGWI082,BJGWI082_SE,BJGWI130,BJGWI130_SE,BJGWI131,BJGWI131_SE,BJGWI132,BJGWI132_SE,BJGWI133,BJGWI133_SE,BJGWI134,BJGWI134_SE,BJGWI135,BJGWI135_SE,BJGWI136,BJGWI136_SE
1,https://genenetwork.org/show_trait?trait_id=cd082835&dataset=UTHSC_BXD_Hip_MBD_0824,mouse,BXD-MBD-UTHSC,UTHSC_BXD_Hip_MBD_0824,cd082835,Klf4,Kruppel-like transcription factor 4 (gut) Distal Intergenic;BinID:chr4_55500751,,N/A,4,55.527143,"EZF, Gklf, Zie, ENSMUSG00000003032",16600,N/A,,-,,,55.527143,55.532466,6,9.33923,rsm10000003129,33.7290225276236,,3.111474623625306,3.1546,,3.33224,,3.23005,,3.66477,,3.28865,,3.77553,,3.92453,,3.71513,,3.28682,,2.93959,,2.59925,,2.84248,,3.10694,,3.2788,,2.41708,,3.09103,,3.27139,,3.21534,,2.56688,,3.25495,,3.18903,,3.44929,,3.6053,,4.01325,,3.28129,,2.85841,,2.94944,,3.2246,,2.99286,,3.68854,,3.1229,,3.24128,,2.22672,,2.92036,,3.06729,,2.90485,,2.21311,,2.46053,,2.93335,,2.31507,,3.11571,,3.05346,,3.17983,,3.45765,,3.32828,,3.41759,,3.65557,,2.47245,,2.37082,,2.68981,,2.94174,,2.80754,,2.65852,,2.57382,,2.73009,,2.9043,,3.42116,,3.76201,,3.51022,,3.09402,,2.91299,,2.92617,,3.01933,,3.08803,,3.43929,,3.3157,,3.11064,,3.38937,,3.73232,,3.40475,,3.49466,,3.46812,,3.59559,,2.93957,,3.37526,,3.42394,,3.57498,,3.12609,,2.86237,,3.0521,,3.10355,,3.0967,,2.39625,,2.78036,,3.14209,,2.47751,,2.69249,
2,https://genenetwork.org/show_trait?trait_id=cd082838&dataset=UTHSC_BXD_Hip_MBD_0824,mouse,BXD-MBD-UTHSC,UTHSC_BXD_Hip_MBD_0824,cd082838,Klf4,Kruppel-like transcription factor 4 (gut) Distal Intergenic;BinID:chr4_55659151,,N/A,4,55.527143,"EZF, Gklf, Zie, ENSMUSG00000003032",16600,N/A,,-,,,55.527143,55.532466,1,186.345099,rsm10000000476,27.3522432654961,,3.4501247899285676,3.77007,,3.24872,,3.23005,,3.41545,,3.96481,,3.52209,,2.91671,,3.98993,,2.97898,,3.25939,,2.99167,,3.37693,,3.26751,,3.58426,,3.32689,,3.02248,,3.19776,,3.45203,,3.14981,,3.56355,,3.64384,,3.73362,,3.52013,,3.94398,,3.72331,,3.75445,,3.60904,,3.43553,,3.21164,,3.63843,,3.94967,,4.08454,,3.28246,,3.57834,,3.74967,,3.35994,,3.36995,,3.64358,,3.12827,,3.16095,,3.55237,,3.68488,,3.61864,,3.56731,,4.11982,,3.35399,,4.02352,,3.33504,,3.22286,,2.81908,,3.42816,,3.27265,,3.16456,,3.27246,,3.19151,,3.33311,,3.73601,,3.5846,,3.6424,,3.78157,,3.76058,,3.22634,,3.47904,,3.58046,,3.51428,,3.97943,,3.96636,,3.38937,,4.11973,,3.34416,,3.62671,,3.17869,,3.43097,,2.32378,,3.45446,,3.26133,,3.63379,,3.71626,,3.60805,,3.54773,,3.71671,,3.0242,,3.01822,,2.87946,,2.82585,,2.97267,,3.12723,
3,https://genenetwork.org/show_trait?trait_id=cd082839&dataset=UTHSC_BXD_Hip_MBD_0824,mouse,BXD-MBD-UTHSC,UTHSC_BXD_Hip_MBD_0824,cd082839,Klf4,Kruppel-like transcription factor 4 (gut) Distal Intergenic;BinID:chr4_55659301,,N/A,4,55.527143,"EZF, Gklf, Zie, ENSMUSG00000003032",16600,N/A,,-,,,55.527143,55.532466,18,56.573213,rsm10000013518,23.9801294415047,,3.662742642150528,3.77007,,2.73833,,3.39227,,3.75357,,3.82312,,3.4511,,3.28276,,3.98993,,3.28682,,3.52101,,3.38951,,3.67815,,3.34155,,3.92584,,3.77029,,2.87476,,3.40824,,3.71716,,3.62261,,3.98254,,3.56363,,4.14281,,3.76188,,4.26119,,3.77014,,3.94646,,4.12313,,3.56076,,3.81184,,3.95739,,3.99394,,4.04407,,3.69415,,3.82093,,3.84529,,3.70538,,3.95623,,3.99949,,3.59205,,3.78596,,3.48817,,4.08434,,3.55416,,3.33896,,4.29606,,4.05971,,4.12791,,3.8057,,3.62183,,3.14922,,3.73676,,3.69971,,3.53845,,3.74115,,3.75616,,3.66324,,3.69503,,4.02803,,3.87518,,3.36128,,3.95982,,3.35584,,3.87777,,3.83479,,3.51428,,4.01978,,3.56274,,3.25271,,3.80455,,3.34416,,3.56219,,3.63314,,3.81189,,3.45989,,3.52953,,3.34492,,3.84765,,3.45115,,3.80562,,3.54773,,3.6012,,3.41288,,3.32095,,3.0593,,3.40132,,3.465,,3.20041,
4,https://genenetwork.org/show_trait?trait_id=cd082840&dataset=UTHSC_BXD_Hip_MBD_0824,mouse,BXD-MBD-UTHSC,UTHSC_BXD_Hip_MBD_0824,cd082840,Klf4,Kruppel-like transcription factor 4 (gut) Distal Intergenic;BinID:chr4_55659451,,N/A,4,55.527143,"EZF, Gklf, Zie, ENSMUSG00000003032",16600,N/A,,-,,,55.527143,55.532466,14,68.39078,rsm10000011111,18.406162836038,,3.516363905764174,3.5282,,2.85587,,3.14155,,3.46888,,3.87191,,3.77553,,2.91671,,3.65328,,3.19132,,3.39612,,3.38951,,3.37693,,3.10694,,3.58426,,3.65097,,2.87476,,3.34144,,3.59068,,3.43858,,3.81762,,3.38846,,4.07653,,3.76188,,3.94398,,3.77014,,3.47177,,3.77551,,3.8332,,3.81184,,3.91592,,3.65109,,3.56108,,3.58801,,3.28654,,3.35408,,3.29338,,3.80393,,3.64358,,3.0341,,3.58861,,3.55237,,3.83067,,3.26287,,3.14033,,3.91903,,3.69929,,3.78892,,3.93372,,3.22286,,3.89923,,3.62112,,3.54371,,3.60287,,3.14383,,3.75616,,3.5076,,3.73601,,3.9929,,3.70421,,3.58668,,3.59072,,3.47468,,3.60464,,3.77528,,3.51428,,3.60811,,3.71019,,3.25271,,3.87334,,3.14545,,3.3493,,3.46812,,3.67135,,3.77282,,3.20251,,3.34492,,3.51367,,3.37649,,3.60805,,3.54773,,3.47564,,3.35495,,3.01822,,2.78036,,3.51533,,3.52339,,2.88236,
5,https://genenetwork.org/show_trait?trait_id=cd082841&dataset=UTHSC_BXD_Hip_MBD_0824,mouse,BXD-MBD-UTHSC,UTHSC_BXD_Hip_MBD_0824,cd082841,Klf4,Kruppel-like transcription factor 4 (gut) Distal Intergenic;BinID:chr4_55715401,,N/A,4,55.527143,"EZF, Gklf, Zie, ENSMUSG00000003032",16600,N/A,,-,,,55.527143,55.532466,4,22.463247,rsm10000001915,49.0564121788997,,2.7097506420365693,3.23746,,3.06563,,3.39227,,3.04517,,3.28865,,2.93116,,3.43598,,3.45003,,1.81094,,1.54213,,2.74225,,2.07877,,2.60403,,1.72119,,1.49241,,2.31104,,3.03817,,3.52302,,1.31234,,3.81762,,3.18903,,3.2229,,2.72014,,3.33512,,2.82946,,2.41441,,3.08249,,3.78268,,3.7665,,2.9281,,3.59472,,3.44152,,1.50819,,2.42842,,1.91589,,2.08709,,2.21311,,2.32327,,2.11223,,0.918491,,2.93485,,3.20379,,3.41586,,3.56731,,3.24479,,3.41759,,2.94868,,3.50955,,2.91682,,2.01177,,2.35504,,1.58779,,1.87228,,1.96097,,2.04763,,1.20415,,3.42116,,3.53661,,3.82041,,3.51539,,1.32985,,1.86607,,3.10685,,2.49074,,3.18764,,3.24937,,3.11064,,2.9331,,3.57601,,3.07262,,3.3493,,2.81624,,2.09332,,2.32378,,3.66888,,3.07803,,3.57498,,3.12609,,3.17978,,2.14026,,2.82332,,2.49055,,1.94324,,2.29757,,1.45737,,1.24894,,2.06729,
6,https://genenetwork.org/show_trait?trait_id=cd082842&dataset=UTHSC_BXD_Hip_MBD_0824,mouse,BXD-MBD-UTHSC,UTHSC_BXD_Hip_MBD_0824,cd082842,Klf4,Kruppel-like transcription factor 4 (gut) Distal Intergenic;BinID:chr4_55726051,,N/A,4,55.527143,"EZF, Gklf, Zie, ENSMUSG00000003032",16600,N/A,,-,,,55.527143,55.532466,11,114.767138,rsm10000008843,13.6097147892934,,3.3694105038697693,3.06668,,3.75173,,3.90363,,3.52041,,3.3588,,3.52209,,3.3614,,3.52101,,3.28682,,1.95016,,3.20426,,3.2198,,3.10694,,3.0587,,3.37789,,2.87476,,3.94679,,3.52302,,2.68189,,3.56355,,3.07793,,3.59845,,2.86532,,4.14253,,3.62485,,3.53291,,3.36965,,3.67598,,3.341,,3.53266,,3.41104,,3.24128,,2.98075,,3.20333,,3.53704,,3.35994,,3.63364,,3.52338,,2.93335,,2.93009,,3.55237,,3.13058,,3.68036,,3.20962,,4.16594,,3.79818,,3.91098,,3.58948,,3.12788,,3.14922,,2.84196,,3.36878,,2.65852,,3.33272,,3.08924,,3.33311,,2.87835,,4.02803,,3.57783,,3.18872,,3.25383,,3.15694,,3.5432,,3.43423,,3.36019,,3.71028,,4.02388,,3.83457,,2.96934,,3.51879,,3.18764,,3.55299,,3.59559,,3.77282,,3.20251,,3.26133,,3.51367,,2.70582,,3.75871,,3.13421,,3.77117,,3.29459,,3.32095,,3.2192,,3.2114,,3.63353,,3.27006,
7,https://genenetwork.org/show_trait?trait_id=cd082843&dataset=UTHSC_BXD_Hip_MBD_0824,mouse,BXD-MBD-UTHSC,UTHSC_BXD_Hip_MBD_0824,cd082843,Klf4,Kruppel-like transcription factor 4 (gut) Distal Intergenic;BinID:chr4_55726201,,N/A,4,55.527143,"EZF, Gklf, Zie, ENSMUSG00000003032",16600,N/A,,-,,,55.527143,55.532466,11,121.250753,rsm10000008926,14.82671602124,,3.3270365451944284,3.06668,,3.86823,,3.84878,,3.46888,,3.72029,,3.58974,,2.6917,,3.71513,,3.19132,,2.40384,,3.10188,,3.0896,,2.71961,,3.0587,,3.21915,,3.21907,,3.75478,,3.29862,,2.30506,,3.81762,,2.95756,,3.44929,,3.22956,,3.71367,,3.72331,,3.40792,,3.56423,,3.67598,,3.40157,,3.78384,,3.65109,,3.16784,,3.0623,,3.02098,,2.9857,,3.29338,,3.74937,,3.64358,,3.12827,,2.84412,,3.67279,,3.40344,,3.55416,,3.06754,,3.97191,,3.69929,,3.91098,,3.33504,,3.22286,,2.68981,,3.03507,,3.36878,,2.98285,,3.20958,,2.97917,,3.42299,,2.64002,,3.95689,,2.91988,,3.27757,,3.25383,,3.08404,,3.34146,,3.5092,,3.36019,,3.3157,,4.07919,,3.73548,,2.14407,,3.07262,,3.56219,,3.37794,,3.43097,,3.62483,,3.66888,,2.97684,,3.6903,,3.21447,,3.80562,,2.96504,,3.47564,,3.35495,,3.38765,,2.97218,,3.51533,,3.34061,,3.27006,
8,https://genenetwork.org/show_trait?trait_id=cd082844&dataset=UTHSC_BXD_Hip_MBD_0824,mouse,BXD-MBD-UTHSC,UTHSC_BXD_Hip_MBD_0824,cd082844,Klf4,Kruppel-like transcription factor 4 (gut) Distal Intergenic;BinID:chr4_55726351,,N/A,4,55.527143,"EZF, Gklf, Zie, ENSMUSG00000003032",16600,N/A,,-,,,55.527143,55.532466,4,22.463247,rsm10000001915,26.4792875820554,,2.9986276914333474,3.1546,,3.48602,,3.6058,,3.30227,,3.48962,,3.65437,,2.6917,,3.125,,2.85982,,2.52808,,2.26209,,2.33012,,2.47837,,2.97719,,2.90827,,2.79481,,3.12017,,3.12695,,2.30506,,3.56355,,2.82621,,3.2229,,3.11806,,2.96736,,3.62485,,2.95093,,3.56423,,3.14683,,3.6713,,3.00922,,3.4749,,3.00869,,2.48511,,3.02098,,2.36626,,2.8128,,3.21751,,3.32192,,2.28574,,2.0337,,3.3505,,3.4643,,3.41586,,3.06754,,3.06176,,3.14442,,3.50862,,3.13648,,2.79845,,2.39026,,2.35504,,2.50315,,2.88263,,2.35885,,2.97917,,3.42299,,2.8032,,3.91997,,2.42797,,3.18872,,3.00604,,2.65131,,2.82653,,2.98674,,3.27649,,2.67299,,3.77862,,3.5142,,2.53225,,2.91493,,3.27073,,2.94743,,2.4779,,2.66428,,3.52953,,3.42394,,3.44963,,3.37649,,3.31564,,1.97185,,3.33809,,2.78191,,3.01822,,2.29757,,2.99262,,2.59107,,3.20041,
9,https://genenetwork.org/show_trait?trait_id=cd082845&dataset=UTHSC_BXD_Hip_MBD_0824,mouse,BXD-MBD-UTHSC,UTHSC_BXD_Hip_MBD_0824,cd082845,Klf4,Kruppel-like transcription factor 4 (gut) Distal Intergenic;BinID:chr4_55744501,,N/A,4,55.527143,"EZF, Gklf, Zie, ENSMUSG00000003032",16600,N/A,,-,,,55.527143,55.532466,3,74.616716,rs31366999,10.1099123008296,,3.153098624328087,3.5282,,4.07632,,3.67048,,3.46888,,3.48962,,3.21443,,3.3614,,3.52101,,2.72991,,3.25939,,2.74225,,2.73043,,3.26751,,3.13586,,2.60003,,3.59451,,3.27139,,3.21534,,3.30141,,2.74424,,2.13364,,2.71381,,3.33306,,3.22264,,2.5363,,2.41441,,3.14468,,3.67598,,3.14234,,3.68854,,3.27415,,2.38746,,3.41254,,2.42842,,3.35408,,3.29338,,3.5721,,3.32192,,2.58044,,2.93009,,2.48651,,3.4643,,3.55416,,3.89635,,3.48202,,3.41759,,3.34499,,2.77556,,3.12788,,2.39026,,3.28351,,2.80754,,3.32591,,2.92644,,3.37657,,2.77373,,3.08282,,2.78558,,3.28604,,3.58668,,3.39815,,3.58447,,2.92615,,3.27149,,2.88262,,3.24937,,3.48295,,2.9331,,3.49101,,3.14545,,3.00554,,3.28175,,3.51563,,2.66428,,3.20251,,3.07803,,3.31235,,3.21447,,3.31564,,3.2856,,3.33809,,3.41288,,2.63462,,2.43423,,3.51533,,3.20448,,2.88236,
10,https://genenetwork.org/show_trait?trait_id=cd082846&dataset=UTHSC_BXD_Hip_MBD_0824,mouse,BXD-MBD-UTHSC,UTHSC_BXD_Hip_MBD_0824,cd082846,Klf4,Kruppel-like transcription factor 4 (gut) Distal Intergenic;BinID:chr4_55747051,,N/A,4,55.527143,"EZF, Gklf, Zie, ENSMUSG00000003032",16600,N/A,,-,,,55.527143,55.532466,10,107.47592,rs29330702,8.1568204807555,,3.1107488089594346,3.39014,,2.85587,,2.59291,,3.24216,,3.42569,,3.37644,,3.3614,,3.125,,3.94348,,3.39612,,2.4405,,2.99577,,3.47913,,3.34528,,2.68348,,3.09103,,2.75986,,3.03279,,3.14981,,2.4756,,2.95756,,2.62385,,2.37688,,3.10064,,3.07299,,2.41441,,3.08249,,2.88469,,2.99286,,3.53266,,2.86137,,3.50254,,3.58801,,2.92036,,3.28755,,3.35994,,3.04704,,3.00033,,2.82503,,2.31507,,2.34867,,3.13058,,3.41586,,3.45765,,3.15618,,2.2311,,3.72378,,3.50955,,2.37082,,3.57242,,3.35765,,3.05876,,2.77492,,3.27246,,3.08924,,2.63015,,3.08282,,3.14688,,3.28604,,2.88366,,3.25383,,3.15694,,2.60394,,3.5092,,3.09295,,3.24937,,3.11064,,2.74211,,3.08985,,2.99593,,3.27073,,3.78121,,3.81189,,3.27364,,3.20251,,3.34492,,3.31235,,3.29775,,3.24931,,3.13421,,3.33809,,3.46858,,2.93145,,3.14146,,3.45945,,3.20448,,3.20041,
