"Export Date: December 11, 2024"
Export Time: 12:36 GMT
Exported Row Number: 10000
"Funding for The GeneNetwork: NIGMS (R01 GM123489, 2017-2026), NIDA (P30 DA044223, 2017-2022), NIA (R01AG043930, 2013-2018), NIAAA (U01 AA016662, U01 AA013499, U24 AA013513, U01 AA014425, 2006-2017), NIDA/NIMH/NIAAA (P20-DA 21131, 2001-2012), NCI MMHCC (U01CA105417), NCRR/BIRN (U24 RR021760)"

Index,URL,Species,Group,Dataset,Record ID,Symbol,Description,ProbeTarget,PubMed_ID,Chr,Mb,Alias,Gene_ID,Homologene_ID,UniGene_ID,Strand_Probe,Probe_set_specificity,Probe_set_BLAT_score,Probe_set_BLAT_Mb_start,Probe_set_BLAT_Mb_end,QTL_Chr,QTL_Mb,Locus_at_Peak,Max_LRS,P_value_of_MAX,Mean_Expression,C57BL/6J,C57BL/6J_SE,BTBRT<+>tf/J,BTBRT<+>tf/J_SE,B6BTBRF1,B6BTBRF1_SE,BTBRB6F1,BTBRB6F1_SE,CASE2,CASE2_SE,CASE12,CASE12_SE,CASE16,CASE16_SE,CASE22,CASE22_SE,CASE44,CASE44_SE,CASE45,CASE45_SE,CASE46,CASE46_SE,CASE48,CASE48_SE,CASE57,CASE57_SE,CASE61,CASE61_SE,CASE72,CASE72_SE,CASE75,CASE75_SE,CASE78,CASE78_SE,CASE100,CASE100_SE,CASE105,CASE105_SE,CASE111,CASE111_SE,CASE112,CASE112_SE,CASE116,CASE116_SE,CASE123,CASE123_SE,CASE130,CASE130_SE,CASE134,CASE134_SE,CASE136,CASE136_SE,CASE148,CASE148_SE,CASE153,CASE153_SE,CASE156,CASE156_SE,CASE157,CASE157_SE,CASE159,CASE159_SE,CASE165,CASE165_SE,CASE167,CASE167_SE,CASE169,CASE169_SE,CASE173,CASE173_SE,CASE183,CASE183_SE,CASE184,CASE184_SE,CASE186,CASE186_SE,CASE190,CASE190_SE,CASE194,CASE194_SE,CASE198,CASE198_SE,CASE200,CASE200_SE,CASE207,CASE207_SE,CASE209,CASE209_SE,CASE210,CASE210_SE,CASE212,CASE212_SE,CASE223,CASE223_SE,CASE224,CASE224_SE,CASE228,CASE228_SE,CASE234,CASE234_SE,CASE235,CASE235_SE,CASE248,CASE248_SE,CASE253,CASE253_SE,CASE254,CASE254_SE,CASE260,CASE260_SE,CASE264,CASE264_SE,CASE266,CASE266_SE,CASE268,CASE268_SE,CASE270,CASE270_SE,CASE285,CASE285_SE,CASE309,CASE309_SE,CASE310,CASE310_SE,CASE317,CASE317_SE,CASE318,CASE318_SE,CASE324,CASE324_SE,CASE327,CASE327_SE,CASE328,CASE328_SE,CASE332,CASE332_SE,CASE343,CASE343_SE,CASE413,CASE413_SE,CASE416,CASE416_SE,CASE418,CASE418_SE,CASE419,CASE419_SE,CASE438,CASE438_SE,CASE439,CASE439_SE,CASE440,CASE440_SE,CASE444,CASE444_SE,CASE455,CASE455_SE,CASE458,CASE458_SE,CASE472,CASE472_SE,CASE473,CASE473_SE,CASE474,CASE474_SE,CASE479,CASE479_SE,CASE484,CASE484_SE,CASE486,CASE486_SE,CASE489,CASE489_SE,CASE491,CASE491_SE,CASE493,CASE493_SE,CASE495,CASE495_SE,CASE499,CASE499_SE,CASE501,CASE501_SE,CASE513,CASE513_SE,CASE517,CASE517_SE,CASE518,CASE518_SE,CASE523,CASE523_SE,CASE537,CASE537_SE,CASE548,CASE548_SE,CASE549,CASE549_SE,CASE550,CASE550_SE,CASE553,CASE553_SE,CASE554,CASE554_SE,CASE559,CASE559_SE,CASE560,CASE560_SE,CASE564,CASE564_SE,CASE566,CASE566_SE,CASE575,CASE575_SE,CASE585,CASE585_SE,CASE605,CASE605_SE,CASE608,CASE608_SE,CASE615,CASE615_SE,CASE617,CASE617_SE,CASE620,CASE620_SE,CASE694,CASE694_SE,CASE722,CASE722_SE
1,https://genenetwork.org/show_trait?trait_id=1437374_at_B&dataset=LVF2_M_0704_M,mouse,B6BTBRF2,LVF2_M_0704_M,1437374_at_B,4632433K11Rik,"immune system expression, C2H2 type zinc finger protein, RIKEN cDNA 4632433K11; 3' UTR",3' UTR,N/A,7,5.032685,"4632433K11Rik, LOC319748",77043,N/A,Mm.349546,+,11.15,223.0,5.032685,5.032929,18,43.391934,D18Mit202,9.74279966988072,0.255,7.29023333333333,x,x,x,x,x,x,x,x,7.399,,7.195,,x,x,7.215,,7.215,,x,x,7.241,,x,x,x,x,7.337,,x,x,x,x,x,x,7.275,,7.124,,7.028,,x,x,x,x,7.419,,x,x,x,x,x,x,x,x,x,x,7.273,,x,x,x,x,7.29,,7.333,,x,x,7.438,,x,x,x,x,7.329,,7.475,,7.355,,x,x,7.349,,7.193,,7.333,,x,x,6.988,,6.961,,7.116,,x,x,x,x,x,x,x,x,7.216,,7.278,,7.471,,7.3,,x,x,x,x,x,x,x,x,x,x,7.429,,7.281,,7.285,,7.122,,7.29,,x,x,x,x,7.474,,x,x,7.183,,x,x,7.222,,7.117,,x,x,7.656,,x,x,7.456,,7.286,,7.296,,x,x,7.163,,7.279,,7.131,,7.359,,7.704,,x,x,7.196,,x,x,7.293,,x,x,7.314,,7.349,,x,x,7.454,,x,x,x,x,7.108,,x,x,7.304,,7.228,,7.215,,7.255,,x,x,7.167,,x,x,x,x,x,x,7.348,,7.286,,7.592,,7.426,,x,x,x,x
2,https://genenetwork.org/show_trait?trait_id=1437374_at_B&dataset=LVF2_M_0704_R,mouse,B6BTBRF2,LVF2_M_0704_R,1437374_at_B,4632433K11Rik,"immune system expression, C2H2 type zinc finger protein, RIKEN cDNA 4632433K11; 3' UTR",3' UTR,N/A,7,5.032685,"4632433K11Rik, LOC319748",77043,N/A,Mm.349546,+,11.15,223.0,5.032685,5.032929,13,99.603459,D13Mit36,9.97682368250751,0.202,9.97523333333334,x,x,x,x,x,x,x,x,9.97,,9.966,,x,x,10.113,,9.999,,x,x,9.953,,x,x,x,x,10.028,,x,x,x,x,x,x,9.984,,9.908,,9.953,,x,x,x,x,10.1,,x,x,x,x,x,x,x,x,x,x,9.845,,x,x,x,x,9.886,,9.921,,x,x,9.863,,x,x,x,x,10.023,,10.018,,10.026,,x,x,9.97,,9.968,,10.005,,x,x,9.811,,9.932,,9.89,,x,x,x,x,x,x,x,x,9.948,,9.949,,10.007,,9.934,,x,x,x,x,x,x,x,x,x,x,10.036,,9.924,,10.027,,9.878,,9.937,,x,x,x,x,9.986,,x,x,9.911,,x,x,9.976,,9.906,,x,x,10.129,,x,x,9.913,,9.973,,9.939,,x,x,9.968,,9.985,,9.99,,9.992,,10.07,,x,x,10.064,,x,x,9.957,,x,x,10.019,,10.015,,x,x,10.005,,x,x,x,x,10.077,,x,x,10.017,,10.054,,9.944,,9.933,,x,x,9.849,,x,x,x,x,x,x,9.839,,10.102,,10.115,,10.014,,x,x,x,x
3,https://genenetwork.org/show_trait?trait_id=1425238_at_A&dataset=LVF2_M_0704_M,mouse,B6BTBRF2,LVF2_M_0704_M,1425238_at_A,BC011413,"similar to ribosomal protein S20 (high expression in immune system, downstream of Anln); far 3' UTR (or short downstream gene BC011413)",far 3' UTR (or short downstream gene BC011413),N/A,9,22.330146,"1110037A17Rik, 2900037I21Rik, ANILLIN, Scraps, BC011413",68743,N/A,Mm.282751,-,11.05,221.0,22.330146,22.330616,8,105.24082,D8Mit211,10.782548366961901,0.175,7.25085,x,x,x,x,x,x,x,x,6.337,,6.515,,x,x,8.07,,7.315,,x,x,6.145,,x,x,x,x,5.885,,x,x,x,x,x,x,5.832,,8.494,,8.156,,x,x,x,x,8.385,,x,x,x,x,x,x,x,x,x,x,7.981,,x,x,x,x,8.861,,6.252,,x,x,8.377,,x,x,x,x,8.053,,6.153,,8.325,,x,x,7.165,,6.692,,6.124,,x,x,8.629,,7.909,,6.713,,x,x,x,x,x,x,x,x,4.727,,6.109,,6.303,,9.353,,x,x,x,x,x,x,x,x,x,x,8.488,,6.705,,7.566,,5.909,,7.192,,x,x,x,x,6.71,,x,x,8.489,,x,x,8.343,,7.009,,x,x,6.297,,x,x,5.496,,7.718,,7.519,,x,x,5.785,,8.018,,7.184,,6.029,,8.288,,x,x,7.944,,x,x,6.263,,x,x,7.915,,8.627,,x,x,6.6,,x,x,x,x,5.988,,x,x,6.085,,8.515,,7.418,,8.007,,x,x,8.036,,x,x,x,x,x,x,8.958,,6.703,,8.554,,5.833,,x,x,x,x
4,https://genenetwork.org/show_trait?trait_id=1425238_at_A&dataset=LVF2_M_0704_R,mouse,B6BTBRF2,LVF2_M_0704_R,1425238_at_A,BC011413,"similar to ribosomal protein S20 (high expression in immune system, downstream of Anln); far 3' UTR (or short downstream gene BC011413)",far 3' UTR (or short downstream gene BC011413),N/A,9,22.330146,"1110037A17Rik, 2900037I21Rik, ANILLIN, Scraps, BC011413",68743,N/A,Mm.282751,-,11.05,221.0,22.330146,22.330616,10,10.23252,D10Mit123,17.6798202581106,0.004,8.6632,x,x,x,x,x,x,x,x,8.572,,8.701,,x,x,8.792,,8.571,,x,x,8.719,,x,x,x,x,8.59,,x,x,x,x,x,x,8.594,,8.863,,8.711,,x,x,x,x,8.692,,x,x,x,x,x,x,x,x,x,x,8.537,,x,x,x,x,8.833,,8.726,,x,x,8.702,,x,x,x,x,8.663,,8.6,,8.71,,x,x,8.709,,8.668,,8.603,,x,x,8.857,,8.659,,8.629,,x,x,x,x,x,x,x,x,8.672,,8.594,,8.676,,8.586,,x,x,x,x,x,x,x,x,x,x,8.599,,8.643,,8.624,,8.575,,8.665,,x,x,x,x,8.758,,x,x,8.744,,x,x,8.768,,8.704,,x,x,8.575,,x,x,8.533,,8.702,,8.702,,x,x,8.533,,8.775,,8.625,,8.551,,8.577,,x,x,8.621,,x,x,8.685,,x,x,8.539,,8.688,,x,x,8.719,,x,x,x,x,8.531,,x,x,8.614,,8.752,,8.738,,8.527,,x,x,8.647,,x,x,x,x,x,x,8.776,,8.745,,8.702,,8.626,,x,x,x,x
5,https://genenetwork.org/show_trait?trait_id=1435540_at_B&dataset=LVF2_M_0704_M,mouse,B6BTBRF2,LVF2_M_0704_M,1435540_at_B,Irgq1,"immunity-related GTPase family, Q1",,N/A,7,24.538075,FKSG27,210146,N/A,Mm.41108,+,12.35,247.0,24.538075,24.538506,8,4.976601,D8Mit155,7.9187453802131405,0.508,9.080933333333341,x,x,x,x,x,x,x,x,9.123,,8.829,,x,x,9.147,,9.294,,x,x,9.116,,x,x,x,x,8.775,,x,x,x,x,x,x,8.891,,8.801,,8.969,,x,x,x,x,9.014,,x,x,x,x,x,x,x,x,x,x,9.174,,x,x,x,x,8.947,,9.292,,x,x,9.072,,x,x,x,x,8.562,,9.443,,9.014,,x,x,9.336,,9.065,,9.032,,x,x,9.315,,8.669,,9.164,,x,x,x,x,x,x,x,x,8.977,,9.16,,9.275,,9.037,,x,x,x,x,x,x,x,x,x,x,9.245,,9.035,,8.932,,9.057,,9.269,,x,x,x,x,9.1,,x,x,8.822,,x,x,8.929,,8.976,,x,x,8.617,,x,x,8.56,,9.074,,9.31,,x,x,8.923,,8.91,,9.047,,9.341,,8.599,,x,x,9.07,,x,x,8.835,,x,x,9.145,,9.289,,x,x,9.441,,x,x,x,x,9.252,,x,x,9.631,,9.286,,9.752,,9.275,,x,x,9.369,,x,x,x,x,x,x,9.251,,9.159,,9.115,,8.747,,x,x,x,x
6,https://genenetwork.org/show_trait?trait_id=1437653_at_B&dataset=LVF2_M_0704_M,mouse,B6BTBRF2,LVF2_M_0704_M,1437653_at_B,Irgq1,"immunity-related GTPase family, Q1",,N/A,7,24.533537,FKSG27,210146,N/A,Mm.41108,+,9.8,196.0,24.533537,24.533995,4,150.70485,D4Mit190,10.312702141735999,0.172,6.8848,x,x,x,x,x,x,x,x,6.842,,6.978,,x,x,7.685,,6.884,,x,x,7.084,,x,x,x,x,6.43,,x,x,x,x,x,x,6.958,,6.403,,7.037,,x,x,x,x,7.474,,x,x,x,x,x,x,x,x,x,x,6.937,,x,x,x,x,7.192,,6.853,,x,x,7.02,,x,x,x,x,6.571,,6.511,,7.29,,x,x,6.95,,6.878,,7.11,,x,x,6.964,,6.909,,6.363,,x,x,x,x,x,x,x,x,6.913,,6.885,,7.034,,7.452,,x,x,x,x,x,x,x,x,x,x,6.596,,7.117,,6.322,,6.406,,7.133,,x,x,x,x,7.685,,x,x,6.317,,x,x,7.178,,7.119,,x,x,7.089,,x,x,7.09,,6.866,,7.372,,x,x,6.351,,6.774,,6.944,,6.52,,7.008,,x,x,7.366,,x,x,6.674,,x,x,6.487,,6.997,,x,x,6.523,,x,x,x,x,7.028,,x,x,6.579,,7.089,,6.672,,6.229,,x,x,7.114,,x,x,x,x,x,x,6.441,,7.208,,6.626,,6.561,,x,x,x,x
7,https://genenetwork.org/show_trait?trait_id=1435540_at_B&dataset=LVF2_M_0704_R,mouse,B6BTBRF2,LVF2_M_0704_R,1435540_at_B,Irgq1,"immunity-related GTPase family, Q1",,N/A,7,24.538075,FKSG27,210146,N/A,Mm.41108,+,12.35,247.0,24.538075,24.538506,1,170.413871,D1Mit205,14.7169623909598,0.016,8.417033333333329,x,x,x,x,x,x,x,x,8.529,,8.33,,x,x,8.473,,8.554,,x,x,8.323,,x,x,x,x,8.388,,x,x,x,x,x,x,8.349,,8.384,,8.316,,x,x,x,x,8.377,,x,x,x,x,x,x,x,x,x,x,8.5,,x,x,x,x,8.32,,8.458,,x,x,8.27,,x,x,x,x,8.341,,8.432,,8.392,,x,x,8.4,,8.273,,8.431,,x,x,8.662,,8.179,,8.509,,x,x,x,x,x,x,x,x,8.401,,8.356,,8.38,,8.493,,x,x,x,x,x,x,x,x,x,x,8.353,,8.219,,8.391,,8.402,,8.419,,x,x,x,x,8.266,,x,x,8.305,,x,x,8.455,,8.14,,x,x,7.872,,x,x,8.328,,8.256,,8.435,,x,x,8.418,,8.448,,8.432,,8.539,,8.276,,x,x,8.396,,x,x,8.453,,x,x,8.37,,8.6,,x,x,8.543,,x,x,x,x,8.587,,x,x,8.841,,8.636,,8.959,,8.716,,x,x,8.553,,x,x,x,x,x,x,8.439,,8.286,,8.36,,8.509,,x,x,x,x
8,https://genenetwork.org/show_trait?trait_id=1437653_at_B&dataset=LVF2_M_0704_R,mouse,B6BTBRF2,LVF2_M_0704_R,1437653_at_B,Irgq1,"immunity-related GTPase family, Q1",,N/A,7,24.533537,FKSG27,210146,N/A,Mm.41108,+,9.8,196.0,24.533537,24.533995,2,122.814162,D2Mit17,12.5551336629091,0.067,9.76343333333333,x,x,x,x,x,x,x,x,9.602,,9.894,,x,x,9.845,,9.604,,x,x,9.935,,x,x,x,x,9.847,,x,x,x,x,x,x,9.727,,9.727,,9.862,,x,x,x,x,9.956,,x,x,x,x,x,x,x,x,x,x,9.708,,x,x,x,x,9.61,,9.643,,x,x,9.623,,x,x,x,x,9.638,,9.799,,9.854,,x,x,9.738,,9.851,,9.695,,x,x,9.793,,9.525,,9.735,,x,x,x,x,x,x,x,x,9.822,,9.654,,9.721,,9.907,,x,x,x,x,x,x,x,x,x,x,9.69,,9.868,,9.718,,9.722,,9.919,,x,x,x,x,9.897,,x,x,9.718,,x,x,9.647,,9.834,,x,x,9.763,,x,x,9.794,,9.618,,9.715,,x,x,9.741,,9.788,,9.927,,9.751,,9.771,,x,x,9.825,,x,x,9.777,,x,x,9.829,,9.714,,x,x,9.785,,x,x,x,x,9.808,,x,x,9.867,,9.809,,9.762,,9.631,,x,x,9.867,,x,x,x,x,x,x,9.573,,9.788,,9.759,,9.816,,x,x,x,x
9,https://genenetwork.org/show_trait?trait_id=1415876_a_at_A&dataset=LVF2_M_0704_M,mouse,B6BTBRF2,LVF2_M_0704_M,1415876_a_at_A,Rps26,40S ribosomal protein S26 (type I diabetes); exons 1 and 2 (confirmed),exons 1 and 2 (confirmed),N/A,10,128.625266,Not available,27370,N/A,Mm.261679,-,1.01063829787234,190.0,128.625266,128.626218,18,24.953912,D18Mit34,6.853184863314211,0.583,13.4483,x,x,x,x,x,x,x,x,13.419,,13.283,,x,x,13.559,,13.571,,x,x,13.742,,x,x,x,x,13.181,,x,x,x,x,x,x,13.336,,13.366,,13.292,,x,x,x,x,13.629,,x,x,x,x,x,x,x,x,x,x,13.37,,x,x,x,x,13.548,,13.71,,x,x,13.735,,x,x,x,x,13.249,,13.433,,13.567,,x,x,13.567,,13.36,,13.236,,x,x,13.6,,13.417,,13.409,,x,x,x,x,x,x,x,x,13.259,,13.443,,13.647,,13.527,,x,x,x,x,x,x,x,x,x,x,13.211,,13.473,,13.463,,13.25,,13.573,,x,x,x,x,13.702,,x,x,13.42,,x,x,13.405,,13.608,,x,x,13.52,,x,x,13.418,,13.282,,13.626,,x,x,12.325,,13.215,,13.439,,13.331,,13.419,,x,x,13.546,,x,x,13.726,,x,x,13.45,,13.39,,x,x,13.647,,x,x,x,x,13.283,,x,x,13.799,,13.542,,13.824,,13.309,,x,x,13.532,,x,x,x,x,x,x,13.266,,13.353,,13.633,,13.463,,x,x,x,x
10,https://genenetwork.org/show_trait?trait_id=1415876_a_at_A&dataset=LVF2_M_0704_R,mouse,B6BTBRF2,LVF2_M_0704_R,1415876_a_at_A,Rps26,40S ribosomal protein S26 (type I diabetes); exons 1 and 2 (confirmed),exons 1 and 2 (confirmed),N/A,10,128.625266,Not available,27370,N/A,Mm.261679,-,1.01063829787234,190.0,128.625266,128.626218,18,24.953912,D18Mit34,7.70574576982395,0.506,12.689833333333299,x,x,x,x,x,x,x,x,12.692,,12.616,,x,x,12.829,,12.78,,x,x,12.877,,x,x,x,x,12.622,,x,x,x,x,x,x,12.642,,12.592,,12.634,,x,x,x,x,12.774,,x,x,x,x,x,x,x,x,x,x,12.641,,x,x,x,x,12.747,,12.862,,x,x,12.783,,x,x,x,x,12.569,,12.693,,12.797,,x,x,12.72,,12.695,,12.549,,x,x,12.809,,12.65,,12.702,,x,x,x,x,x,x,x,x,12.609,,12.697,,12.79,,12.786,,x,x,x,x,x,x,x,x,x,x,12.52,,12.748,,12.635,,12.577,,12.722,,x,x,x,x,12.844,,x,x,12.64,,x,x,12.648,,12.786,,x,x,12.723,,x,x,12.615,,12.608,,12.714,,x,x,12.243,,12.631,,12.666,,12.603,,12.628,,x,x,12.761,,x,x,12.852,,x,x,12.708,,12.652,,x,x,12.822,,x,x,x,x,12.56,,x,x,12.836,,12.698,,12.89,,12.577,,x,x,12.663,,x,x,x,x,x,x,12.627,,12.63,,12.757,,12.649,,x,x,x,x
