"Export Date: December 11, 2024"
Export Time: 12:36 GMT
Exported Row Number: 10000
"Funding for The GeneNetwork: NIGMS (R01 GM123489, 2017-2026), NIDA (P30 DA044223, 2017-2022), NIA (R01AG043930, 2013-2018), NIAAA (U01 AA016662, U01 AA013499, U24 AA013513, U01 AA014425, 2006-2017), NIDA/NIMH/NIAAA (P20-DA 21131, 2001-2012), NCI MMHCC (U01CA105417), NCRR/BIRN (U24 RR021760)"

Index,URL,Species,Group,Dataset,Record ID,Symbol,Description,ProbeTarget,PubMed_ID,Chr,Mb,Alias,Gene_ID,Homologene_ID,UniGene_ID,Strand_Probe,Probe_set_specificity,Probe_set_BLAT_score,Probe_set_BLAT_Mb_start,Probe_set_BLAT_Mb_end,QTL_Chr,QTL_Mb,Locus_at_Peak,Max_LRS,P_value_of_MAX,Mean_Expression,OrX2B3,OrX2B3_SE,OrX2B5,OrX2B5_SE,OrX2B6,OrX2B6_SE,OrX2B9,OrX2B9_SE,OrX2B10,OrX2B10_SE,OrX2B11,OrX2B11_SE,OrX2B12,OrX2B12_SE,OrX2B13,OrX2B13_SE,OrX2B14,OrX2B14_SE,OrX2B15,OrX2B15_SE,OrX2B17,OrX2B17_SE,OrX2B19,OrX2B19_SE,OrX2B22,OrX2B22_SE,OrX2B27,OrX2B27_SE,OrX2B28,OrX2B28_SE,OrX2B29,OrX2B29_SE,OrX2B31,OrX2B31_SE,OrX2B34,OrX2B34_SE,OrX2B35,OrX2B35_SE,OrX2B36,OrX2B36_SE,OrX2B37,OrX2B37_SE,OrX2B38,OrX2B38_SE,OrX2B40,OrX2B40_SE,OrX2B42,OrX2B42_SE,OrX2B43,OrX2B43_SE,OrX2B44,OrX2B44_SE,OrX2B45,OrX2B45_SE,OrX2B46,OrX2B46_SE,OrX2B47,OrX2B47_SE,OrX2B48,OrX2B48_SE,OrX2B50,OrX2B50_SE,OrX2B51,OrX2B51_SE,OrX2B52,OrX2B52_SE,OrX2B54,OrX2B54_SE,OrX2B56,OrX2B56_SE,OrX2B58,OrX2B58_SE,OrX2B67,OrX2B67_SE,OrX2B68,OrX2B68_SE,OrX2B70,OrX2B70_SE,OrX2B73,OrX2B73_SE,OrX2B75,OrX2B75_SE,OrX2B76,OrX2B76_SE,OrX2B77,OrX2B77_SE,OrX2B78,OrX2B78_SE,OrX2B79,OrX2B79_SE,OrX2B80,OrX2B80_SE,OrX2B81,OrX2B81_SE,OrX2B84,OrX2B84_SE,OrX2B85,OrX2B85_SE,OrX2B86,OrX2B86_SE,OrX2B87,OrX2B87_SE,OrX2B88,OrX2B88_SE,OrX2B89,OrX2B89_SE,OrX2B93,OrX2B93_SE,OrX2B97,OrX2B97_SE,OrX2B99,OrX2B99_SE,OrX2B100,OrX2B100_SE,OrX2B202,OrX2B202_SE,OrX2B203,OrX2B203_SE,OrX2B205,OrX2B205_SE,OrX2B206,OrX2B206_SE,OrX2B207,OrX2B207_SE,OrX2B210,OrX2B210_SE,OrX2B211,OrX2B211_SE,OrX2B212,OrX2B212_SE,OrX2B213,OrX2B213_SE,OrX2B215,OrX2B215_SE,OrX2B216,OrX2B216_SE,OrX2B218,OrX2B218_SE,OrX2B221,OrX2B221_SE,OrX2B222,OrX2B222_SE,OrX2B223,OrX2B223_SE,OrX2B224,OrX2B224_SE,OrX2B226,OrX2B226_SE,OrX2B227,OrX2B227_SE
1,https://genenetwork.org/show_trait?trait_id=1633391_at&dataset=UAB_DrosWB_LC_RMA_1009,drosophila,Oregon-R_x_2b3,UAB_DrosWB_LC_RMA_1009,1633391_at,Irc,Immune-regulated catalase; intron 7,intron 7,N/A,3R,12.831987,"CG8913, DmelCG8913, IRC",42049,N/A,,+,17.11,325.0,12.831987,12.832869,,,Marker1,,,10.555534219088619,10.233,,10.467,,10.431,,10.167,,10.29,,11.113,,10.242,,10.543,,10.389,,10.602,,10.308,,10.85,,10.63,,10.73,,10.877,,10.889,,10.606,,x,x,10.777,,10.348,,10.853,,10.51,,10.044,,11.058,,11.51,,10.935,,10.256,,10.315,,10.24,,10.706,,10.427,,10.135,,10.429,,10.061,,10.096,,11.286,,9.87,,9.72,,10.029,,10.306,,10.41,,10.626,,10.145,,10.393,,10.47,,10.261,,10.943,,10.437,,11.718,,10.599,,10.662,,10.705,,10.582,,10.442,,10.831,,11.171,,10.819,,10.398,,10.218,,10.331,,10.879,,11.218,,10.405,,x,x,9.962,,11.162,,11.201,,10.966,,9.657,,10.134,,10.754,,10.277,,10.81,,11.273,,10.417,
2,https://genenetwork.org/show_trait?trait_id=1633391_at&dataset=UAB_DrosWB_LE_RMA_1009,drosophila,Oregon-R_x_2b3,UAB_DrosWB_LE_RMA_1009,1633391_at,Irc,Immune-regulated catalase; intron 7,intron 7,N/A,3R,12.831987,"CG8913, DmelCG8913, IRC",42049,N/A,,+,17.11,325.0,12.831987,12.832869,,,Marker1,,,10.727756783768937,11.323,,10.993,,10.922,,10.697,,10.582,,10.924,,10.765,,11.428,,10.826,,11.102,,10.557,,11.068,,10.689,,10.915,,10.935,,11.005,,11.234,,11.027,,11.014,,10.507,,10.902,,11.246,,10.33,,11.512,,11.03,,10.82,,x,x,10.964,,10.564,,11.283,,11.334,,10.792,,10.179,,11.284,,10.149,,10.692,,11.428,,10.875,,10.75,,11.028,,11.086,,10.988,,10.536,,10.494,,10.816,,10.939,,10.508,,10.259,,10.6,,10.376,,9.579,,10.891,,10.844,,10.368,,10.332,,10.394,,10.561,,10.773,,10.165,,10.216,,10.774,,10.69,,10.124,,10.811,,10.056,,10.589,,10.695,,10.373,,10.56,,10.446,,10.376,,10.259,,10.459,,10.738,,10.504,
3,https://genenetwork.org/show_trait?trait_id=1633246_s_at&dataset=UAB_DrosWB_LC_RMA_1009,drosophila,Oregon-R_x_2b3,UAB_DrosWB_LC_RMA_1009,1633246_s_at,Dif,Dorsal-related immunity factor; exon 2,exon 2,N/A,2L,17.412948,"CG6794, DIF, DmelCG6794",35045,N/A,,-,13.0,286.0,17.412948,17.413543,,,Marker1,,,6.945616434698236,6.983,,6.709,,6.93,,6.702,,6.958,,7.037,,6.982,,6.835,,6.948,,6.874,,7.137,,7.003,,7.171,,6.923,,7.115,,7.015,,6.913,,x,x,7.09,,6.879,,7.056,,7.062,,6.791,,6.958,,7.062,,7.059,,6.778,,6.975,,6.879,,7.105,,6.926,,6.984,,7.087,,6.994,,6.863,,7.202,,6.651,,6.88,,6.756,,6.939,,6.966,,6.928,,6.882,,7.101,,6.875,,6.99,,7.191,,6.994,,6.976,,7.005,,6.902,,7.044,,6.972,,6.936,,6.932,,6.739,,7.03,,6.895,,6.865,,7.148,,6.943,,6.728,,7.036,,x,x,6.9,,6.762,,6.886,,6.907,,6.913,,7.226,,6.738,,6.855,,6.921,,6.825,,6.808,
4,https://genenetwork.org/show_trait?trait_id=1633246_s_at&dataset=UAB_DrosWB_LE_RMA_1009,drosophila,Oregon-R_x_2b3,UAB_DrosWB_LE_RMA_1009,1633246_s_at,Dif,Dorsal-related immunity factor; exon 2,exon 2,N/A,2L,17.412948,"CG6794, DIF, DmelCG6794",35045,N/A,,-,13.0,286.0,17.412948,17.413543,,,Marker1,,,7.100337814640355,6.922,,7.031,,7.391,,7.164,,7.093,,7.166,,7.149,,7.116,,6.981,,7.121,,7.222,,7.21,,7.266,,6.973,,6.975,,7.069,,7.192,,7.097,,6.983,,7.161,,7.222,,7.112,,7.148,,7.003,,7.048,,7.175,,x,x,7.054,,7.137,,7.197,,7.162,,6.993,,7.104,,7.153,,6.969,,7.223,,7.031,,7.363,,7.128,,7.174,,7.064,,7.104,,7.203,,6.98,,7.368,,7.142,,7.034,,7.063,,6.886,,7.114,,7.111,,6.842,,7.128,,7.245,,7.036,,7.048,,7.095,,7.409,,7.144,,6.987,,7.098,,7.073,,7.089,,6.984,,7.081,,6.975,,7.009,,7.143,,6.988,,7.057,,6.947,,6.957,,7.105,,7.264,,6.974,
5,https://genenetwork.org/show_trait?trait_id=1629530_at&dataset=UAB_DrosWB_LC_RMA_1009,drosophila,Oregon-R_x_2b3,UAB_DrosWB_LC_RMA_1009,1629530_at,IM23,Immune induced molecule 23; exon 1,exon 1,N/A,2R,14.270307,"BcDNA:RH67033, CG15066, DIM, 23, DmelCG15066",37099,N/A,,-,3.32,216.0,14.270307,14.270737,,,Marker1,,,8.010164398036592,7.6,,7.513,,7.279,,6.277,,8.475,,9.687,,7.032,,7.915,,7.399,,7.601,,6.411,,7.484,,7.114,,8.254,,7.637,,8.408,,8.792,,x,x,7.485,,9.097,,7.494,,8.361,,8.139,,7.353,,8.8,,8.249,,7.917,,7.24,,7.851,,9.057,,8.356,,5.761,,8.087,,8.428,,6.688,,10.178,,6.387,,6.144,,6.452,,7.714,,8.099,,8.575,,8.188,,9.274,,9.165,,6.698,,7.218,,8.912,,7.44,,8.119,,6.672,,8.095,,9.278,,9.267,,8.707,,6.34,,8.975,,8.582,,7.925,,7.484,,8.887,,6.96,,8.262,,x,x,8.414,,9.345,,8.936,,8.745,,8.722,,8.726,,9.818,,7.242,,8.781,,8.865,,7.91,
6,https://genenetwork.org/show_trait?trait_id=1637332_at&dataset=UAB_DrosWB_LC_RMA_1009,drosophila,Oregon-R_x_2b3,UAB_DrosWB_LC_RMA_1009,1637332_at,imd,immune deficiency; 3' UTR,3' UTR,N/A,2R,14.297444,"BG5, CG5576, DmelCG5576, IMD, anon-WO0172774.166, shadok",44339,N/A,,-,2.6,200.0,14.297444,14.297793,,,Marker1,,,7.598452065088978,7.6,,7.404,,7.464,,6.981,,7.41,,7.706,,7.409,,7.672,,7.497,,7.673,,7.21,,7.756,,7.75,,7.716,,7.579,,7.831,,7.675,,x,x,7.762,,7.55,,7.816,,7.401,,7.369,,7.835,,7.657,,8.063,,7.588,,7.564,,7.659,,7.392,,7.363,,7.473,,7.361,,7.678,,7.432,,8.057,,7.221,,7.125,,7.284,,7.608,,7.825,,7.656,,6.959,,6.964,,7.383,,7.46,,7.673,,7.761,,7.559,,7.885,,7.354,,7.472,,7.645,,7.623,,7.955,,7.889,,8.081,,7.432,,7.461,,7.499,,7.713,,7.947,,7.824,,x,x,7.586,,7.85,,8.053,,7.922,,7.486,,7.26,,7.711,,7.453,,8.032,,8.207,,7.516,
7,https://genenetwork.org/show_trait?trait_id=1629530_at&dataset=UAB_DrosWB_LE_RMA_1009,drosophila,Oregon-R_x_2b3,UAB_DrosWB_LE_RMA_1009,1629530_at,IM23,Immune induced molecule 23; exon 1,exon 1,N/A,2R,14.270307,"BcDNA:RH67033, CG15066, DIM, 23, DmelCG15066",37099,N/A,,-,3.32,216.0,14.270307,14.270737,,,Marker1,,,7.879783772133492,8.865,,7.411,,7.07,,6.488,,9.116,,8.262,,8.208,,10.324,,7.762,,7.942,,6.687,,8.369,,7.489,,8.046,,7.732,,7.071,,10.082,,8.902,,8.276,,8.21,,6.731,,9.44,,8.035,,8.627,,7.953,,7.19,,x,x,8.117,,8.415,,10.249,,9.688,,5.892,,6.15,,9.236,,6.267,,9.476,,7.536,,7.314,,6.518,,7.413,,7.842,,9.007,,7.526,,8.066,,8.165,,7.566,,7.64,,7.684,,6.511,,7.275,,7.195,,6.71,,8.061,,8.456,,7.871,,6.993,,8.326,,8.438,,7.937,,7.188,,8.438,,6.925,,8.142,,6.715,,8.575,,7.375,,7.733,,7.71,,8.431,,8.144,,7.997,,6.112,,8.174,,7.622,,7.995,
8,https://genenetwork.org/show_trait?trait_id=1637332_at&dataset=UAB_DrosWB_LE_RMA_1009,drosophila,Oregon-R_x_2b3,UAB_DrosWB_LE_RMA_1009,1637332_at,imd,immune deficiency; 3' UTR,3' UTR,N/A,2R,14.297444,"BG5, CG5576, DmelCG5576, IMD, anon-WO0172774.166, shadok",44339,N/A,,-,2.6,200.0,14.297444,14.297793,,,Marker1,,,7.780108097437266,8.156,,7.852,,7.854,,7.994,,7.999,,7.956,,7.896,,7.809,,7.541,,8.091,,7.591,,7.839,,7.888,,7.964,,7.804,,7.928,,8.249,,7.788,,7.957,,7.856,,8.028,,8.172,,8.04,,8.194,,7.996,,7.932,,x,x,8.066,,7.825,,8.088,,7.86,,7.337,,7.84,,8.08,,7.422,,7.967,,7.926,,7.891,,7.613,,7.96,,7.743,,8.014,,7.473,,7.954,,7.605,,7.368,,7.717,,7.462,,7.304,,7.549,,7.519,,7.8,,7.439,,7.626,,7.578,,7.387,,7.677,,8.061,,7.833,,7.213,,7.932,,7.698,,7.667,,7.577,,7.488,,7.77,,7.91,,7.457,,7.801,,7.779,,7.69,,7.359,,7.823,,7.595,,7.611,
9,https://genenetwork.org/show_trait?trait_id=1626345_at&dataset=UAB_DrosWB_LC_RMA_1009,drosophila,Oregon-R_x_2b3,UAB_DrosWB_LC_RMA_1009,1626345_at,IM4,Immune induced molecule 4; 3' UTR,3' UTR,N/A,2R,16.756364,"BcDNA:RH25931, CG15231, DIM-4, DIM4, DmelCG15231",50126,N/A,,-,2.34,164.0,16.756364,16.756826,,,Marker1,,,11.086452053017812,10.482,,11.603,,11.422,,9.68,,11.618,,10.648,,8.962,,9.761,,9.559,,10.458,,11.385,,11.373,,11.673,,11.478,,11.299,,10.06,,11.491,,x,x,10.782,,10.256,,11.788,,10.666,,9.86,,12.058,,12.009,,12.414,,9.926,,10.59,,10.712,,11.958,,11.86,,10.919,,11.718,,11.223,,11.212,,12.566,,11.237,,10.789,,10.778,,11.386,,12.048,,10.379,,11.989,,10.347,,11.544,,11.585,,11.863,,9.991,,12.24,,11.383,,11.289,,11.981,,10.692,,10.642,,11.68,,11.573,,10.795,,11.12,,9.853,,11.892,,11.85,,12.117,,11.09,,x,x,9.757,,10.688,,10.329,,11.022,,9.527,,10.015,,11.989,,11.329,,12.146,,11.999,,10.908,
10,https://genenetwork.org/show_trait?trait_id=1631650_a_at&dataset=UAB_DrosWB_LC_RMA_1009,drosophila,Oregon-R_x_2b3,UAB_DrosWB_LC_RMA_1009,1631650_a_at,spirit,Serine Protease Immune Response Integrator; 3' UTR,3' UTR,N/A,X,8.465168,"CG2056, DmelCG2056, SP33, c-SP33",31797,N/A,,-,16.18,275.0,8.465168,8.465701,,,Marker1,,,7.284287681318309,7.229,,7.47,,7.315,,7.026,,7.703,,7.861,,7.292,,7.242,,7.016,,7.139,,7.143,,7.333,,7.44,,7.101,,7.23,,7.225,,7.391,,x,x,7.267,,7.144,,7.573,,7.196,,7.274,,7.332,,7.209,,7.341,,7.343,,7.374,,7.163,,6.894,,7.517,,7.285,,7.382,,7.395,,7.19,,7.354,,7.095,,6.91,,7.103,,7.173,,7.389,,7.046,,7.583,,7.118,,7.268,,7.255,,7.311,,7.252,,7.668,,7.533,,7.339,,7.24,,7.232,,7.057,,7.112,,7.42,,7.393,,7.164,,7.184,,7.302,,7.422,,7.298,,7.266,,x,x,7.122,,7.361,,7.407,,7.355,,7.264,,7.132,,7.288,,7.182,,7.573,,7.462,,7.085,
