"Export Date: December 11, 2024"
Export Time: 12:36 GMT
Exported Row Number: 10000
"Funding for The GeneNetwork: NIGMS (R01 GM123489, 2017-2026), NIDA (P30 DA044223, 2017-2022), NIA (R01AG043930, 2013-2018), NIAAA (U01 AA016662, U01 AA013499, U24 AA013513, U01 AA014425, 2006-2017), NIDA/NIMH/NIAAA (P20-DA 21131, 2001-2012), NCI MMHCC (U01CA105417), NCRR/BIRN (U24 RR021760)"

Index,URL,Species,Group,Dataset,Record ID,Symbol,Description,ProbeTarget,PubMed_ID,Chr,Mb,Alias,Gene_ID,Homologene_ID,UniGene_ID,Strand_Probe,Probe_set_specificity,Probe_set_BLAT_score,Probe_set_BLAT_Mb_start,Probe_set_BLAT_Mb_end,QTL_Chr,QTL_Mb,Locus_at_Peak,Max_LRS,P_value_of_MAX,Mean_Expression,ISS,ISS_SE,ILS,ILS_SE,LSF1,LSF1_SE,SLF1,SLF1_SE,LXS2,LXS2_SE,LXS3,LXS3_SE,LXS5,LXS5_SE,LXS7,LXS7_SE,LXS8,LXS8_SE,LXS9,LXS9_SE,LXS10,LXS10_SE,LXS13,LXS13_SE,LXS14,LXS14_SE,LXS16,LXS16_SE,LXS19,LXS19_SE,LXS22,LXS22_SE,LXS23,LXS23_SE,LXS24,LXS24_SE,LXS25,LXS25_SE,LXS26,LXS26_SE,LXS28,LXS28_SE,LXS31,LXS31_SE,LXS32,LXS32_SE,LXS34,LXS34_SE,LXS35,LXS35_SE,LXS36,LXS36_SE,LXS38,LXS38_SE,LXS39,LXS39_SE,LXS41,LXS41_SE,LXS42,LXS42_SE,LXS43,LXS43_SE,LXS46,LXS46_SE,LXS48,LXS48_SE,LXS49,LXS49_SE,LXS50,LXS50_SE,LXS51,LXS51_SE,LXS52,LXS52_SE,LXS54,LXS54_SE,LXS55,LXS55_SE,LXS56,LXS56_SE,LXS59,LXS59_SE,LXS60,LXS60_SE,LXS61,LXS61_SE,LXS62,LXS62_SE,LXS64,LXS64_SE,LXS66,LXS66_SE,LXS68,LXS68_SE,LXS70,LXS70_SE,LXS72,LXS72_SE,LXS73,LXS73_SE,LXS75,LXS75_SE,LXS76,LXS76_SE,LXS78,LXS78_SE,LXS79,LXS79_SE,LXS80,LXS80_SE,LXS84,LXS84_SE,LXS86,LXS86_SE,LXS87,LXS87_SE,LXS88,LXS88_SE,LXS89,LXS89_SE,LXS90,LXS90_SE,LXS92,LXS92_SE,LXS93,LXS93_SE,LXS94,LXS94_SE,LXS96,LXS96_SE,LXS97,LXS97_SE,LXS98,LXS98_SE,LXS99,LXS99_SE,LXS100,LXS100_SE,LXS101,LXS101_SE,LXS102,LXS102_SE,LXS103,LXS103_SE,LXS107,LXS107_SE,LXS110,LXS110_SE,LXS112,LXS112_SE,LXS114,LXS114_SE,LXS115,LXS115_SE,LXS117,LXS117_SE,LXS122,LXS122_SE,LXS123,LXS123_SE,LXS124,LXS124_SE
1,https://genenetwork.org/show_trait?trait_id=1425238_at&dataset=VCUSal_0806_R,mouse,LXS,VCUSal_0806_R,1425238_at,BC011413,"similar to ribosomal protein S20 (high expression in immune system, downstream of Anln); far 3' UTR (or short downstream gene BC011413)",far 3' UTR (or short downstream gene BC011413),N/A,9,22.330146,"1110037A17Rik, 2900037I21Rik, ANILLIN, Scraps, BC011413",68743,N/A,Mm.282751,-,6.161290323,191.0,22.330146,22.330586,X,96.259399,rs13483902,10.8222334640068,0.465,6.631712741452381,x,x,x,x,x,x,x,x,6.97062,,6.57398,,6.6798,,6.8184,,6.64137,,x,x,7.045,,6.65158,,6.76145,,x,x,6.7017,,7.05369,,6.64875,,6.31578,,x,x,6.50438,,x,x,6.51201,,x,x,6.68108,,x,x,6.66024,,x,x,x,x,6.55417,,x,x,x,x,x,x,6.51698,,x,x,x,x,x,x,x,x,6.81648,,6.53635,,6.7508,,x,x,x,x,x,x,x,x,6.76663,,x,x,6.65569,,x,x,6.63748,,6.62324,,x,x,6.42547,,6.47394,,7.02606,,x,x,x,x,x,x,6.56777,,6.53639,,6.58205,,6.51277,,x,x,6.52754,,6.69405,,6.66044,,6.42292,,x,x,x,x,6.40805,,x,x,x,x,x,x,x,x,x,x,6.66719,,6.39601,,6.61349,,x,x,6.59303,,6.3471,,x,x
2,https://genenetwork.org/show_trait?trait_id=1425238_at&dataset=VCUEtOH_0806_R,mouse,LXS,VCUEtOH_0806_R,1425238_at,BC011413,"similar to ribosomal protein S20 (high expression in immune system, downstream of Anln); far 3' UTR (or short downstream gene BC011413)",far 3' UTR (or short downstream gene BC011413),N/A,9,22.330146,"1110037A17Rik, 2900037I21Rik, ANILLIN, Scraps, BC011413",68743,N/A,Mm.282751,-,6.161290323,191.0,22.330146,22.330586,2,69.085303,rs8263587,10.959493816373701,0.41,6.59066713293182,x,x,x,x,x,x,x,x,6.59647,,6.34933,,6.68973,,6.43003,,6.5949,,x,x,6.60189,,6.52544,,6.63106,,x,x,6.55251,,6.6174,,6.59994,,6.68668,,x,x,6.5211,,x,x,6.60508,,x,x,6.60353,,x,x,6.49613,,6.54295,,x,x,6.50276,,x,x,x,x,x,x,6.57882,,x,x,x,x,x,x,x,x,6.79194,,6.45731,,6.73327,,x,x,6.84509,,x,x,x,x,6.44159,,x,x,6.70063,,x,x,6.5794,,6.50253,,x,x,6.42923,,6.53715,,6.587,,x,x,x,x,x,x,6.43554,,6.61131,,6.47794,,6.55066,,x,x,6.82736,,6.59971,,6.65462,,6.76453,,x,x,x,x,6.58177,,x,x,x,x,x,x,x,x,x,x,6.37916,,6.53098,,6.94411,,x,x,6.56601,,6.73477,,x,x
3,https://genenetwork.org/show_trait?trait_id=1425238_at&dataset=VCUEt_vs_Sal_0806_R,mouse,LXS,VCUEt_vs_Sal_0806_R,1425238_at,BC011413,"similar to ribosomal protein S20 (high expression in immune system, downstream of Anln); far 3' UTR (or short downstream gene BC011413)",far 3' UTR (or short downstream gene BC011413),N/A,9,22.330146,"1110037A17Rik, 2900037I21Rik, ANILLIN, Scraps, BC011413",68743,N/A,Mm.282751,-,6.161290323,191.0,22.330146,22.330586,7,138.168666,D7Mit71,11.4550053127919,0.42,-0.120909302325581,x,x,x,x,x,x,x,x,-1.4092,,-0.9189,,0.2428,,-2.6981,,-0.5994,,x,x,-0.6494,,-1.1529,,-0.2423,,x,x,-1.1061,,-0.962,,0.8653,,0.9591,,x,x,-1.0713,,x,x,0.8671,,x,x,-0.8837,,x,x,-1.1645,,0.5692,,x,x,0.7997,,x,x,x,x,x,x,-0.1718,,x,x,x,x,x,x,x,x,0.5872,,0.834,,0.857,,x,x,x,x,x,x,x,x,-1.7107,,x,x,-0.2288,,x,x,-0.1674,,0.5226,,x,x,0.0483,,0.9091,,-1.7594,,x,x,x,x,x,x,0.3578,,0.4864,,-1.0764,,0.9055,,x,x,1.0896,,-0.2703,,0.2559,,1.726,,x,x,x,x,1.0752,,x,x,x,x,x,x,x,x,x,x,-2.052,,-0.4431,,0.254,,x,x,0.262,,1.0648,,x,x
4,https://genenetwork.org/show_trait?trait_id=ILM102100095&dataset=Hipp_Illumina_RankInv_0507,mouse,LXS,Hipp_Illumina_RankInv_0507,ILM102100095,LOC383301,similar to gut antigen protein; putative intergenic,putative intergenic,N/A,18,21.306473,Not available,383301,N/A,,-,1.0,50.0,21.306473,21.306523,17,42.50219,rs13482990,9.37857868383603,0.684,7.0775569620253105,7.153,0.126,7.053,0.1,6.996,,7.023,,7.026,0.15,7.04,0.018,6.977,0.25,7.053,0.065,7.101,0.205,7.002,0.088,7.123,0.039,7.056,0.105,7.102,0.015,7.02,0.081,7.026,0.094,7.304,0.539,6.984,0.021,6.927,0.059,7.036,0.037,6.948,0.225,7.02,0.021,7.22,0.04,7.174,0.068,7.085,0.0,7.21,0.252,7.166,0.031,7.05,0.02,7.4,0.02,6.99,0.054,7.111,0.231,7.138,0.116,6.959,0.115,7.08,0.052,7.074,0.01,7.251,0.115,7.023,0.04,7.052,0.064,7.22,0.276,7.065,0.144,7.016,0.077,7.045,0.222,7.018,0.158,x,x,7.114,0.186,7.146,0.45,7.077,0.091,6.999,0.102,7.14,0.062,7.114,0.07,7.127,0.093,6.909,0.006,7.008,0.037,7.217,0.045,x,x,7.114,0.073,7.104,0.174,7.03,0.021,7.122,0.141,7.118,0.069,7.079,0.057,7.005,0.064,6.978,0.037,7.083,0.157,7.081,0.095,7.2,0.151,7.018,0.17,6.927,0.226,7.099,0.058,7.028,0.206,7.004,0.017,7.013,0.303,7.008,0.052,7.009,0.054,7.061,0.122,7.022,0.072,7.24,0.338,7.162,0.354,6.911,0.129,7.29,0.107,7.179,0.01,7.074,0.035
5,https://genenetwork.org/show_trait?trait_id=ILM102100095&dataset=Illum_LXS_Hipp_RSS_1008,mouse,LXS,Illum_LXS_Hipp_RSS_1008,ILM102100095,LOC383301,similar to gut antigen protein; putative intergenic,putative intergenic,N/A,18,21.306473,Not available,383301,N/A,,-,1.0,50.0,21.306473,21.306523,19,56.422638,rs3686750,9.63017841498825,0.83,6.822000000000001,6.877,0.102,6.804,0.022,x,x,x,x,x,x,6.805,0.11,x,x,6.856,0.01,x,x,x,x,x,x,x,x,6.772,0.012,6.822,,6.81,0.016,x,x,6.896,0.098,x,x,6.847,0.023,6.791,0.03,x,x,x,x,6.857,0.098,x,x,x,x,6.773,0.102,x,x,6.777,0.09,x,x,6.83,0.042,6.826,,6.839,0.011,x,x,x,x,6.812,0.031,6.828,0.113,x,x,6.826,0.052,x,x,x,x,x,x,x,x,x,x,x,x,x,x,6.706,0.042,x,x,x,x,x,x,x,x,x,x,x,x,6.912,0.039,x,x,6.847,0.034,x,x,x,x,x,x,6.701,,x,x,6.823,0.099,6.846,0.021,x,x,x,x,x,x,6.91,0.04,6.858,0.006,6.864,0.017,6.799,0.019,x,x,x,x,6.836,0.035,x,x,6.83,0.022,x,x,x,x,x,x,x,x,6.741,,6.805,0.015,x,x
6,https://genenetwork.org/show_trait?trait_id=ILM102100095&dataset=Illum_LXS_Hipp_RSE_1008,mouse,LXS,Illum_LXS_Hipp_RSE_1008,ILM102100095,LOC383301,similar to gut antigen protein; putative intergenic,putative intergenic,N/A,18,21.306473,Not available,383301,N/A,,-,1.0,50.0,21.306473,21.306523,7,60.704375,gnf07.047.821,12.7440786912555,0.137,6.824242424242424,6.876,0.022,6.704,0.03,x,x,x,x,x,x,6.785,0.028,x,x,6.768,0.079,x,x,x,x,x,x,x,x,6.827,0.001,6.861,0.069,6.772,0.058,x,x,6.923,0.019,x,x,6.753,0.003,6.813,0.108,x,x,x,x,7.026,0.064,x,x,x,x,6.778,0.125,x,x,6.793,0.08,x,x,6.874,0.011,6.767,,6.857,0.035,x,x,x,x,6.909,,6.832,0.105,x,x,6.756,0.0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,6.846,0.024,x,x,x,x,x,x,x,x,x,x,x,x,6.764,0.135,x,x,6.841,0.08,x,x,x,x,x,x,6.814,0.021,x,x,6.787,0.052,6.85,0.046,x,x,x,x,x,x,6.879,0.042,6.823,0.071,6.848,0.042,6.855,0.079,x,x,x,x,6.757,,x,x,6.793,0.023,x,x,x,x,x,x,x,x,6.844,0.091,6.825,0.079,x,x
7,https://genenetwork.org/show_trait?trait_id=ILM102100095&dataset=Illum_LXS_Hipp_NON_1008,mouse,LXS,Illum_LXS_Hipp_NON_1008,ILM102100095,LOC383301,similar to gut antigen protein; putative intergenic,putative intergenic,N/A,18,21.306473,Not available,383301,N/A,,-,1.0,50.0,21.306473,21.306523,X,91.583743,rs13483885,12.792738005937,0.198,7.038878787878787,7.128,0.173,6.992,0.132,x,x,x,x,x,x,6.969,0.023,x,x,6.979,0.089,x,x,x,x,x,x,x,x,7.055,0.016,6.942,0.106,6.944,0.131,x,x,6.884,0.028,x,x,6.966,0.052,6.835,0.324,x,x,x,x,7.153,0.072,x,x,x,x,7.146,0.037,x,x,7.49,0.028,x,x,7.076,0.302,7.098,0.148,6.858,0.144,x,x,x,x,7.25,0.149,6.951,0.069,x,x,7.218,0.382,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7.023,0.117,x,x,x,x,x,x,x,x,x,x,x,x,7.2,0.062,x,x,7.069,0.098,x,x,x,x,x,x,7.073,0.078,x,x,6.925,0.059,6.891,0.042,x,x,x,x,x,x,6.952,0.276,6.818,0.303,7.051,0.074,6.94,0.296,x,x,x,x,6.937,0.061,x,x,6.998,0.172,x,x,x,x,x,x,x,x,7.308,0.141,7.164,0.007,x,x
8,https://genenetwork.org/show_trait?trait_id=ILM102100095&dataset=Illum_LXS_Hipp_quant0807,mouse,LXS,Illum_LXS_Hipp_quant0807,ILM102100095,LOC383301,similar to gut antigen protein; putative intergenic,putative intergenic,N/A,18,21.306473,Not available,383301,N/A,,-,1.0,50.0,21.306473,21.306523,X,93.378514,gnfX.080.189,11.3647689703418,0.219,7.133655189873419,7.14648,0.0105545,7.13195,0.00808277,7.11015,0.0,7.11792,0.0,7.12501,0.00876812,7.12096,0.00633568,7.12702,0.0178403,7.12635,0.00665387,7.13483,0.0189328,7.12021,0.00733977,7.13962,0.00168645,7.12818,0.0101788,7.13919,7.07107e-06,7.11866,0.00537048,7.12232,0.0103874,7.23972,0.0902304,7.11201,0.00164756,7.10732,0.00316077,7.12414,0.00341533,7.11461,0.0162988,7.10613,0.00490732,7.16559,0.000152028,7.16381,0.0163872,7.13393,0.00304056,7.16317,0.0313885,7.14469,0.00529269,7.12151,0.00247134,7.178,0.00363453,7.11324,0.00208597,7.12719,0.0198202,7.15169,0.01562,7.11516,0.00564271,7.12499,0.00869741,7.13154,0.00132936,7.16138,0.0108081,7.12107,0.00222032,7.12606,0.00313602,7.16489,0.03229,7.12721,0.0137744,7.12397,0.00854185,7.12829,0.0159841,7.125,0.0102919,x,x,7.1369,0.0142517,7.16395,0.0472772,7.13102,0.00518663,7.1192,0.00759433,7.13539,0.00317137,7.14161,0.00903682,7.14423,0.00826608,7.09936,0.00270468,7.11068,0.00754483,7.16864,0.00732916,x,x,7.14266,0.00881762,7.13417,0.0155175,7.12106,0.000494975,7.13582,0.0116107,7.14415,0.00501692,7.1332,0.00644528,7.11956,0.0017713,7.11629,0.00261276,7.1274,0.0131557,7.13403,0.00908986,7.15903,0.017911,7.1197,0.0136012,7.11434,0.0162564,7.13611,0.00228395,7.12553,0.019898,7.11892,0.00155563,7.12146,0.0193076,7.1167,0.00271529,7.12106,0.00159806,7.12432,0.00844639,7.11783,0.000173241,7.16243,0.0308652,7.16925,0.0422037,7.10743,0.00502399,7.17997,0.01463,7.15257,0.00559675,7.12763,0.00728674
9,https://genenetwork.org/show_trait?trait_id=ILM102100095&dataset=Illum_LXS_Hipp_loess_nb0807,mouse,LXS,Illum_LXS_Hipp_loess_nb0807,ILM102100095,LOC383301,similar to gut antigen protein; putative intergenic,putative intergenic,N/A,18,21.306473,Not available,383301,N/A,,-,1.0,50.0,21.306473,21.306523,X,93.378514,gnfX.080.189,8.96242132016838,0.78,7.05174189873418,7.12684,0.0547216,7.0581,0.0407348,6.88685,0.0,6.93648,0.0,7.02775,0.0546594,6.95801,0.0532982,7.02595,0.0862281,7.02332,0.0304021,7.05037,0.101495,6.99864,0.0393505,7.10365,0.011791,7.02248,0.0491863,7.09478,0.00179252,7.00293,0.0467009,6.99198,0.0568691,7.25383,0.180026,6.94275,0.0153371,6.92076,0.0226203,7.02087,0.0235891,6.94685,0.100331,6.86231,0.0248159,7.20172,0.00825547,7.21432,0.0571059,7.06545,0.00401283,7.1805,0.118525,7.13957,0.0143967,6.98427,0.0248831,7.2788,0.023925,6.96225,0.00494268,6.99057,0.139975,7.1284,0.0642336,6.99936,0.0175504,6.99802,0.0609066,7.07754,0.00255619,7.18964,0.0381944,7.01436,0.0299035,7.04192,0.02378,7.17615,0.103623,7.03583,0.078054,7.01849,0.0363276,7.02757,0.0990232,7.03727,0.0478782,x,x,7.09387,0.0797192,7.10275,0.177236,7.06377,0.0274216,7.01234,0.0384525,7.11564,0.0216834,7.11371,0.0344007,7.11934,0.0330997,6.85146,0.024724,6.8972,0.079797,7.21934,0.0270504,x,x,7.11055,0.0433421,7.06423,0.0834775,7.00741,0.0155811,7.08892,0.0630174,7.11115,0.0269903,7.05054,0.0319789,7.00965,0.00807162,6.99537,0.00279661,7.04444,0.079104,7.06743,0.0435648,7.16589,0.0635936,7.01491,0.0893606,6.94373,0.0648947,7.07768,0.0212768,6.99347,0.116478,7.0006,0.0062579,7.01483,0.107929,6.97729,0.0313319,7.03154,0.010444,7.04688,0.0513854,6.99655,0.0137886,7.16974,0.111783,7.14461,0.14321,6.93219,0.0385904,7.24181,0.0432537,7.16286,0.0145699,7.01642,0.0543942
10,https://genenetwork.org/show_trait?trait_id=ILM102100095&dataset=Illum_LXS_Hipp_NOS_1008,mouse,LXS,Illum_LXS_Hipp_NOS_1008,ILM102100095,LOC383301,similar to gut antigen protein; putative intergenic,putative intergenic,N/A,18,21.306473,Not available,383301,N/A,,-,1.0,50.0,21.306473,21.306523,2,103.073053,rs13476673,9.33954042934842,0.548,6.816393939393938,6.76,0.138,6.892,0.015,x,x,x,x,x,x,6.819,0.039,x,x,6.866,0.065,x,x,x,x,x,x,x,x,6.822,0.064,6.768,0.032,6.746,,x,x,6.99,0.109,x,x,6.889,0.025,6.852,0.114,x,x,x,x,6.786,0.189,x,x,x,x,6.796,0.09,x,x,6.792,,x,x,6.829,0.053,6.813,0.001,6.792,0.009,x,x,x,x,6.826,0.18,6.858,0.033,x,x,6.768,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,6.767,0.048,x,x,x,x,x,x,x,x,x,x,x,x,6.859,0.195,x,x,6.79,0.057,x,x,x,x,x,x,6.829,0.026,x,x,6.778,0.052,6.706,0.203,x,x,x,x,x,x,6.82,0.015,6.858,0.021,6.78,0.077,6.834,0.013,x,x,x,x,6.845,0.041,x,x,6.844,0.008,x,x,x,x,x,x,x,x,6.807,0.051,6.76,0.061,x,x
