"Export Date: December 11, 2024"
Export Time: 12:36 GMT
Exported Row Number: 10000
"Funding for The GeneNetwork: NIGMS (R01 GM123489, 2017-2026), NIDA (P30 DA044223, 2017-2022), NIA (R01AG043930, 2013-2018), NIAAA (U01 AA016662, U01 AA013499, U24 AA013513, U01 AA014425, 2006-2017), NIDA/NIMH/NIAAA (P20-DA 21131, 2001-2012), NCI MMHCC (U01CA105417), NCRR/BIRN (U24 RR021760)"

Index,URL,Species,Group,Dataset,Record ID,Symbol,Description,ProbeTarget,PubMed_ID,Chr,Mb,Alias,Gene_ID,Homologene_ID,UniGene_ID,Strand_Probe,Probe_set_specificity,Probe_set_BLAT_score,Probe_set_BLAT_Mb_start,Probe_set_BLAT_Mb_end,QTL_Chr,QTL_Mb,Locus_at_Peak,Max_LRS,P_value_of_MAX,Mean_Expression,C57BL/6J,C57BL/6J_SE,C3H/HeJ,C3H/HeJ_SE,BHF1,BHF1_SE,HBF1,HBF1_SE,BXH2,BXH2_SE,BXH3,BXH3_SE,BXH4,BXH4_SE,BXH6,BXH6_SE,BXH7,BXH7_SE,BXH8,BXH8_SE,BXH9,BXH9_SE,BXH10,BXH10_SE,BXH11,BXH11_SE,BXH12,BXH12_SE,BXH14,BXH14_SE,BXH19,BXH19_SE,BXH20,BXH20_SE,BXH21,BXH21_SE,BXH22,BXH22_SE,B6cC3-1,B6cC3-1_SE
1,https://genenetwork.org/show_trait?trait_id=1425238_at_A&dataset=GSE16780BXH_UCLA_ML0911,mouse,BXH,GSE16780BXH_UCLA_ML0911,1425238_at_A,BC011413,"similar to ribosomal protein S20 (high expression in immune system, downstream of Anln); far 3' UTR (or short downstream gene BC011413)",far 3' UTR (or short downstream gene BC011413),N/A,9,22.330146,"1110037A17Rik, 2900037I21Rik, ANILLIN, Scraps, BC011413",68743,N/A,Mm.282751,-,11.05,221.0,22.330146,22.330616,7,16.780331,mCV22975338,8.89332868308124,,6.563571384974888,6.481,0.056,6.504,0.035,x,x,x,x,6.6,0.177,x,x,6.62,0.024,6.554,0.022,6.568,0.046,6.517,0.067,6.594,0.064,6.444,0.081,x,x,x,x,6.552,0.028,6.476,0.067,6.788,0.318,6.631,0.039,x,x,6.561,0.109
2,https://genenetwork.org/show_trait?trait_id=ILM102100095&dataset=UCLA_BXHBXD_CARTILAGE_V2,mouse,BXH,UCLA_BXHBXD_CARTILAGE_V2,ILM102100095,LOC383301,similar to gut antigen protein; putative intergenic,putative intergenic,N/A,18,21.306473,Not available,383301,N/A,,-,1.0,50.0,21.306473,21.306523,4,16.492295,rs13477579,11.202741682904499,0.403,7.067796335962964,6.66021,,6.54276,,x,x,x,x,6.46016,,x,x,6.67751,,7.02723,,7.31507,,6.92908,,6.50481,,x,x,x,x,x,x,6.69098,,6.4708,,x,x,x,x,6.58118,,6.04138,
3,https://genenetwork.org/show_trait?trait_id=ILM102100095&dataset=UCLA_BXHBXD_CARTILAGE,mouse,BXH,UCLA_BXHBXD_CARTILAGE,ILM102100095,LOC383301,similar to gut antigen protein; putative intergenic,putative intergenic,N/A,18,21.306473,Not available,383301,N/A,,-,1.0,50.0,21.306473,21.306523,7,119.879434,rs3674465,8.77522032412607,0.853,7.966877575040001,7.94644,,7.944,,x,x,x,x,7.93202,,x,x,7.95675,,7.97991,,x,x,7.96476,,7.94299,,x,x,x,x,x,x,7.95184,,7.9276,,x,x,x,x,7.94349,,7.90391,
4,https://genenetwork.org/show_trait?trait_id=ILM102100095&dataset=UCLA_BXH_CARTILAGE,mouse,BXH,UCLA_BXH_CARTILAGE,ILM102100095,LOC383301,similar to gut antigen protein; putative intergenic,putative intergenic,N/A,18,21.306473,Not available,383301,N/A,,-,1.0,50.0,21.306473,21.306523,,,,,,7.984159386428572,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
5,https://genenetwork.org/show_trait?trait_id=ILM102100095&dataset=UCLA_BXH_Femur_0113_RSN,mouse,BXH,UCLA_BXH_Femur_0113_RSN,ILM102100095,LOC383301,similar to gut antigen protein; putative intergenic,putative intergenic,N/A,18,21.306473,Not available,383301,N/A,,-,1.0,50.0,21.306473,21.306523,6,43.826813,rs13478727,13.4461805313886,,7.209357125418527,7.202,0.088,7.198,0.015,x,x,x,x,7.04,0.073,x,x,7.233,0.012,7.155,0.141,7.246,0.067,7.21,0.015,7.313,0.045,7.156,0.028,x,x,x,x,7.22,0.044,7.235,0.016,7.212,0.074,x,x,7.266,0.095,7.245,
6,https://genenetwork.org/show_trait?trait_id=ILM104060500&dataset=UCLA_BXHBXD_CARTILAGE_V2,mouse,BXH,UCLA_BXHBXD_CARTILAGE_V2,ILM104060500,Dep1,diabetic embryopathy 1; intron 3,intron 3,N/A,17,10.314643,Not available,170624,N/A,Mm.441701,-,5.0,50.0,10.314643,10.314693,6,90.723696,rs6156752,12.7279250542542,0.717,9.123721724888888,8.89239,,9.23034,,x,x,x,x,8.57087,,x,x,9.64816,,8.46455,,8.06826,,9.11864,,9.37536,,x,x,x,x,x,x,9.39124,,8.69622,,x,x,x,x,9.39033,,9.44633,
7,https://genenetwork.org/show_trait?trait_id=ILM104060500&dataset=UCLA_BXHBXD_CARTILAGE,mouse,BXH,UCLA_BXHBXD_CARTILAGE,ILM104060500,Dep1,diabetic embryopathy 1; intron 3,intron 3,N/A,17,10.314643,Not available,170624,N/A,Mm.441701,-,5.0,50.0,10.314643,10.314693,5,44.164595,rs13478217,10.311576171537,0.412,8.13927291236,8.10877,,8.17426,,x,x,x,x,8.08174,,x,x,8.20284,,8.13153,,x,x,8.15042,,8.14901,,x,x,x,x,x,x,8.19143,,8.10266,,x,x,x,x,8.15951,,8.21101,
8,https://genenetwork.org/show_trait?trait_id=ILM104060500&dataset=UCLA_BXH_CARTILAGE,mouse,BXH,UCLA_BXH_CARTILAGE,ILM104060500,Dep1,diabetic embryopathy 1; intron 3,intron 3,N/A,17,10.314643,Not available,170624,N/A,Mm.441701,-,5.0,50.0,10.314643,10.314693,,,,,,8.129902739928571,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
9,https://genenetwork.org/show_trait?trait_id=ILM104060500&dataset=UCLA_BXH_Femur_0113_RSN,mouse,BXH,UCLA_BXH_Femur_0113_RSN,ILM104060500,Dep1,diabetic embryopathy 1; intron 3,intron 3,N/A,17,10.314643,Not available,170624,N/A,Mm.441701,-,5.0,50.0,10.314643,10.314693,,,rs3713033,15.5204787653815,,7.698357105255127,7.745,0.036,7.787,0.027,x,x,x,x,7.776,0.129,x,x,7.7,0.052,7.607,0.049,7.764,0.028,7.748,0.093,7.682,0.091,7.648,0.006,x,x,x,x,7.716,0.017,7.645,0.028,7.633,0.049,x,x,7.692,0.035,7.634,
10,https://genenetwork.org/show_trait?trait_id=1415876_a_at_A&dataset=GSE16780BXH_UCLA_ML0911,mouse,BXH,GSE16780BXH_UCLA_ML0911,1415876_a_at_A,Rps26,40S ribosomal protein S26 (type I diabetes); exons 1 and 2 (confirmed),exons 1 and 2 (confirmed),N/A,10,128.625266,Not available,27370,N/A,Mm.261679,-,1.01063829787234,190.0,128.625266,128.626218,6,54.130744,rs6272774,12.0153258415602,,13.66371420451573,13.537,0.076,13.642,0.064,x,x,x,x,13.77,0.006,x,x,13.641,0.04,13.642,0.023,13.614,0.075,13.538,0.028,13.575,0.03,13.641,0.018,x,x,x,x,13.615,0.024,13.768,0.045,14.07,0.704,13.676,0.039,x,x,13.563,0.049
